id,title,training_text,text,answer,label
8711,COMDATA <CDN> ACCEPTS NEW WELSH CARSON BID,comdata cdn accepts new welsh carson bid comdata network inc said it has entered into a definitive agreement to merge into a company formed by welsh carson anderson and stowe iv for either 1650 dlrs in cash or 1000 dlrs in cash and a unit of securities per comdata share the company said each unit of securities would consist of 125 common shares in the new company and three dlrs principal amount of the new companys 11 pct subordinated debentures due 1997 it said the 1650 dlr cash alternative is an improvement over the 1500 dlr per share price contemplated under an agreement in principle with welsh carson announced on march five comdata said the cash and securities alternaitcve is subject to welsh carsonaffiliated investors owning at least 60 pct of the stock of the new company the company said investment bankers drexel burnham lambert inc and alex brown and sons inc absb found the proposal to be fair from a financial point of view it said the transaction is subject to approval by its shareholders and to welsh carson obtaining up to 230 mln dlrs in debt financing comdata said it may terminate the agreement if financing is not arranged by april three on thursday first financial management corp ffmc offered to acquire comdata for 1800 dlrs per share in stock and cash subject to approval by the comdata board under the first financial proposal comdata holders would receive no more than four dlrs per share in cash and could receive all stock comdata had originally planned a recapitalization u,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: comdata cdn accepts new welsh carson bid comdata network inc said it has entered into a definitive agreement to merge into a company formed by welsh carson anderson and stowe iv for either 1650 dlrs in cash or 1000 dlrs in cash and a unit of securities per comdata share the company said each unit of securities would consist of 125 common shares in the new company and three dlrs principal amount of the new companys 11 pct subordinated debentures due 1997 it said the 1650 dlr cash alternative is an improvement over the 1500 dlr per share price contemplated under an agreement in principle with welsh carson announced on march five comdata said the cash and securities alternaitcve is subject to welsh carsonaffiliated investors owning at least 60 pct of the stock of the new company the company said investment bankers drexel burnham lambert inc and alex brown and sons inc absb found the proposal to be fair from a financial point of view it said the transaction is subject to approval by its shareholders and to welsh carson obtaining up to 230 mln dlrs in debt financing comdata said it may terminate the agreement if financing is not arranged by april three on thursday first financial management corp ffmc offered to acquire comdata for 1800 dlrs per share in stock and cash subject to approval by the comdata board under the first financial proposal comdata holders would receive no more than four dlrs per share in cash and could receive all stock comdata had originally planned a recapitalization u
Label:
",not earn,0
11068,MORRISON <MORR> SETS SHAREHOLDER RIGHTS PLAN,morrison morr sets shareholder rights plan morrison inc said its board adopted a shareholder rights plan to deter any possible hostile takeover of the company it said details of the plan will be released shortly a record date of april 10 was set for the distribution of the rights to shareholders reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: morrison morr sets shareholder rights plan morrison inc said its board adopted a shareholder rights plan to deter any possible hostile takeover of the company it said details of the plan will be released shortly a record date of april 10 was set for the distribution of the rights to shareholders reuter
Label:
",not earn,0
11552,AMERICUS TRUST FOR AMOCO SHARES EFFECTIVE,americus trust for amoco shares effective americus trust for amoco corp shares said its registration has been delcared effective and shares of amoco corp an may now be exchanged for americus units on a oneforone basis each unit may be broken into prime and score components and traded separately the prime entitles the holder to dividend payments and any stock price increase to a limit of 105 dlrs for amoco shares and the score to profits from future price increases above 105 dlrs alex brown and sons inc absb is dealermanager for the trust reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: americus trust for amoco shares effective americus trust for amoco corp shares said its registration has been delcared effective and shares of amoco corp an may now be exchanged for americus units on a oneforone basis each unit may be broken into prime and score components and traded separately the prime entitles the holder to dividend payments and any stock price increase to a limit of 105 dlrs for amoco shares and the score to profits from future price increases above 105 dlrs alex brown and sons inc absb is dealermanager for the trust reuter
Label:
",not earn,0
1581,INVESTORS HAVE 12.9 PCT OF EXOVIR <XOVR>,investors have 129 pct of exovir xovr mark hammer a private investor from melville ny and members of his family told the securities and exchange commission they have acquired a total of 375200 shares of exovir inc or 129 pct of the total outstanding hammer said his group has been accumulating exovir stock since oct 28 1985 for investment purposes and may buy more shares or sell all or part of his current stake while he said he has no intention of seeking control of the company hammer said that because of his extensive business experience and his interest in exovir stock he may be invited to become a member of the companys board reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: investors have 129 pct of exovir xovr mark hammer a private investor from melville ny and members of his family told the securities and exchange commission they have acquired a total of 375200 shares of exovir inc or 129 pct of the total outstanding hammer said his group has been accumulating exovir stock since oct 28 1985 for investment purposes and may buy more shares or sell all or part of his current stake while he said he has no intention of seeking control of the company hammer said that because of his extensive business experience and his interest in exovir stock he may be invited to become a member of the companys board reuter
Label:
",not earn,0
12317,GENCORP TAKES NO ACTION ON STOCK DIVIDEND,gencorp takes no action on stock dividend gencorp inc said its board took no action with respect to a two pct stock dividend at its annual meeting yesterday due to the press of other business specifically the companys pending takeover offer by general acquisition corp formed by afg industries inc and wagner and brown a spokesman said the two pct stock dividend normally issued everly year was not issued in february because the company was examining other dividend alternatives management said it would give consideration to this matter at a later time yesterday the companys chairman a william reynolds told shareholders he would be presenting an alternative to the 100 dlrs a share takeover offer within a week reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: gencorp takes no action on stock dividend gencorp inc said its board took no action with respect to a two pct stock dividend at its annual meeting yesterday due to the press of other business specifically the companys pending takeover offer by general acquisition corp formed by afg industries inc and wagner and brown a spokesman said the two pct stock dividend normally issued everly year was not issued in february because the company was examining other dividend alternatives management said it would give consideration to this matter at a later time yesterday the companys chairman a william reynolds told shareholders he would be presenting an alternative to the 100 dlrs a share takeover offer within a week reuter
Label:
",not earn,0
2841,REXON <TEXN> FILES FOR STOCK SALE,rexon texn files for stock sale rexon inc said it filed a registration statement with the securities and exchange commission covering the primary sale of 125 mln common shares through an underwriting group managed by hambrecht and quist rexon a maker of tape drives subsystems and computerrelated products said it plans to use proceeds from the sale for working capital and for capital expenditures primarily related to the companys tape drive products reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: rexon texn files for stock sale rexon inc said it filed a registration statement with the securities and exchange commission covering the primary sale of 125 mln common shares through an underwriting group managed by hambrecht and quist rexon a maker of tape drives subsystems and computerrelated products said it plans to use proceeds from the sale for working capital and for capital expenditures primarily related to the companys tape drive products reuter
Label:
",not earn,0
3083,DONALD TRUMP SAID HE HAS AGREED TO PURCHASE CROSBY ESTATE'S RESORTS SHARES,donald trump said he has agreed to purchase crosby estates resorts shares,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: donald trump said he has agreed to purchase crosby estates resorts shares
Label:
",not earn,0
7556,SAS SAYS PLANS TO BUY 12 MCDONNEL DOUGLAS MD-11s IN DOUBT- OFFICIAL,sas says plans to buy 12 mcdonnel douglas md11s in doubt official,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: sas says plans to buy 12 mcdonnel douglas md11s in doubt official
Label:
",not earn,0
9285,WASTE <WMX> ENDS OFFER FOR CHEMLAWN <CHEM>,waste wmx ends offer for chemlawn chem waste management inc said its wholly owned subsidiary wmx acquisition corp ended its tender offer to buy shares of chemlawn corp at 35 dlrs a share all shares tendered to waste management will be returned to shareholders as soon as practical it said earlier this week chemlawn agreed to accept a merger proposal at 3650 dlrs a share from ecolab inc in a transaction valued at about 370 mln dlrs reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: waste wmx ends offer for chemlawn chem waste management inc said its wholly owned subsidiary wmx acquisition corp ended its tender offer to buy shares of chemlawn corp at 35 dlrs a share all shares tendered to waste management will be returned to shareholders as soon as practical it said earlier this week chemlawn agreed to accept a merger proposal at 3650 dlrs a share from ecolab inc in a transaction valued at about 370 mln dlrs reuter
Label:
",not earn,0
3933,HONG KONG FIRM UPS CALMAT <CZM> STAKE TO 9.8 PCT,hong kong firm ups calmat czm stake to 98 pct industrial equity pacific ltd a hong kong investment firm said it raised its stake in calmat co to 1480830 shares or 98 pct of the total outstanding common stock from 1217230 shares or 80 pct in a filing with the securities and exchange commission industrial equity which is principally owned by brierley investments ltd a publicly held new zealand firm said it bought 263600 calmat common shares between feb 17 and march 9 for 131 mln dlrs it has said it bought the stock for investment purposes but may raise its stake to 15 pct reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: hong kong firm ups calmat czm stake to 98 pct industrial equity pacific ltd a hong kong investment firm said it raised its stake in calmat co to 1480830 shares or 98 pct of the total outstanding common stock from 1217230 shares or 80 pct in a filing with the securities and exchange commission industrial equity which is principally owned by brierley investments ltd a publicly held new zealand firm said it bought 263600 calmat common shares between feb 17 and march 9 for 131 mln dlrs it has said it bought the stock for investment purposes but may raise its stake to 15 pct reuter
Label:
",not earn,0
