id,title,training_text,text,answer,label
12551,BRITTON LEE <BLII> SEES FIRST QUARTER LOSS,britton lee blii sees first quarter loss britton lee inc said it expects to report a loss on lower sales than it had anticipated for the first quarter the company earned 119000 dlrs before a 70000 dlr tax credit on sales of 7227000 dlrs in the yearago period,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: britton lee blii sees first quarter loss britton lee inc said it expects to report a loss on lower sales than it had anticipated for the first quarter the company earned 119000 dlrs before a 70000 dlr tax credit on sales of 7227000 dlrs in the yearago period
Label:
",earn,1
16056,VALEX PETROLEUM <VALP> RECLASSIFIES DEBT,valex petroleum valp reclassifies debt valex petroleum inc said its 13 mln dlrs in longterm debt with a commercial bank was reclassified as a current liability which resulted in its auditors giving it a qualified opinion earlier valex reported a net loss 219632 for 1986 reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: valex petroleum valp reclassifies debt valex petroleum inc said its 13 mln dlrs in longterm debt with a commercial bank was reclassified as a current liability which resulted in its auditors giving it a qualified opinion earlier valex reported a net loss 219632 for 1986 reuter
Label:
",not earn,0
7588,U.K. BUILDING SOCIETY RECEIPTSRISE IN FEBRUARY,uk building society receiptsrise in february uk building society net receipts in february were 472 mln stg slightly up on januarys 456 mln but well below the 793 mln stg of february 1986 the building societies association bsa said bsa secretarygeneral mark boleat noted that net receipts were below 500 mln stg for the third month out of the last four this was obviously a disappointing performance especially in view of the rapid growth of mortgage commitments to over 25 billion stg he said the bsa said receipts were depressed by the british airways flotation despite the later return of oversubscribed funds total building society receipts in february were 64 billion stg against withdrawals of 59 billion mortgage lending to home buyers during the month fell slightly to 216 billion stg from 218 billion stg in january the bsa said mortgage lending has fallen steadily since last julys peak of 39 billion stg net new mortgage commitments however rose to 25 billion stg from januarys 19 billion bringing the total commitments outstanding to 69 billion after januarys 66 billion stg wholesale funding rose to 292 mln stg after januarys 29 mln but was still below each of the last six 1986 months reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: uk building society receiptsrise in february uk building society net receipts in february were 472 mln stg slightly up on januarys 456 mln but well below the 793 mln stg of february 1986 the building societies association bsa said bsa secretarygeneral mark boleat noted that net receipts were below 500 mln stg for the third month out of the last four this was obviously a disappointing performance especially in view of the rapid growth of mortgage commitments to over 25 billion stg he said the bsa said receipts were depressed by the british airways flotation despite the later return of oversubscribed funds total building society receipts in february were 64 billion stg against withdrawals of 59 billion mortgage lending to home buyers during the month fell slightly to 216 billion stg from 218 billion stg in january the bsa said mortgage lending has fallen steadily since last julys peak of 39 billion stg net new mortgage commitments however rose to 25 billion stg from januarys 19 billion bringing the total commitments outstanding to 69 billion after januarys 66 billion stg wholesale funding rose to 292 mln stg after januarys 29 mln but was still below each of the last six 1986 months reuter
Label:
",not earn,0
62,TREASURY BALANCES AT FED ROSE ON FEB 25,treasury balances at fed rose on feb 25 treasury balances at the federal reserve rose on feb 25 to 4151 billion dlrs from 2727 billion dlrs the previous business day the treasury said in its latest budget statement balances in tax and loan note accounts fell to 25137 billion dlrs from 25780 billion dlrs on the same respective days the treasurys operating cash balance totaled 29289 billion dlrs on feb 25 compared with 28507 billion dlrs on feb 24 reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: treasury balances at fed rose on feb 25 treasury balances at the federal reserve rose on feb 25 to 4151 billion dlrs from 2727 billion dlrs the previous business day the treasury said in its latest budget statement balances in tax and loan note accounts fell to 25137 billion dlrs from 25780 billion dlrs on the same respective days the treasurys operating cash balance totaled 29289 billion dlrs on feb 25 compared with 28507 billion dlrs on feb 24 reuter
Label:
",not earn,0
10694,WOOLWORTH BIDS 244 MLN STG FOR SUPERDRUG,woolworth bids 244 mln stg for superdrug woolworth holdings plc wlukl said it would make a 244 mln stg agreed bid for superdrug stores plc valuing the companys shares at about 696p each the offer would be made on the basis of 17 new woolworth ordinary shares for every 20 in superdrug woolworth said it had received acceptances from the holders of 61 pct of superdrug shares the bid is woolworths second attempt in recent months to acquire a retail chemist chain earlier this year it negotiated a possible bid for underwoods plc buit the talks were broken off two weeks ago full acceptance of the offer would involve the issue of about 298 mln new woolworth shares or 14 pct of the enlarged share capital a cash alternative would offer 646p for each share in superdrug members of the goldstein family have accepted the offer for 117 mln shares which have not been underwritten another major shareholder rite aid corps rite investments corp unit had accepted the offer for 99 mln shares and would take the cash alternative for 90 mln of these in the year to endjanuary woolworth reported pretax profits sharply higher at 1153 mln stg after 813 mln previously in the year to endfebruary superdrug reported pretax profits of 1226 mln after 1036 mln previously on turnover that rose to 2029 mln from 1643 mln superdrug shares firmed to 670p from 480p on friday woolworth eased to 813p from 830p reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: woolworth bids 244 mln stg for superdrug woolworth holdings plc wlukl said it would make a 244 mln stg agreed bid for superdrug stores plc valuing the companys shares at about 696p each the offer would be made on the basis of 17 new woolworth ordinary shares for every 20 in superdrug woolworth said it had received acceptances from the holders of 61 pct of superdrug shares the bid is woolworths second attempt in recent months to acquire a retail chemist chain earlier this year it negotiated a possible bid for underwoods plc buit the talks were broken off two weeks ago full acceptance of the offer would involve the issue of about 298 mln new woolworth shares or 14 pct of the enlarged share capital a cash alternative would offer 646p for each share in superdrug members of the goldstein family have accepted the offer for 117 mln shares which have not been underwritten another major shareholder rite aid corps rite investments corp unit had accepted the offer for 99 mln shares and would take the cash alternative for 90 mln of these in the year to endjanuary woolworth reported pretax profits sharply higher at 1153 mln stg after 813 mln previously in the year to endfebruary superdrug reported pretax profits of 1226 mln after 1036 mln previously on turnover that rose to 2029 mln from 1643 mln superdrug shares firmed to 670p from 480p on friday woolworth eased to 813p from 830p reuter
Label:
",earn,1
3498,SOUTH KOREA TO ISSUE EXCHANGE EQUALISATION BONDS,south korea to issue exchange equalisation bonds the south korean government will float 150 billion won in exchange equalisation bonds this month ministry of finance officials said the bank of korea will issue the bonds to be launched with an annual interest rate of 11 pct a bank official said the float the first of its kind is a response to the nations increasing current account surplus and is designed to limit the growth in m2 money supply to 18 pct he said south koreas m2 supply in february totalled 33992 billion won 1889 pct up on the yearearlier figure reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: south korea to issue exchange equalisation bonds the south korean government will float 150 billion won in exchange equalisation bonds this month ministry of finance officials said the bank of korea will issue the bonds to be launched with an annual interest rate of 11 pct a bank official said the float the first of its kind is a response to the nations increasing current account surplus and is designed to limit the growth in m2 money supply to 18 pct he said south koreas m2 supply in february totalled 33992 billion won 1889 pct up on the yearearlier figure reuter
Label:
",not earn,0
15554,J.C. PENNEY <JCP> MARCH SALES OFF 1.3 PCT,jc penney jcp march sales off 13 pct jc penney co inc said sales for the five weeks ended april four for its jcpenney stores and catalog were off 13 pct to 112 billion dlrs from 113 billion a year before with samestore sales off 15 pct the company said total company sales were off 02 pct to 125 billion dlrs from 126 billion dlrs penney said sales for ther first nine weeks of its fiscal year for its jcpenney stores and catalogs were up 13 pct to 190 billion dlrs from 187 billion dlrs a year before with samestore sales up 12 pct penney said year to date sales companywide were up 23 pct to 214 billion dlrs from 209 billion dlrs with samestore sales up 22 pct penney said sales were in line with expectations in light of the shift of easter from march in 1986 to april this year sales continued strong for catalog operations and geographically ranged from very active in the east to weak in the economically depressed southwest reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: jc penney jcp march sales off 13 pct jc penney co inc said sales for the five weeks ended april four for its jcpenney stores and catalog were off 13 pct to 112 billion dlrs from 113 billion a year before with samestore sales off 15 pct the company said total company sales were off 02 pct to 125 billion dlrs from 126 billion dlrs penney said sales for ther first nine weeks of its fiscal year for its jcpenney stores and catalogs were up 13 pct to 190 billion dlrs from 187 billion dlrs a year before with samestore sales up 12 pct penney said year to date sales companywide were up 23 pct to 214 billion dlrs from 209 billion dlrs with samestore sales up 22 pct penney said sales were in line with expectations in light of the shift of easter from march in 1986 to april this year sales continued strong for catalog operations and geographically ranged from very active in the east to weak in the economically depressed southwest reuter
Label:
",earn,1
6723,NOVAR ELECTRONICS <NOVR> SEES RESULTS IMPROVING,novar electronics novr sees results improving novar electronics corp said it expects improved earnings this year due to a rapid expansion of its logic one computerized buolding management system customer base and expectations of good crime deterrent business the company today reported earnings for the year ended january three of 207514 dlrs up from 98050 dlrs a year before reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: novar electronics novr sees results improving novar electronics corp said it expects improved earnings this year due to a rapid expansion of its logic one computerized buolding management system customer base and expectations of good crime deterrent business the company today reported earnings for the year ended january three of 207514 dlrs up from 98050 dlrs a year before reuter
Label:
",earn,1
4701,FRENCH 1986 BUDGET DEFICIT CUT TO 141.1 BILLION FRANCS FROM 143.6 BILLION - OFFICIAL,french 1986 budget deficit cut to 1411 billion francs from 1436 billion official,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: french 1986 budget deficit cut to 1411 billion francs from 1436 billion official
Label:
",not earn,0
17439,Toshiba group net 34.18 billion yen (59.44 billion) year to March 31,toshiba group net 3418 billion yen 5944 billion year to march 31,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: toshiba group net 3418 billion yen 5944 billion year to march 31
Label:
",not earn,0
