id,title,description,label,label_text
460,BANK OF ENGLAND ANNOUNCES ONE BILLION STG TAP,"The Bank of Enlgand said it was creating and taking onto its own books a one stg tranche of the nine pct Exchequer stock due 2002. The issue is part paid with 20 stg pct payable on issue and the 76 stg pct balance due on April 27. First dealings will take place this Wednesday, March 4. The initial reaction among dealers was to mark prices around 1/8 point easier. The market had been untapped prior to this announcement. REUTER",5,other
18607,FROST/SULLIVAN <FRSL.O> OFFICERS TO SELL SHARES,"Frost and Sullivan Inc President Daniel Sullivan said he and other executive officers of the company have agreed to sell an aggregate of 542,684 shares of common stock including shares issuable on exercise of options. In addition, Sullivan said he and other officers would also cause to be sold an additional 44,000 shares to Theodore Cross, an investor, for 10 dlrs per share. Frost and Sullivan publishes market research reports and sponsors management seminars and conferences. Such shares, together with the shares presently held by Cross, will give Cross a majority of the outstanding shares of the company's common stock, Sullivan said. Sullivan will continue as president and chief executive officer, the company said. After consummation of the sale, Cross and his designees will be elected to the board and constitute a majority, the company said. The company also said stockholders would get 10 dlrs per share. The board of directors is expected at its next meeting torecommend that the stockholders accept. Reuter",5,other
4294,SEC REMOVES OBSTACLE TO FOREIGN FUTURES TRADING,"The Securities and Exchange Commission removed a key regulatory obstacle to trading futures on designated foreign debt securities on U.S. exchanges. The move would allow the Chicago Board of Trade, CBT, to apply to the Commodity Futures Trading Commission, CFTC, for approval of a futures contract on yen bonds. The CBT has said it may apply for approval of the yen bond futures contract, a CFTC spokesman said. The SEC's action, which was approved by a 4-0 vote, specifically removes a regulation against trading futures on designated foreign government debt securities on contract markets that are not located in the country that issued those securities. Futures on the government debt securities of Japan, Canada and Great Britain can already be marketed in the United States under a designated exemption issued by the SEC. But the new move would permit U.S. exchanges to apply to the CFTC for approval of establishing futures contracts on those securities, SEC officials said. The new SEC move would also allow those foreign government debt securities to be marketed in the United States by countries other than those that issued the securities, the officials said. Since the foreign government securities underlying the futures cannot be traded in the United States unless they are registered with the SEC, settlement and delivery of the futures would often take place in the foreign country, the SEC officials said. The SEC is also considering expanding futures trading of additional countries'",5,other
17933,U.K. RESERVES SHOW RECORD UNDERLYING RISE IN MAY,"Britain's gold and currency reserves rose a record underlying 4.76 billion dlrs in May, following April's 2.9 billion dlrs increase, the Treasury said. The underlying trend indicates the level of recent Bank of England intervention on currency markets to curb sterling's strength. It was above market expectations which had been for a rise of between one billion and three billion dlrs. The Treasury declined comment on the figures. Actual reserves rose 4.87 billion dlrs in May, compared with April's 2.8 billion increase, to a total value of 34.68 billion dlrs, compared with 29.81 billion at the end of April. Borrowings under the exchange cover scheme were 238 mln dlrs, against April's 66 mln. Repayments under the scheme were 85 mln dlrs, after 90 mln previously, with capital repayments of eight mln, after three mln last month. Repayments of government debt amounted to 33 mln dlrs. The underlying reserves increase is net of borrowings and repayments. It was larger than the previous record 3.04 billion dlrs rise seen in October 1977. The May increase represents the seventh monthly rise, with reserves up 9.947 billion dlrs in that period, and up 9.816 billion since the start of 1987. REUTER",5,other
17675,PACIFIC GAS <PCG> TO BUY BACK BONDS,"Pacific Gas and Electric Co said it will buy back on July one 93.9 mln dlrs of two mortgage bond issues, Series 82A and 82B. The redemption will save the company about 2.8 mln dlrs in annual financing costs for the remaining lives of the two mortgage bond issues, Pacific Gas said. It will buy back the Series 82A bonds at 1,066.60 dlrs per 1,000 dlr principal amount, plus one month's accrued interest of 12.81 dlrs. It will redeem the Series 82B at 1,105.20 dlrs per 1,000 dlr face amount, plus one month's accrued interest of 11.14 dlrs. Reuter",5,other
15324,SOUTHEAST BANCORP <STB> ACTS ON BRAZILIAN DEBT,"Following the lead of other major banks, Southeast Banking Corp told the Securities and Exchange Commission it would place 54.2 mln dlrs of medium- and long-term Brazilian debt on non-accrual or cash status. Based on current interest rates, it estimated in a filing that the move will reduce net income by about 800,000 dlrs in the first quarter and 3.2 mln dlrs for all of 1987. The company also said it did not believe the Brazilian debt situation would have a ""material adverse"" effect on it. It also said it would issue 1,080,000 common shares in connection with its acquisition of Popular Bancshares Corp. Reuter",0,earn
14178,FED SETS TWO-DAY SYSTEM REPURCHASES,"The Federal Reserve entered the government securities market to arrange two-day repurchase agreements for system account, a spokeswoman for the New York Fed said. Fed funds were trading at 6-1/8 pct at the time of the direct injection of temporary reserves, dealers said. Most economists had expected a less aggressive injection of reserves via customer repurchase agreements. Reuter",4,money-fx
18567,"SANDVIK, DIAMANT BOART FINALISE DRILLS MERGER","Sweden's Sandvik AB <SVIK.ST> and Diamant Boart SA of Belgium, in which Societe Generale de Belgique <BELB.BR> holds an indirect 52 pct stake, have finalised negotiations on merging oil and gas drilling tool activities, officials of both companies said. Staffan Paues, President of the new Brussels-based joint venture company Diamant Boart Stratabit SA (DBS), told a news conference that the merged firm would be able to offer products for all types of drilling operations. He said there were already signs that a slow recovery from recession was under way in the oil and gas industries. ""Stability in oil prices should lead to renewed investment"" Paues said. DBS, which Paues said began operations today, brings together Sandvik's wholly-owned U.S. Subsidiary Strata Bit Corp of Houston and Diamant Boart's petroleum activities in Europe, North America, the Middle and Far East and Africa. Paues said the merger was a direct result of the sharp fall in oil prices 18 months ago which led oil firms to cut back exploration activities. Officials said the complementary character of the two firms' operations was a further reason. REUTER",1,acq
3375,TEXAS AIR <TEX> UNIT TO EXPAND SERVICE,"Texas Air Corp's Continental Airlines said it will begin service in April to Bakersfield, Calif., and Eugene and Medford, Ore., from its hub at Denver. From Denver, Continental will fly a daily nonstop and a one-stop flight to each of the three cities, the company said. Service to the Oregon cities will start April 5 and to Bakersfield, April 22. Reuter",5,other
14546,NY COFFEE FUTURES CLOSE HIGHER,"N.Y. coffee futures closed higher again today on trade talk Brazil would not be an aggressive seller near term, analysts said. In addition, roaster demand emerged in some forward deliveries, while earlier trade selling around the 102.50 cent level in the May retreated. May closed 2.21 cents higher at 104.25 cents, its highest close since March 30. Analysts said the market has now fully discounted the fact that there most likely will not be fresh ICO coffee quota talks until September. ""It's now starting to focus more on the day to day, a possibly oversold condition, and some roaster interest,"" one analyst said. Estimated volume was 3,605 contracts. July was up 2.25 cents at 106.25 cents. Reuter",5,other
14094,LOWE'S <LOW> TO SELL DURAKON <DRKN> LINER,Durakon Industries Inc said its All Star Liner will be sold as the exclusive pickup truckbed liner in Lowe's Cos Inc's 300 retail home center outlets in the Southeastern U.S. Reuter,5,other
7056,BP SALE WAS IN UK 1987/88 BUDGET MATHS - TREASURY,"The U.K. Treasury said its 1987/88 budget arithmetic which was unveiled on Tuesday ""took full account of likely proceeds"" from the sale of the government's remaining 31.7 pct stake in British Petroleum Co PLC (BP.L). A statement issued by the Treasury said ""the BP announcement therefore makes no difference to our estimate of privatisation proceeds in 1987/88, or to subsequent years, which remains 5.0 billion stg a year."" ""It makes no difference to the PSBR (Public Sector Borrowing Requirement) which the Chancellor set in the budget,"" it said. ""It has nothing to do with the future scope for tax cuts."" The Treasury's move was prompted by press speculation, officials said, which followed last night's surprise announcement by the government. It currently holds about 578.5 mln shares in BP. The Treasury statement said that the sell-off ""is simply a part of the government's continuing privatisation programme, the overall size of which was announced in the Autumn (economic) Statement"" (last November). It said the BP proceeds ""will be received in installments, of which the first will be in 1987/88."" News of the privatisation weighed down both BP's share price in London and the equity market overall, market sources said. The prospect of so much more BP paper in circulation had cut BP shares at 1340 GMT to 824 pence from yesterday's London close of 828 pence. The company's shares had been down as low as 802 pence before rebounding, stock market sources said. Worries over the ability of",5,other
16449,DATAPRODUCTS <DPC> TO BUY IMAGING SOLUTIONS,"Dataproducts Corp said it signed a letter of intent to acquire the Imaging Solutions Inc unit of Reliance Electric Co under undisclosed terms. This acquisition will give it all rights to proprietary solid and liquid ink technologies which had been developed by a joint venture operated by it and Exxon Corp <XON>, Dataproducts said. It said Imaging Solutions, formerly named Exxon Printing Systems Inc, had been a Reliance Electric Co subsidiary. But Reliance recently became an independent company as the result of a leveraged buyout from its former owner, Exxon. Reuter",1,acq
7507,TOFRUZEN <YUMYC> TO REMAIN LISTED ON NASDAQ,"Tofruzen Inc said it received an exception to the NASD's asset requirement, allowing its units, common stock and warrants to remain listed on the NASDAQ system. Reuter",5,other
6407,ICCO MEMBERS ACCEPT BUFFER STOCK PRINCIPLES,"International Cocoa Organization (ICCO) producers and consumers accepted the principles of a compromise proposal on buffer stock rules as a basis for further negotiation, delegates said. The buffer stock working group then asked ICCO Executive Director Kobena Erbynn, who wrote up the draft compromise, to flesh out details of the principles with the assistance of a representative group of delegates, they said. The working group broke up for the day, into a smaller group of five producers and five consumers to discuss administrative rules and into the group headed by Erbynn to hammer out buffer stock rules details, delegates said. Delegates said many differences of opinion still have to be ironed out. ""Whenever we start getting into details the clouds gather,"" one delegate said. Erbynn is likely to present fleshed out details of the buffer stock rules proposal to the working group early tomorrow, delegates said. The principles of the draft proposal included establishing an offer system for buffer stock purchases rather than a posted price system, a limit to the amount of non-ICCO member cocoa that can be bought, and differentials to be paid for different varieties of cocoa comprising the buffer stock, delegates said. REUTER",5,other
8448,GEMINI TECHNOLOGY INC <GMTIF> YEAR LOSS,"Shr loss 74 cts Net loss 4,192,613 Revs 2,928,021 Note: 1986 net includes 3,095,000 dlr write-off tied to discontinuation of emulator board production. Co's 1st fl-yr of operation. Reuter",0,earn
868,FORD <F> EUROPE EARNINGS UP 71 PCT LAST YEAR,"Ford Europe's net earnings soared by 71 per cent last year to 559 mln dlrs, Kenneth Whipple, chairman of Ford Europe, said. Whipple, here to attend the Geneva Auto Show which opens on Thursday, said that the Ford Motor Co unit had sold a record 1.5 million vehicles in Europe in 1986. Net earnings were 326 mln dlrs in 1985. Sales in 1986 represented 11.8 per cent of the European market share, Whipple said. Ford will invest 1.2 billion dollars in Europe in 1987, and a total of seven billion over the next seven years, he added. Reuter",0,earn
16259,GREENWICH PHARMACEUTICALS COMPLETES PLACEMENT,"Greenwhich Pharmaceuticals Inc <GRPI.O> said it has completed a private placement of its common stock, generating more than eight mln dlrs in net proceeds. These funds, together with the two mln dlrs in cash currently held by the company, will be used to complete its Therafectin rheumatoid arthritis drug development program and to develop other drugs, the company said. Reuter",5,other
16877,KAYDON <KDON.O> NAMES NEW CHAIRMAN,"Kaydon Corp said president Richard A. Shantz has been named chairman, succeeding Glenn W. Bailey, who remains on the board. The company said Lawrence J. Cawley, who had been president of the Bearing Division, has ben named to succeed Shantz as Kaydon president. Reuter",5,other
17976,NEW PROBLEMS FOR WORLD BANK IN DEBT STRATEGY,"The World Bank, in the throes of a painful reorganization, faces new strains because of actions by Citibank and others to set aside new Latin debt reserves, financial analysts and monetary sources said. The monetary sources said the reorganization has caused some bad feelings and charges that promotions and other personnel actions have been based on personality rather than ability. It also had some effect in undermining the Bank's role in the global debt strategy, the sources said. At the center of the controversy is Bank President Barber Conable, whose reorganization efforts are getting some critical review from many Bank staff members and some member- countries including the United States. ""I think if he were to do it again, he would do it very differently,"" said one source. Conable, a former congressman from New York appointed by President Reagan to the senior most position at the Bank nearly a year ago, has taken the view that the Bank badly needed to be reorganized and perhaps made more streamlined. In this he had the backing of many in the Reagan administration who viewed the Bank as a bloated and inefficient bureaucracy that gave money to countries when other free-market sources of assistance were available. However, the Bank had been singled out for a much greater role under the U.S. debt initiative proposed by Treasury Secretary James Baker. That strategy, which called for some 20 billion dlrs in new funding from the commerical banks and nine billion dlrs in spending",5,other
13851,CBT WHEAT FUTURES EXPECTED TO OPEN STEADY,"CBT wheat futures were expected to open steady, supported by followthrough speculative buying after yesterday's strong close when new contract highs were set in new crop, traders said. However, rumors that several countries have passed on their tenders for U.S. wheat or taken wheat from other exporting countries may keep nearbys on the defensive. ---- The USDA will issue this week a swap catalogue of government-owned grain that storage-surplus elevators will be able to swap with storage-deficit locations, a senior USDA official said...Wheat and rapeseed crops in east China suffered considerable damage due to frost during a spell of unusually cold weather in late March, the China daily said. Reuter",5,other
20110,GREAT WESTERN FINANCIAL CORP 3RD QTR NET SHR 45 CTS VS 64 CTS,,5,other
21441,LOTUS DEVELOPMENT CORP <LOTS.O> 3RD QTR NET,"Shr 42 cts vs 21 cts Net 19.1 mln vs 9,528,000 Sales 101.2 mln vs 65.6 mln Avg shrs 46.0 mln vs 46.0 mln Nine mths Shr 1.08 dlrs vs 69 cts Net 49.1 mln vs 32.7 mln Sales 280.0 mln vs 201.0 mln Avg shrs 45.6 mln vs 47.4 mln NOTE: Share adjusted for February 1987 two-for-one split. Reuter",0,earn
8701,"U.S. FEB DURABLE GOODS ORDERS ROSE 6.0 PCT, NONDEFENSE DURABLES ROSE 3.8 PCT",,5,other
18721,MAJOR VIDEO CORP <MAJV.O> YEAR APRIL 30 NET,"Shr 23 cts vs 14 cts Net 611,000 vs 511,000 Revs 10.1 mln vs 4,380,000 NOTE: Latest year includes three cent per share loss from discontinued operations while prev year includes seven cent per share tax credit. Reuter",0,earn
6566,ON-LINE SOFTWARE <OSII> SETS CANADIAN VENTURE,"On-Line Software International Inc said a Canadian venture equally owned with Nexa Corp, On-Line Software Canada Inc, began operating. On-Line Software Canada will offer software products acquired from Martin Marietta Corp <ML> last October and other On-Line products. Nexa is a Canadian investment firm specializing in information technology. Reuter",5,other
7043,S.AFRICA'S FINANCIAL RAND SEEN HEADED HIGHER,"The financial rand, widely viewed as a direct reflection of foreign investor confidence in South Africa, appears headed above 30 U.S. Cents, dealers and bank economists said. The currency has risen about 25 pct in the past three months to its current rate of 29.50 cents, due partly to signs of a possible power shift with the appearance of a number of independent candidates in the whites-only election on May 6, they added. It has risen about two cents this week alone. ""Another factor is that banks in London, where the main market is based, are going long in the currency because of a general feeling that it will rise in the future,"" one economist said. Dealers described 30 cents as a psychological barrier that was expected to be broken soon after a brief consolidation phase from recent gains. After reaching 30 cents, ""There is a chance of appreciation to 32 cents in the next several weeks,"" one dealer said. There was a widespread feeling that both the commercial rand, holding stable at 48 cents, and the financial rand were staying firm, banking sources said. A Barclays National Bank executive who asked not to be identified said: ""The rise of the independents appears to be indicative of a potential shift of power in the National Party and has created a favourable sentiment overseas."" One dealer said growing business and investor interest from West Germany and Switzerland were behind the financial rand's rise. Economists said foreigners also were being attracted by South Africa's",5,other
20962,MERITOR SAVINGS <MTOR.O> DEBT AFFIRMED BY S/P,"Standard and Poor's Corp said it affirmed at 100 mln dlrs of subordinated debt at B-plus and certificates of deposit at BB/B. S and P cited the firm's restructuring which resulted in a 380 mln dlr third quarter loss. The loss was primarily due to the amortization of 330 mln dlrs of goodwill, the agency said. It added that amortization does not affect tangible net worth and is considered a reflection of economic reality. Goodwill remains a high part of total equity and capital levels remain weak. The below-average core profitability should be enhanced by the firm's business focus, S and P said. Reuter",5,other
6590,HRE PROPERTIES <HRE> CUTS QUARTERLY,"HRE Properties said its board cut the quarterly dividend to 45 cts per share from 57 cts, payable April 20 to holders of record March 31. HRE said the board reduced the dividend due to the continuing impact of overbuilding in its office building markets and its inability to replace the income from high yielding investments that have matured. HRE said in the first quarter ended January 31 it earned 38 cts per share, down from 47 cts a year before. Reuter",0,earn
11826,SUGAR TRADERS FORECAST LIKELY EC SUGAR REBATE,"London traders say the European Community is likely to award a maximum rebate of 46.80 European currency units per 100 kilos at today's tender, while traders in Paris predict a maximum award of 46.40 Ecus. Last week the EC awarded licences for 59,000 tonnes at a rebate of 45.678 Ecus. Trade views differed on the amount of sugar likely to be released today. London traders said the EC Commission will probably endeavour to release a large tonnage, and as much as 100,000 tonnes may be authorised for export under licences up to end-September. Paris traders put the likely tonnage at around 60,000. REUTER",5,other
18938,GILLETTE <GS> SEEN OBJECT OF GLOBAL BIDDING WAR,"Ronald Perelman, head of Revlon Group Inc <REV>, may be trying to ignite a bidding war for Gillette Co that could draw some big international players and in the process make a lot of money for himself, Wall Street analysts said. Several hours before a regularly scheduled board of directors meeting, Gillette disclosed that Perelman requested consent of its board for an offer of at least 40.50 dlrs per share. Perelman needed the consent because he agreed in November not to buy stock for 10 years without permission. ""I think Ronald Perelman is less interested in Gillette and more interested in putting Gillette into play because he stands to make a ton of money,"" said Andrew Shore, analyst at Shearson Lehman Brothers Inc. ""In play"" is a term used on Wall Street to describe what happens when a company becomes an unwiling takeover target. Shore noted that according to the 1986 agreement Revlon gets paid if there is any acquisition of Gillette through November of this year at a price higher than 29.75 dlrs per share. Gillette rose three to 40 today, following a gain of three yesterday. The agreement would be calculated on the basis of Perelman's previous holding of 18.4 mln shares, adjusted for a split. For example, a deal between Gillette and some other company at 44 dlrs per share would make Revlon richer by 262 mln dlrs under the formula. Neither Perelman nor his spokesmen returned telephone calls seeking comment. ""Revlon stands to make a substantial amount of money if someone el",1,acq
11977,<GUILLEVIN INTERNATIONAL INC> YEAR JAN 31 NET,"Shr 51 cts vs 36 cts Net 2,543,285 vs 1,686,559 Sales 153.2 mln vs 120.7 mln Reuter",0,earn
11920,CYCLOPS <CYL> NAMES DIXONS OFFICIALS TO BOARD,"Cyclops corp said it has reconstituted its board to include three <Dixons Group PLC> executives following Dixons' acquisition of 83 pct of Cyclops' 4,061,000 shares in a 95 dlr per share tender offer. Cyclops said remaining on the six-member board are chairman and chief executive W.H. Knoell, president and chief operating officer James F. Will and senior vice president William D. Dickey. Reuter",1,acq
18244,CONGRESSMAN QUESTIONS INSIDER TRADING ENFORCEMENT,"Rep. Norman Lent, R-N.Y., said Dennis Levine's conviction for insider trading showed the need for tougher enforcement of insider trading laws by the government and the securities industry. Lent's comments came at the start of closed testimony by Levine at the House Oversight and Investigations subcommittee. Levine's testimony was not released. ""Why didn't Dennis Levine's superiors at four different investment banking houses question the sources of his 'uncanny' information on possible corporate takeovers?"" Lent asked. ""Why has the Securities and Exchange Commission historically been unable to prosecute insider trading cases without outside evidence that illegal behavior has taken place?"" Lent added. Lent said Levine had told the subcommittee staff his associates at major banks told him insider trading was accepted practice. Levine also said he did not worry about being caught by the SEC. ""The securities industry must stop putting morality and ethics behind proift. The SEC must exercise tougher control and supervision of the industry,"" Lent said. Reuter",5,other
11095,SERVICE RESOURCES <SRC> UNIT IN ACQUISITION,"Chas. P. Young Co, a subsidiary of Service Resources Corp, said it signed a definitive agreement to acquire Atwell Fleming Printing Ltd, of Canada, for about 3.2 mln dlrs. The transaction is expected to close in April. ON February 23, Chas. P. Young said it had aquired 19.05 pct of the shares of Sorg INc <SRG> to facilitate a newgotiated business combination. Reuter",1,acq
