id,title,training_text,text,answer,label
2753,MOET-HENNESSY ISSUING CONVERTIBLE EUROBOND,moethennessy issuing convertible eurobond moethennessy mhsppa is issuing an 800 mln french franc 10year eurobond with share warrants leadmanager lazard freres et cie said the issue will be priced at par with a one pct coupon and each 10000 franc bond will carry 18 warrants each giving the right to subscribe to moethennessy shares over a threeyear period at 2720 francs each the high equity content of the issue accounts for the low coupon moethennessy shares closed on the paris bourse today at 2678 francs up 38 from yesterdays close the issue is being colead managed by credit lyonnais banque nationale de paris bnp and credit suisse first boston payment date will be april 8 reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: moethennessy issuing convertible eurobond moethennessy mhsppa is issuing an 800 mln french franc 10year eurobond with share warrants leadmanager lazard freres et cie said the issue will be priced at par with a one pct coupon and each 10000 franc bond will carry 18 warrants each giving the right to subscribe to moethennessy shares over a threeyear period at 2720 francs each the high equity content of the issue accounts for the low coupon moethennessy shares closed on the paris bourse today at 2678 francs up 38 from yesterdays close the issue is being colead managed by credit lyonnais banque nationale de paris bnp and credit suisse first boston payment date will be april 8 reuter
Label:
",trade,2
14724,U.S. CREDIT MARKETS CLOSE SHARPLY LOWER,us credit markets close sharply lower oil price firmness a sharp stock price fall and widespread fear that the dollar has much more room to decline sent bond prices tumbling dealers said the key 712 pct treasury bonds of 2016 fell 1332 points to close at 95132 and a 794 pct yield that was up 10 basis points from monday and was 1987s highest closing yield investors threw in the towel today the long bond seems headed for eight pct within the next few days a trader said that would correspond to a price of about 9438 treasury bill rates increased two to eight basis points notes prices declined 18 to 34 bond traders said the main negative is recent instability of the dollar and growing feeling that even concerted central bank support will not prevent a further drop in the dollar reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: us credit markets close sharply lower oil price firmness a sharp stock price fall and widespread fear that the dollar has much more room to decline sent bond prices tumbling dealers said the key 712 pct treasury bonds of 2016 fell 1332 points to close at 95132 and a 794 pct yield that was up 10 basis points from monday and was 1987s highest closing yield investors threw in the towel today the long bond seems headed for eight pct within the next few days a trader said that would correspond to a price of about 9438 treasury bill rates increased two to eight basis points notes prices declined 18 to 34 bond traders said the main negative is recent instability of the dollar and growing feeling that even concerted central bank support will not prevent a further drop in the dollar reuter
Label:
",trade,2
21505,French main session bourse opening delayed 15 minutes by order volume - dealers,french main session bourse opening delayed 15 minutes by order volume dealers,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: french main session bourse opening delayed 15 minutes by order volume dealers
Label:
",earn,0
8314,BAYERNVEREIN EXPECTS UNCHANGED DIVIDEND FOR 1987,bayernverein expects unchanged dividend for 1987 bayerische vereinsbank ag bvmgf expects to pay an unchanged dividend of 13 marks on 1987 earnings but profits will only barely reach last years record levels management board spokesman maximilian hackl said he told the annual news conference that possible credit risks especially those associated with foreign nations had largely been covered risk provisions in 1987 were therefore unlikely to reach the same high level as in 1986 group bank net profit rose to 27552 mln marks in 1986 from 22273 mln the previous year and parent bank net profit increased to 18763 mln marks from 16158 mln hackl said that interest margins in the banking business had declined to 271 pct last year from 278 pct the previous year but in the mortgage sector the margins had increased slightly and stood around 07 pct parent bank commission surplus in the securities business had risen almost 15 pct to 358 mln marks in 1986 expenses for personnel had increased 75 pct to 782 mln marks and others costs had increased 94 pct to 272 mln marks the parent banks 1986 partial operating profit which excludes earnings from trading on its own account had climbed two pct to 671 mln marks the parent banks balance sheet total rose 53 pct to 815 billion marks at end1986 compared with end1985 hackl said it was boosted by a three billion mark rise in mortgage business and a 11 billion mark increase in banking business the mortgage sectors share in total parent bank business volume rose to,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: bayernverein expects unchanged dividend for 1987 bayerische vereinsbank ag bvmgf expects to pay an unchanged dividend of 13 marks on 1987 earnings but profits will only barely reach last years record levels management board spokesman maximilian hackl said he told the annual news conference that possible credit risks especially those associated with foreign nations had largely been covered risk provisions in 1987 were therefore unlikely to reach the same high level as in 1986 group bank net profit rose to 27552 mln marks in 1986 from 22273 mln the previous year and parent bank net profit increased to 18763 mln marks from 16158 mln hackl said that interest margins in the banking business had declined to 271 pct last year from 278 pct the previous year but in the mortgage sector the margins had increased slightly and stood around 07 pct parent bank commission surplus in the securities business had risen almost 15 pct to 358 mln marks in 1986 expenses for personnel had increased 75 pct to 782 mln marks and others costs had increased 94 pct to 272 mln marks the parent banks 1986 partial operating profit which excludes earnings from trading on its own account had climbed two pct to 671 mln marks the parent banks balance sheet total rose 53 pct to 815 billion marks at end1986 compared with end1985 hackl said it was boosted by a three billion mark rise in mortgage business and a 11 billion mark increase in banking business the mortgage sectors share in total parent bank business volume rose to
Label:
",trade,2
15996,ASSETS OF U.S. MONEY FUNDS ROSE IN WEEK,assets of us money funds rose in week assets of money market mutual funds increased 139 billion dlrs in the week ended yesterday to 23677 billion dlrs the investment company institute said assets of 93 institutional funds were up 4811 mln dlrs to 6565 billion dlrs 93 brokerdealer funds rose 2853 mln dlrs to 10731 billion dlrs and 197 general purpose funds gained 6255 mln dlrs to 638 billion dlrs reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: assets of us money funds rose in week assets of money market mutual funds increased 139 billion dlrs in the week ended yesterday to 23677 billion dlrs the investment company institute said assets of 93 institutional funds were up 4811 mln dlrs to 6565 billion dlrs 93 brokerdealer funds rose 2853 mln dlrs to 10731 billion dlrs and 197 general purpose funds gained 6255 mln dlrs to 638 billion dlrs reuter
Label:
",money-fx,4
6416,U.S. REAL GNP ROSE REVISED 1.1 PCT IN 4TH QTR INSTEAD OF 1.3 PCT RISE,us real gnp rose revised 11 pct in 4th qtr instead of 13 pct rise,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: us real gnp rose revised 11 pct in 4th qtr instead of 13 pct rise
Label:
",other,5
5843,KOBEYA BAKING HAS SWISS FRANC PRIVATE PLACEMENT,kobeya baking has swiss franc private placement kobeya baking co ltd is planning a private placement of 10 mln swiss franc notes paying 458 pct and priced at 10018 pct lead manager the long term credit bank of japan schweiz ag said the notes due march 31 1992 will be guaranteed by the sumitomo trust and banking co ltd and the sumitomo bank ltd the notes may be redeemed on september 30 1989 at 10114 pct declining by 12 pct per annum thereafter denominations will be 50000 francs and payment is due march 31 reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: kobeya baking has swiss franc private placement kobeya baking co ltd is planning a private placement of 10 mln swiss franc notes paying 458 pct and priced at 10018 pct lead manager the long term credit bank of japan schweiz ag said the notes due march 31 1992 will be guaranteed by the sumitomo trust and banking co ltd and the sumitomo bank ltd the notes may be redeemed on september 30 1989 at 10114 pct declining by 12 pct per annum thereafter denominations will be 50000 francs and payment is due march 31 reuter
Label:
",trade,2
1040,BELGIAN UNEMPLOYMENT FALLS IN FEBRUARY,belgian unemployment falls in february belgian unemployment based on the number of jobless drawing unemployment benefit fell to 121 pct of the working population at the end of february from 126 pct at the end of january the national statistics office said the rate compares with 124 pct at the end of february 1986 the total number of jobless stood at 508392 compared with 530587 at the end of january and 521219 at the end of february 1986 the statistics office said reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: belgian unemployment falls in february belgian unemployment based on the number of jobless drawing unemployment benefit fell to 121 pct of the working population at the end of february from 126 pct at the end of january the national statistics office said the rate compares with 124 pct at the end of february 1986 the total number of jobless stood at 508392 compared with 530587 at the end of january and 521219 at the end of february 1986 the statistics office said reuter
Label:
",other,5
15973,WORLD MARKET PRICE FOR UPLAND COTTON - USDA,world market price for upland cotton usda the us agriculture department announced the prevailing world market price adjusted to us quality and location for strict low middling 1116 inch upland cotton at 5057 cts per lb to be in effect through midnight april 16 the adjusted world price is at average us producing locations near lubbock texas and will be further adjusted for other qualities and locations the price will be used in determining first handler cotton certificate payment rates the department said since the adjusted world price is above the loan repayment rate of 44 cts per lb for the base quality no first handler cotton certificates will be issued during the period based on data for the week ended april 9 the adjusted world price for upland cotton is determined as follows in cts per lb northern european price 6288 adjustments average us spot mkt location 998 slm 1116 inch cotton 180 average us location 053 sum of adjustments 1232 adjusted world price 5063 reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: world market price for upland cotton usda the us agriculture department announced the prevailing world market price adjusted to us quality and location for strict low middling 1116 inch upland cotton at 5057 cts per lb to be in effect through midnight april 16 the adjusted world price is at average us producing locations near lubbock texas and will be further adjusted for other qualities and locations the price will be used in determining first handler cotton certificate payment rates the department said since the adjusted world price is above the loan repayment rate of 44 cts per lb for the base quality no first handler cotton certificates will be issued during the period based on data for the week ended april 9 the adjusted world price for upland cotton is determined as follows in cts per lb northern european price 6288 adjustments average us spot mkt location 998 slm 1116 inch cotton 180 average us location 053 sum of adjustments 1232 adjusted world price 5063 reuter
Label:
",trade,2
14275,LONDON COMMODITY EXCHANGE VOLUME STEADY - ICCH,london commodity exchange volume steady icch trading volume on the london commodity exchange held steady overall in march according to figures issued by the international commodities clearing house total volume was 238287 lots against 235665 in march 1986 and 233403 in february 1987 cocoa volume was down to 62686 lots last month from 82192 lots in march 1986 it totalled 65662 in february 1987 however coffee volume grew to 100597 lots from 93440 a year earlier and 83283 in february this year sugar trading totalled 75004 lots up on the march 1986 total of 60033 but below februarys 84458 for the whole first quarter sugar volume was substantially higher at 232601 against last years 115987 while coffee was down to 269190 from 433487 cocoa volume in the first quarter this year fell to 190142 from 221899 in 1986 and total volume for the three commodities was down to 691933 from 771373 reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: london commodity exchange volume steady icch trading volume on the london commodity exchange held steady overall in march according to figures issued by the international commodities clearing house total volume was 238287 lots against 235665 in march 1986 and 233403 in february 1987 cocoa volume was down to 62686 lots last month from 82192 lots in march 1986 it totalled 65662 in february 1987 however coffee volume grew to 100597 lots from 93440 a year earlier and 83283 in february this year sugar trading totalled 75004 lots up on the march 1986 total of 60033 but below februarys 84458 for the whole first quarter sugar volume was substantially higher at 232601 against last years 115987 while coffee was down to 269190 from 433487 cocoa volume in the first quarter this year fell to 190142 from 221899 in 1986 and total volume for the three commodities was down to 691933 from 771373 reuter
Label:
",trade,2
