id,title,training_text,text,answer,label
8246,WEST GERMAN SHIP SINKS OFF WEST AFRICA,west german ship sinks off west africa the west germanregistered motor vessel stefan e sank off the west african coast early today and one of its eight crew members was killed a spanish navy spokesman said he said the captain of the singaporeregistered tanker nord pacific reported in a radio message that he had picked up the remaining seven crewmen of the 2223 tonnes dw stefan e together with the body of the dead man reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: west german ship sinks off west africa the west germanregistered motor vessel stefan e sank off the west african coast early today and one of its eight crew members was killed a spanish navy spokesman said he said the captain of the singaporeregistered tanker nord pacific reported in a radio message that he had picked up the remaining seven crewmen of the 2223 tonnes dw stefan e together with the body of the dead man reuter
Label:
",earn,0
6392,STOLTENBERG URGES U.K. ENTRY INTO EMS,stoltenberg urges uk entry into ems west german finance minister gerhard stoltenberg suggested that the uk should join the european monetary system ems and also urged some member countries to abandon their dual currency structures stoltenberg was speaking at a meeting of the committee for a currency union in europe whose key members are former west german chancellor helmut schmidt and former french president valery giscard destaing founders of the ems he said one failing of the ems is important countries like great britain are not members other partners should give up their split currencies or abandon broader fluctuations ems member belgium has both a financial and a commercial franc and the italian lira is allowed to fluctuate by six pct against other member currencies compared with a permitted fluctuation of only 225 pct for other currencies according to a text of stoltenbergs speech the finance minister also urged greater convergence of economic and financial policies among european countries he added that monetary stability should be a priority for european countries and with reference to the us dollar he said it was wrong to presume that a permanent devaluation was the answer to economic problems stoltenberg said there were clear reasons to bring down the dollar in 1985 but an overshooting in the other direction now brings the danger of a new inflationary push for the us and other countries whose currencies have declined he added he said such a development could also,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: stoltenberg urges uk entry into ems west german finance minister gerhard stoltenberg suggested that the uk should join the european monetary system ems and also urged some member countries to abandon their dual currency structures stoltenberg was speaking at a meeting of the committee for a currency union in europe whose key members are former west german chancellor helmut schmidt and former french president valery giscard destaing founders of the ems he said one failing of the ems is important countries like great britain are not members other partners should give up their split currencies or abandon broader fluctuations ems member belgium has both a financial and a commercial franc and the italian lira is allowed to fluctuate by six pct against other member currencies compared with a permitted fluctuation of only 225 pct for other currencies according to a text of stoltenbergs speech the finance minister also urged greater convergence of economic and financial policies among european countries he added that monetary stability should be a priority for european countries and with reference to the us dollar he said it was wrong to presume that a permanent devaluation was the answer to economic problems stoltenberg said there were clear reasons to bring down the dollar in 1985 but an overshooting in the other direction now brings the danger of a new inflationary push for the us and other countries whose currencies have declined he added he said such a development could also
Label:
",trade,2
8118,BAKER WARNS AGAINST FORGIVENESS OF LATIN DEBT,baker warns against forgiveness of latin debt us treasury secretary james baker said any attempt to declare blanket debt forgiveness for major latin american debtor nations might damage the world economy in an article in mondays edition of the miami herald baker also criticised the concept of shortterm debt relief calling it a dramatic overnight solution while these ideas may be wellintentioned and have some political appeal they are impractical and counterproductive in the long run he said the article was published to coincide with a threeday meeting here of the interamerican development bank iadb baker is the chief architect of the us strategy on third world debt brazil the third worlds largest debtor last month declared a moratorium on interest repayments it has given no indication of when it may resume interest payments prompting fears that some large us banks may be forced into substantial debt writedowns and calling into question the viability of the us strategy baker defending the strategy said private commercial banks have rescheduled nearly 70 billion dlrs in debt since october 1985 at longer maturities and lower interest rates together with expected progress in commercial bank discussions with argentina and we hope brazil this should add up to substantial new lending for the major latin debtors in 1987 baker wrote he estimated that debtequity conversion plans accounted for 25 billion dlrs last year in four of the regions major debtor states such plans allow forei,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: baker warns against forgiveness of latin debt us treasury secretary james baker said any attempt to declare blanket debt forgiveness for major latin american debtor nations might damage the world economy in an article in mondays edition of the miami herald baker also criticised the concept of shortterm debt relief calling it a dramatic overnight solution while these ideas may be wellintentioned and have some political appeal they are impractical and counterproductive in the long run he said the article was published to coincide with a threeday meeting here of the interamerican development bank iadb baker is the chief architect of the us strategy on third world debt brazil the third worlds largest debtor last month declared a moratorium on interest repayments it has given no indication of when it may resume interest payments prompting fears that some large us banks may be forced into substantial debt writedowns and calling into question the viability of the us strategy baker defending the strategy said private commercial banks have rescheduled nearly 70 billion dlrs in debt since october 1985 at longer maturities and lower interest rates together with expected progress in commercial bank discussions with argentina and we hope brazil this should add up to substantial new lending for the major latin debtors in 1987 baker wrote he estimated that debtequity conversion plans accounted for 25 billion dlrs last year in four of the regions major debtor states such plans allow forei
Label:
",trade,2
11446,TREASURY'S BAKER SEES SMALLER TRADE DEFICIT,treasurys baker sees smaller trade deficit treasury secretary james baker predicted the us trade deficit would decline 1520 billion dlrs this year however he acknowledged signs were still lacking on such a decline we think we are beginning to see changes he told the house appropriations committee it has begun to level off but we dont see it beginning to go down yet he told the panel reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: treasurys baker sees smaller trade deficit treasury secretary james baker predicted the us trade deficit would decline 1520 billion dlrs this year however he acknowledged signs were still lacking on such a decline we think we are beginning to see changes he told the house appropriations committee it has begun to level off but we dont see it beginning to go down yet he told the panel reuter
Label:
",trade,2
6600,UK MINISTER SAYS FARM TALKS CAN USE OECD STUDY,uk minister says farm talks can use oecd study uk agriculture minister michael jopling said an oecd study which calculates the level of domestic farm subsidies in industrial countries would be a good basis for global agriculture negotiations now underway the controversial study which has not yet been released by the parisbased oecd has calculated a measure of farm subsidies called the the producer subsidy equivalent pse oecd sources in paris said last month jopling in a speech to the commodity club yesterday suggested the pse be refined as a starting point for reducing domestic farm policies during the uruguay round of trade negotiations begun under the world trade agreement gatt the oecd study shows that there are few countries which do not significantly subsidize farmers jopling said the oecd study attempts to measure all farm subsidies for the years 1979 through 1981 jopling qualified his endorsement of the pse as a negotiating tool however by saying the european community would want credit in the negotiations for recent actions taken to reform the common agricultural policy representatives of other industrial countries told reuters they are more skeptical than the uk about the pse concept an australian trade official said canberra has grave technical reservations about the use of the pse calculations us officials said there are several shortcomings to the study including the necessity to update the calculations to reflect recent changes in farm programs worldwide the officials said the stu,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: uk minister says farm talks can use oecd study uk agriculture minister michael jopling said an oecd study which calculates the level of domestic farm subsidies in industrial countries would be a good basis for global agriculture negotiations now underway the controversial study which has not yet been released by the parisbased oecd has calculated a measure of farm subsidies called the the producer subsidy equivalent pse oecd sources in paris said last month jopling in a speech to the commodity club yesterday suggested the pse be refined as a starting point for reducing domestic farm policies during the uruguay round of trade negotiations begun under the world trade agreement gatt the oecd study shows that there are few countries which do not significantly subsidize farmers jopling said the oecd study attempts to measure all farm subsidies for the years 1979 through 1981 jopling qualified his endorsement of the pse as a negotiating tool however by saying the european community would want credit in the negotiations for recent actions taken to reform the common agricultural policy representatives of other industrial countries told reuters they are more skeptical than the uk about the pse concept an australian trade official said canberra has grave technical reservations about the use of the pse calculations us officials said there are several shortcomings to the study including the necessity to update the calculations to reflect recent changes in farm programs worldwide the officials said the stu
Label:
",trade,2
3455,SAUDI ARABIA'S KING FAHD WANTS STABLE OIL PRICES,saudi arabias king fahd wants stable oil prices king fahd said today saudi arabia wants oil price stability and he called on nonopec producers to avoid harmful competition with the 13 nation group his plea in an interview with reuters and the television news agency visnews came ahead of a state visit he will make to britain later this month king fahd was asked whether saudi arabia would be prepared to reduce its oil output below its opec quota of 4133 mln barrels per day bpd to defend the 18 dlr benchmark price agreed to by opec last december the king replied saudi arabia doesnt decide prices by itself but certainly desires price stability nonopec countries must help us in a framework of common interest so that there is no type of competition which could prove harmful to everyone he said asked if he saw the 18 dlr per barrel benchmark as a first step towards higher world oil prices king fahd said it was not for saudi arabia but for all opec countries to determine such issues iran and algeria have already called for a higher benchmark in recent weeks the 18 dlr level has come under pressure due partly to quota violations by some opec members king fahd said saudi arabia the worlds largest oil exporter was adhering to decisions made at opecs december conference which set a 158 mln bpd output ceiling for the first half of 1987 a major nonopec producer britain has so far resisted the groups pleas to curb its north sea oil output the king also urged the world community to help the palestinians r,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: saudi arabias king fahd wants stable oil prices king fahd said today saudi arabia wants oil price stability and he called on nonopec producers to avoid harmful competition with the 13 nation group his plea in an interview with reuters and the television news agency visnews came ahead of a state visit he will make to britain later this month king fahd was asked whether saudi arabia would be prepared to reduce its oil output below its opec quota of 4133 mln barrels per day bpd to defend the 18 dlr benchmark price agreed to by opec last december the king replied saudi arabia doesnt decide prices by itself but certainly desires price stability nonopec countries must help us in a framework of common interest so that there is no type of competition which could prove harmful to everyone he said asked if he saw the 18 dlr per barrel benchmark as a first step towards higher world oil prices king fahd said it was not for saudi arabia but for all opec countries to determine such issues iran and algeria have already called for a higher benchmark in recent weeks the 18 dlr level has come under pressure due partly to quota violations by some opec members king fahd said saudi arabia the worlds largest oil exporter was adhering to decisions made at opecs december conference which set a 158 mln bpd output ceiling for the first half of 1987 a major nonopec producer britain has so far resisted the groups pleas to curb its north sea oil output the king also urged the world community to help the palestinians r
Label:
",trade,2
5917,LUFTHANSA SAYS FARE POLICY IN LINE WITH EC RULES,lufthansa says fare policy in line with ec rules the west german airline deutsche lufthansa ag believes the way it decides fares is in line with european community ec guidelines despite an official probe a company spokesman said today the federal cartel office in west berlin is investigating whether agreements reached by european airlines over fares are a breach of ec regulations on competition hubertus schoen the cartel offices spokesman said the investigation had been running for some weeks a spokesman for lufthansa told reuters lufthansa presumes that the way we decide fares corresponds with ec regulations airlines did not traditionally have to comply with a clause in the communitys treaty forbidding companies in member states from reaching accords likely to hinder free competition however schoen said that last year the european court of justice had ruled that this clause should also apply to air traffic the cartel offices probe came in the wake of this the office had not yet officially contacted lufthansa but schoen said the airline would be asked for information about the way fares were decided it would then be decided if the practice was a breach of article 85 of the ec treaty reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: lufthansa says fare policy in line with ec rules the west german airline deutsche lufthansa ag believes the way it decides fares is in line with european community ec guidelines despite an official probe a company spokesman said today the federal cartel office in west berlin is investigating whether agreements reached by european airlines over fares are a breach of ec regulations on competition hubertus schoen the cartel offices spokesman said the investigation had been running for some weeks a spokesman for lufthansa told reuters lufthansa presumes that the way we decide fares corresponds with ec regulations airlines did not traditionally have to comply with a clause in the communitys treaty forbidding companies in member states from reaching accords likely to hinder free competition however schoen said that last year the european court of justice had ruled that this clause should also apply to air traffic the cartel offices probe came in the wake of this the office had not yet officially contacted lufthansa but schoen said the airline would be asked for information about the way fares were decided it would then be decided if the practice was a breach of article 85 of the ec treaty reuter
Label:
",trade,2
5887,SOUTH AMERICAN FISH MEAL PRODUCTION AT RECORD HIGH,south american fish meal production at record high production of fish meal by the three south american producers chile peru and equador last year reached 25 mln tonnes equalling the record output of 1970 the international association of fish meal manufacturers iafmm said however iafmm said in a statement that it expected chilean and peruvian fish meal production in the first quarter of 1987 to be much lower than the 651000 tonnes produced in the last quarter of 1986 due to a ban on sardine fishing in chile for the month of february and to adverse fishing conditions in peru in the same month the statement added that due to technical market promotion and energetic sales by chile and peru the stock position at the end of the year remained reasonable fish meal production outside south america decreased slightly falling from 114400 to 111100 tonnes the iafmm said fish meal consumption in 1986 rose in west germany scandinavian countries eastern europe and the far east but fell in the us and remained static in the uk it added that fish meal consumption had suffered from competition with feed grade tallow in the us and with skimmed milk powder in the uk iafmm figures for fish oil production in the main producing nations in thousands of tonnes were octdec jandec 1986 1985 1986 1985 chile 22 8 109 76 peru 56 28 238 104 norway 14 14 97 130 iceland 44 52 102 118 denmark 20 18 88 77 us 10 8 152 129 japan 67 91 213 249 reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: south american fish meal production at record high production of fish meal by the three south american producers chile peru and equador last year reached 25 mln tonnes equalling the record output of 1970 the international association of fish meal manufacturers iafmm said however iafmm said in a statement that it expected chilean and peruvian fish meal production in the first quarter of 1987 to be much lower than the 651000 tonnes produced in the last quarter of 1986 due to a ban on sardine fishing in chile for the month of february and to adverse fishing conditions in peru in the same month the statement added that due to technical market promotion and energetic sales by chile and peru the stock position at the end of the year remained reasonable fish meal production outside south america decreased slightly falling from 114400 to 111100 tonnes the iafmm said fish meal consumption in 1986 rose in west germany scandinavian countries eastern europe and the far east but fell in the us and remained static in the uk it added that fish meal consumption had suffered from competition with feed grade tallow in the us and with skimmed milk powder in the uk iafmm figures for fish oil production in the main producing nations in thousands of tonnes were octdec jandec 1986 1985 1986 1985 chile 22 8 109 76 peru 56 28 238 104 norway 14 14 97 130 iceland 44 52 102 118 denmark 20 18 88 77 us 10 8 152 129 japan 67 91 213 249 reuter
Label:
",trade,2
1900,ITALIAN PRESIDENT FACES PROBLEMS CHOOSING LEADER,italian president faces problems choosing leader president francesco cossiga meets political leaders to discuss how to form a new government following the resignation of prime minister bettino craxi craxis socialist party has said it will not serve under foreign minister giulio andreotti who has been prime minister five times previously and whom the majority christian democratic party has said it wants to take on the job again the socialist party the second biggest in the outgoing fiveparty coalition said it would accept only ciriaco de mita christian democratic party secretary or the partys president arnaldo forlani for the job of prime minister political sources said talks are likely to be difficult and could take several days due to rivalry between the two leading parties in craxis 312 years as prime minister the christian democrats have become increasingly irritated at being denied the prime ministers job the sources said early general elections are likely unless agreement can be reached cossiga is due to meet former presidents before holding talks with party leaders including the opposition communists and the junior coalition members republicans liberals and social democrats after the consultations cossiga will name a prime ministerdesignate who will try to form a government reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: italian president faces problems choosing leader president francesco cossiga meets political leaders to discuss how to form a new government following the resignation of prime minister bettino craxi craxis socialist party has said it will not serve under foreign minister giulio andreotti who has been prime minister five times previously and whom the majority christian democratic party has said it wants to take on the job again the socialist party the second biggest in the outgoing fiveparty coalition said it would accept only ciriaco de mita christian democratic party secretary or the partys president arnaldo forlani for the job of prime minister political sources said talks are likely to be difficult and could take several days due to rivalry between the two leading parties in craxis 312 years as prime minister the christian democrats have become increasingly irritated at being denied the prime ministers job the sources said early general elections are likely unless agreement can be reached cossiga is due to meet former presidents before holding talks with party leaders including the opposition communists and the junior coalition members republicans liberals and social democrats after the consultations cossiga will name a prime ministerdesignate who will try to form a government reuter
Label:
",other,5
684,CUBA TELLS TRADERS SUGAR EXPORTS MAY BE DELAYED,cuba tells traders sugar exports may be delayed cuba has told international sugar operators who have bought its sugar for shipment in march that these contracts will take second place to cubas direct shipments to its export markets dealers here said some traders who have received telexes from cuba said the language of the message was not totally clear and some believed shipments would be honoured if the traders declare the soviet union as the destination of their contracts the telexes have fueled rising world prices in the last week and reflect a poor cuban crop worry over brazils export availability and increasing soviet demand analysts said traders said signs of cubas shortage of immediately available raw sugar to supply its traditional martkets was probably the factor behind syria calling a snap buying tender last month normally syria calls white sugar buying tenders for forward delivery and last months spot requirement resulted in the sale of several cargoes cuba in its telex told operators they would not receive march shipments as cuba has to meet its contracts to export markets traders said reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: cuba tells traders sugar exports may be delayed cuba has told international sugar operators who have bought its sugar for shipment in march that these contracts will take second place to cubas direct shipments to its export markets dealers here said some traders who have received telexes from cuba said the language of the message was not totally clear and some believed shipments would be honoured if the traders declare the soviet union as the destination of their contracts the telexes have fueled rising world prices in the last week and reflect a poor cuban crop worry over brazils export availability and increasing soviet demand analysts said traders said signs of cubas shortage of immediately available raw sugar to supply its traditional martkets was probably the factor behind syria calling a snap buying tender last month normally syria calls white sugar buying tenders for forward delivery and last months spot requirement resulted in the sale of several cargoes cuba in its telex told operators they would not receive march shipments as cuba has to meet its contracts to export markets traders said reuter
Label:
",trade,2
