id,title,training_text,text,answer,label
8882,DRAWDOWN SEEN IN U.S. DISTILLATE STOCKS,drawdown seen in us distillate stocks tonights american petroleum institute oil inventory report is expected to show another drawdown in distillate stocks of between two and 75 mln barrels for the week ending march 20 oil analysts and traders said they said they expect gasoline inventories to be depleted by about one to four mln barrels analysts were divided on the crude stocks some saw stocks unchanged to as much as three mln barrels higher others said stocks could be down one to five mln barrels crude throughput volumes are expected to be unchanged to slightly higher or lower than the week ended march 13 traders said the api recorded a 74 mln barrel stockdraw for us distillates in the week ended march 13 analysts see another draw reflecting historic seasonal trends for the week ended march 13 api reported gasoline stocks down 29 mln barrels those expecting a draw of as much as four mln barrels said they are looking for fairly high consumption rates as the spring and summer driving season gets underway this year because retail prices are still low compared to recent years us crude oil stocks were reported down by 44 mln barrels for the week ended march 13 analysts are divided over the outcome for last week because there is uncertainty about whether throughput levels increased or decreased last week some see crude stock levels unchanged to three mln barrels higher while others think inventories could be as much as five mln barrels below the previous week the lower estimates are supporte,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: drawdown seen in us distillate stocks tonights american petroleum institute oil inventory report is expected to show another drawdown in distillate stocks of between two and 75 mln barrels for the week ending march 20 oil analysts and traders said they said they expect gasoline inventories to be depleted by about one to four mln barrels analysts were divided on the crude stocks some saw stocks unchanged to as much as three mln barrels higher others said stocks could be down one to five mln barrels crude throughput volumes are expected to be unchanged to slightly higher or lower than the week ended march 13 traders said the api recorded a 74 mln barrel stockdraw for us distillates in the week ended march 13 analysts see another draw reflecting historic seasonal trends for the week ended march 13 api reported gasoline stocks down 29 mln barrels those expecting a draw of as much as four mln barrels said they are looking for fairly high consumption rates as the spring and summer driving season gets underway this year because retail prices are still low compared to recent years us crude oil stocks were reported down by 44 mln barrels for the week ended march 13 analysts are divided over the outcome for last week because there is uncertainty about whether throughput levels increased or decreased last week some see crude stock levels unchanged to three mln barrels higher while others think inventories could be as much as five mln barrels below the previous week the lower estimates are supporte
Label:
",not earn,0
10038,(CORRECTED) - MOBIL <MOB> TO UPGRADE REFINERY UNIT,corrected mobil mob to upgrade refinery unit mobil corp said it will spend over 30 mln dlrs to upgrade a gasolineproducing unit at its beaumont texas refinery it said the unit is a catalytic reformer which converts lowoctane components of gasoline into highoctane components for use in super unleaded gasoline the company said the modernization will allow the unit to regenerate catalysts on a continuous basis without shutdown currently it must be shut twice a year the unit produces 46000 barrels of gasoline components a day construction will start late this year with completion set for mid1989 correcting units output to barrelsday from barrelsyear reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: corrected mobil mob to upgrade refinery unit mobil corp said it will spend over 30 mln dlrs to upgrade a gasolineproducing unit at its beaumont texas refinery it said the unit is a catalytic reformer which converts lowoctane components of gasoline into highoctane components for use in super unleaded gasoline the company said the modernization will allow the unit to regenerate catalysts on a continuous basis without shutdown currently it must be shut twice a year the unit produces 46000 barrels of gasoline components a day construction will start late this year with completion set for mid1989 correcting units output to barrelsday from barrelsyear reuter
Label:
",earn,1
2061,ROYAL DUTCH/SHELL U.S. EARNINGS SHARPLY LOWER,royal dutchshell us earnings sharply lower royal dutchshell group rdas earnings for 1986 from the us fell sharply because of difficult market conditions lower crude and gas prices and also due to different accounting methods shell chairman peter holmes said the shell oil dollar net income fell 47 pct in the year while the additional effect of currency movements reduced the contribution to group net income by 57 pct to 472 mln stg the group earlier reported a drop in net income for the year to 254 billion stg from 303 billion previously with lower crude prices outweighing the effect of increased sales by volume although the figures were lower they were nonetheless at the top end of market forecasts shell transport and trading plc scl shares the uk arm of the group rose to 1139 stg from a close last night of 1106 stg analysts noted that a general collapse in exploration and production volumes was partially offset by earnings from chemicals rising to 462 mln stg from 205 mln in 1985 also a windfall tax credit and lower than expected currency losses had added about 100 mln stg onto fourth quarter results which was the main reason for the figures exceeding forecasts industry analyst chris rowland of barclays de zoete wedd noted however he added there could well be a sharp fall in performance in the first quarter of 1987 due to the improbability that the group would be able to repeat the high refining and marketing margins of first quarter 1986 the impact of recovering oil prices would com,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: royal dutchshell us earnings sharply lower royal dutchshell group rdas earnings for 1986 from the us fell sharply because of difficult market conditions lower crude and gas prices and also due to different accounting methods shell chairman peter holmes said the shell oil dollar net income fell 47 pct in the year while the additional effect of currency movements reduced the contribution to group net income by 57 pct to 472 mln stg the group earlier reported a drop in net income for the year to 254 billion stg from 303 billion previously with lower crude prices outweighing the effect of increased sales by volume although the figures were lower they were nonetheless at the top end of market forecasts shell transport and trading plc scl shares the uk arm of the group rose to 1139 stg from a close last night of 1106 stg analysts noted that a general collapse in exploration and production volumes was partially offset by earnings from chemicals rising to 462 mln stg from 205 mln in 1985 also a windfall tax credit and lower than expected currency losses had added about 100 mln stg onto fourth quarter results which was the main reason for the figures exceeding forecasts industry analyst chris rowland of barclays de zoete wedd noted however he added there could well be a sharp fall in performance in the first quarter of 1987 due to the improbability that the group would be able to repeat the high refining and marketing margins of first quarter 1986 the impact of recovering oil prices would com
Label:
",earn,1
11171,WOODSIDE SAYS LOSS REFLECTS LOWER OIL PRICES,woodside says loss reflects lower oil prices woodside petroleum ltd wplas said its 1986 net loss largely reflected the drop in oil prices combined with a large tax provision woodside earlier reported attributable net loss rose to 1714 mln dlrs in 1986 from 873 mln in 1985 although group revenue rose to 22084 mln from 17350 mln it said it should have received a 17 mln dlr tax credit but instead made a 1004 mln dlr tax provision this largely related to its vamgas ltd unit nonallowable exchange losses and tax benefits from the northwest shelf project not recognised in the accounts woodside said the rise in revenue largely reflected full year sales of gas and condensate from the domestic phase of the shelf project against six month sales in 1985 offsetting this was a 23 pct fall in the cooper basin gas and liquids revenue of its 506 pctowned vamgas unit since the balance date woodside has accepted a santos ltd stoss takeover offer for vamgas woodside said a 928 mln dlr capital profit on the sale would be included in the 1987 accounts it said it lifted capital spending on fixed assets to 2696 mln dlrs from 1783 mln mostly on the shelf project reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: woodside says loss reflects lower oil prices woodside petroleum ltd wplas said its 1986 net loss largely reflected the drop in oil prices combined with a large tax provision woodside earlier reported attributable net loss rose to 1714 mln dlrs in 1986 from 873 mln in 1985 although group revenue rose to 22084 mln from 17350 mln it said it should have received a 17 mln dlr tax credit but instead made a 1004 mln dlr tax provision this largely related to its vamgas ltd unit nonallowable exchange losses and tax benefits from the northwest shelf project not recognised in the accounts woodside said the rise in revenue largely reflected full year sales of gas and condensate from the domestic phase of the shelf project against six month sales in 1985 offsetting this was a 23 pct fall in the cooper basin gas and liquids revenue of its 506 pctowned vamgas unit since the balance date woodside has accepted a santos ltd stoss takeover offer for vamgas woodside said a 928 mln dlr capital profit on the sale would be included in the 1987 accounts it said it lifted capital spending on fixed assets to 2696 mln dlrs from 1783 mln mostly on the shelf project reuter
Label:
",earn,1
12344,CROWN RESOURCES <CRRS> PLANS ENERGY UNIT SALE,crown resources crrs plans energy unit sale crown resources corp said it plans to sell its oklahomabased oil and gas unit as part of its strategy to focus on developing precious metals properties the company said it bought the wyona water flood oil and gas unit in 1984 for 650000 dlrs crown said the wyona field is fully developed with 28 producing wells current oil production is 80 barrels a day it said adding that no gas was produced for sale in 1986 reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: crown resources crrs plans energy unit sale crown resources corp said it plans to sell its oklahomabased oil and gas unit as part of its strategy to focus on developing precious metals properties the company said it bought the wyona water flood oil and gas unit in 1984 for 650000 dlrs crown said the wyona field is fully developed with 28 producing wells current oil production is 80 barrels a day it said adding that no gas was produced for sale in 1986 reuter
Label:
",not earn,0
6760,MEXICAN HYDROCARBON RESERVES FALL SLIGHTLY IN 1986,mexican hydrocarbon reserves fall slightly in 1986 mexicos proven reserves of liquid hydrocarbons at end1986 were 70 billion barrels slightly down from 709 billion a year ago and 7175 billion in 1984 the state oil company petroleos mexicanos pemex announced reserves were just 577 billion barrels in 1974 rose sharply to 4019 billion in 1978 and flattened out at 72 billion in both 1981 and 1982 in its annual report pemex said average crude output in 1986 was 243 mln barrels per day 202000 bpd down on 1985 average exports were 129 mln bpd down from 144 mln bpd the company did not say what percentage of hydrocarbons was crude oil but has previouly said it was about 48 pct natural gas output in 1986 was 343 billion cubic feet per day down from 36 billion in 1985 due mainly to the fall in oil prices to around 12 dlrs from 25 dlrs in the year 58 wells both exploratory and production were suspended 38 of them in less productive areas than the offshore campeche fields which accounted for 64 pct of production reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: mexican hydrocarbon reserves fall slightly in 1986 mexicos proven reserves of liquid hydrocarbons at end1986 were 70 billion barrels slightly down from 709 billion a year ago and 7175 billion in 1984 the state oil company petroleos mexicanos pemex announced reserves were just 577 billion barrels in 1974 rose sharply to 4019 billion in 1978 and flattened out at 72 billion in both 1981 and 1982 in its annual report pemex said average crude output in 1986 was 243 mln barrels per day 202000 bpd down on 1985 average exports were 129 mln bpd down from 144 mln bpd the company did not say what percentage of hydrocarbons was crude oil but has previouly said it was about 48 pct natural gas output in 1986 was 343 billion cubic feet per day down from 36 billion in 1985 due mainly to the fall in oil prices to around 12 dlrs from 25 dlrs in the year 58 wells both exploratory and production were suspended 38 of them in less productive areas than the offshore campeche fields which accounted for 64 pct of production reuter
Label:
",not earn,0
2606,ICO QUOTA TALKS FAILURE PARALYSE HAMBURG MARKET,ico quota talks failure paralyse hamburg market the failure of international coffee organization talks on the reintroduction of quotas has paralysed business on the hamburg green coffee market in the past week trade sources said there was only sporadic activity for spot material which was mainly requirement buying they said adding that preregistered coffees were no longer available they said they expected brazil and colombia to open export registrations for may shipment next week however the president of the brazilian coffee institute jorio dauster said yesterday he had not yet decided when its registrations would reopen reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: ico quota talks failure paralyse hamburg market the failure of international coffee organization talks on the reintroduction of quotas has paralysed business on the hamburg green coffee market in the past week trade sources said there was only sporadic activity for spot material which was mainly requirement buying they said adding that preregistered coffees were no longer available they said they expected brazil and colombia to open export registrations for may shipment next week however the president of the brazilian coffee institute jorio dauster said yesterday he had not yet decided when its registrations would reopen reuter
Label:
",not earn,0
5552,ONYX PETROLEUM CONVERTS DEBENTURES TO COMMON,onyx petroleum converts debentures to common onyx petroleum exploration co ltd earlier reporting a 1986 net loss against yearago profit said it converted 7344000 dlrs of its 11 pct convertible debentures into 2824611 common shares the conversion eliminates its obligation to pay principal amount due 1993 on the debentures and will increase cash flow through an interest saving of more than 800000 dlrs a year the company said onyx earlier reported a 1986 net loss of 106 mln dlrs after a 103 mln dlr writedown on oil and gas property values compared to a 13 mln dlr profit in the prior year onyx also said the company is a 375 pct partner with westcoast petroleum ltd in a new oil well drilled in otterogston area of central alberta that tested at rates of more than 1000 barrels a day from the granite wash formation well production will be royalty free for five years with initial allowable rates expected to be in the range of 150 barrels a day the company said reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: onyx petroleum converts debentures to common onyx petroleum exploration co ltd earlier reporting a 1986 net loss against yearago profit said it converted 7344000 dlrs of its 11 pct convertible debentures into 2824611 common shares the conversion eliminates its obligation to pay principal amount due 1993 on the debentures and will increase cash flow through an interest saving of more than 800000 dlrs a year the company said onyx earlier reported a 1986 net loss of 106 mln dlrs after a 103 mln dlr writedown on oil and gas property values compared to a 13 mln dlr profit in the prior year onyx also said the company is a 375 pct partner with westcoast petroleum ltd in a new oil well drilled in otterogston area of central alberta that tested at rates of more than 1000 barrels a day from the granite wash formation well production will be royalty free for five years with initial allowable rates expected to be in the range of 150 barrels a day the company said reuter
Label:
",not earn,0
3017,BRAZILIAN SEAFARERS' STRIKE DAMAGES OIL EXPORTS,brazilian seafarers strike damages oil exports a strike by brazils 40000 seafarers who want pay rises of up to 180 pct may have cost the stateowned oil company petrobras 20 mln dlrs in lost export orders the companys commercial director arthur de carvalho was quoted as saying in press reports more than 170 ships in brazil and about nine more in foreign ports have been halted by the strike which began on february 27 marines began blockading the ships on friday after the strike was ruled illegal and some strikers are running short of food national merchants marine union president edson areias said reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: brazilian seafarers strike damages oil exports a strike by brazils 40000 seafarers who want pay rises of up to 180 pct may have cost the stateowned oil company petrobras 20 mln dlrs in lost export orders the companys commercial director arthur de carvalho was quoted as saying in press reports more than 170 ships in brazil and about nine more in foreign ports have been halted by the strike which began on february 27 marines began blockading the ships on friday after the strike was ruled illegal and some strikers are running short of food national merchants marine union president edson areias said reuter
Label:
",not earn,0
8402,"IRAQ OIL MINISTER QASSEM AHMED TAQI REPLACED, IRAQI NEWS AGENCY REPORTS",iraq oil minister qassem ahmed taqi replaced iraqi news agency reports,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: iraq oil minister qassem ahmed taqi replaced iraqi news agency reports
Label:
",not earn,0
