id,title,training_text,text,answer,label
11432,CONGRESS VIDEO <CVGI> RESTRUCTURES MANAGEMENT,congress video cvgi restructures management congress video group inc said lawrence kieves has been appointed president and chief executive officer replacing morton fry who has left the company kieves was formerly chief financial officer and senior vice president the company said reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: congress video cvgi restructures management congress video group inc said lawrence kieves has been appointed president and chief executive officer replacing morton fry who has left the company kieves was formerly chief financial officer and senior vice president the company said reuter
Label:
",other,5
19615,MOSELEY SECURITIES <MOSE.O> CHAIRMAN RESIGNS,moseley securities moseo chairman resigns moseley securities corp said howard berg resigned as chairman and chief executive officer it said frederick s moseley iii assumed the position of chairman in other management changes omar kassem was named vice chairman and chief executive officer and james wolitarsky executive vice president and chief financial officer was appointed president and chief operating officer the company also said it named a management committee consisting of wolitarsky and six executive vice presidents reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: moseley securities moseo chairman resigns moseley securities corp said howard berg resigned as chairman and chief executive officer it said frederick s moseley iii assumed the position of chairman in other management changes omar kassem was named vice chairman and chief executive officer and james wolitarsky executive vice president and chief financial officer was appointed president and chief operating officer the company also said it named a management committee consisting of wolitarsky and six executive vice presidents reuter
Label:
",other,5
469,REGENCY CRUISES INC <SHIP> ELECTS NEW CHAIRMAN,regency cruises inc ship elects new chairman regency cruises inc said its board elected william schanz as its chairman and chief executive officer he replaces anastasios kyriakides who resigned in december schantz has served as president treasurer and a director since its inception in 1984 the company also elected three directors they are paul hermann john clive bayley and costas galetakis the company said they replace paul wells and douglas macgarvey who also resigned in december one new directors post has been added regency said reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: regency cruises inc ship elects new chairman regency cruises inc said its board elected william schanz as its chairman and chief executive officer he replaces anastasios kyriakides who resigned in december schantz has served as president treasurer and a director since its inception in 1984 the company also elected three directors they are paul hermann john clive bayley and costas galetakis the company said they replace paul wells and douglas macgarvey who also resigned in december one new directors post has been added regency said reuter
Label:
",trade,2
18260,CORBUS <CRVS.O> PRESIDENT NAMED CEO,corbus crvso president named ceo corvus systems inc said lewis lipton currently president was named to the additional post of chief executive the company said lipton was also elected to its board reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: corbus crvso president named ceo corvus systems inc said lewis lipton currently president was named to the additional post of chief executive the company said lipton was also elected to its board reuter
Label:
",other,5
18189,K-TRON <KTII.O> ELECTS NEW PRESIDENT,ktron ktiio elects new president ktron international inc said its board elected john c tucker president filling a position that had been vacant since july 30 1985 tucker joined ktron in 1981 as vice president chief financial officer and treasurer in 1986 he was promoted to executive vice president and chief operating officer reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: ktron ktiio elects new president ktron international inc said its board elected john c tucker president filling a position that had been vacant since july 30 1985 tucker joined ktron in 1981 as vice president chief financial officer and treasurer in 1986 he was promoted to executive vice president and chief operating officer reuter
Label:
",other,5
16877,KAYDON <KDON.O> NAMES NEW CHAIRMAN,kaydon kdono names new chairman kaydon corp said president richard a shantz has been named chairman succeeding glenn w bailey who remains on the board the company said lawrence j cawley who had been president of the bearing division has ben named to succeed shantz as kaydon president reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: kaydon kdono names new chairman kaydon corp said president richard a shantz has been named chairman succeeding glenn w bailey who remains on the board the company said lawrence j cawley who had been president of the bearing division has ben named to succeed shantz as kaydon president reuter
Label:
",other,5
8921,DEROSE <DRI> CHAIRMAN STEPS DOWN,derose dri chairman steps down derose industries inc said robert a derose has retired as chairman and chief executive officer but will remain on the board through 1987 in an advisory capacity it said president and chief operating officer victor a derose his son has been named chairman and ceo the company said director tom johnson who is also president of high chaparral inc has been named president and chief operating officer reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: derose dri chairman steps down derose industries inc said robert a derose has retired as chairman and chief executive officer but will remain on the board through 1987 in an advisory capacity it said president and chief operating officer victor a derose his son has been named chairman and ceo the company said director tom johnson who is also president of high chaparral inc has been named president and chief operating officer reuter
Label:
",other,5
18059,PERRY DRUG STORES <PDS> NAMES NEW PRESIDENT,perry drug stores pds names new president perry drug stores inc said it has elected david schwartz as president and chief executive officer effective immediately perry said schwartz who will also serve on the board replaced donald fox who resigned january 12 previously schwartz was vice president of drug and general merchandise for kroger co kr perry said reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: perry drug stores pds names new president perry drug stores inc said it has elected david schwartz as president and chief executive officer effective immediately perry said schwartz who will also serve on the board replaced donald fox who resigned january 12 previously schwartz was vice president of drug and general merchandise for kroger co kr perry said reuter
Label:
",other,5
4251,<TELCOM GENERAL CORP> PRESIDENT RESIGNS,telcom general corp president resigns telcom general corp which stopped operating a month ago said robert f friedman has resigned as president chief executive officer and a director reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: telcom general corp president resigns telcom general corp which stopped operating a month ago said robert f friedman has resigned as president chief executive officer and a director reuter
Label:
",earn,0
52,ARVIN INDS <ARV> PROMOTES EVANS TO PRESIDENT,arvin inds arv promotes evans to president arvin industries inc said lk evans has been elected president succeeding james baker who remains chairman evans had been executive vice president reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: arvin inds arv promotes evans to president arvin industries inc said lk evans has been elected president succeeding james baker who remains chairman evans had been executive vice president reuter
Label:
",other,5
