id,title,training_text,text,answer,label
16407,U.S. TRUST CO <USTC> RAISES BROKER LOAN RATE,us trust co ustc raises broker loan rate us trust co said it raised its broker loan rate to 734 pct from 712 pct effective immediately bankers trust co bt which also quotes its broker loan rate publicly raised its rate to 712 pct earlier today reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: us trust co ustc raises broker loan rate us trust co said it raised its broker loan rate to 734 pct from 712 pct effective immediately bankers trust co bt which also quotes its broker loan rate publicly raised its rate to 712 pct earlier today reuter
Label:
",not earn,0
4425,"MONTEDISON, OTHER REFINERIES TO SHUT FOR WORK",montedison other refineries to shut for work selmsocieta energia montedison is to close its priolo crude refining units from march 15th to march 28th for maintenance a company spokesman said throughput at the refinery is currently estimated at 140150000 bpd although total capacity is nearer 200000 bpd several other mediterranean refineries are currently shutdown for maintenance most of which were scheduled some months ago but industry sources said that shutdowns may have been rearranged to avoid running negativenetback crude tighter availabilities of products as a result of the shutdowns in the med is helping to keep products markets bullish particularly for march deliveries oil traders said garrones refinery at san quirico capacity 130000 bpd is due to shutdown on march 14th for three weeks and the jointlyowned isabgarrone refinery at mellili capacity 220000 bpd is due to start up around march 2025th following its closure for maintenance a month ago a company spokesman said the esso italiana refineries at augusta and siracusa will not be closing this spring a spokesman for the company said in france the distillation unit at societe francaise de bps lavera refinery has been closed for maintenance since march 2 and is due to restart early april total capacity is 181900 bpd it is currently operating at around 50 pct capacity a company spokesman said shell francaises berre letang refinery will shut down in early april until midjune a company spokesman said capacity is around 1500,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: montedison other refineries to shut for work selmsocieta energia montedison is to close its priolo crude refining units from march 15th to march 28th for maintenance a company spokesman said throughput at the refinery is currently estimated at 140150000 bpd although total capacity is nearer 200000 bpd several other mediterranean refineries are currently shutdown for maintenance most of which were scheduled some months ago but industry sources said that shutdowns may have been rearranged to avoid running negativenetback crude tighter availabilities of products as a result of the shutdowns in the med is helping to keep products markets bullish particularly for march deliveries oil traders said garrones refinery at san quirico capacity 130000 bpd is due to shutdown on march 14th for three weeks and the jointlyowned isabgarrone refinery at mellili capacity 220000 bpd is due to start up around march 2025th following its closure for maintenance a month ago a company spokesman said the esso italiana refineries at augusta and siracusa will not be closing this spring a spokesman for the company said in france the distillation unit at societe francaise de bps lavera refinery has been closed for maintenance since march 2 and is due to restart early april total capacity is 181900 bpd it is currently operating at around 50 pct capacity a company spokesman said shell francaises berre letang refinery will shut down in early april until midjune a company spokesman said capacity is around 1500
Label:
",not earn,0
20593,BEMIS CO <BMS> 3RD QTR NET,bemis co bms 3rd qtr net shr 61 cts vs 50 cts net 8273000 vs 6913000 sales 2260 mln vs 2159 mln nine mths shr 160 dlrs vs 125 dlrs net 21771000 vs 17369000 sales 6883 mln vs 6358 mln reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: bemis co bms 3rd qtr net shr 61 cts vs 50 cts net 8273000 vs 6913000 sales 2260 mln vs 2159 mln nine mths shr 160 dlrs vs 125 dlrs net 21771000 vs 17369000 sales 6883 mln vs 6358 mln reuter
Label:
",earn,1
4811,U.S. JANUARY BUSINESS INVENTORIES ROSE 0.9 PCT,us january business inventories rose 09 pct us business inventories rose 56 billion dlrs or 09 pct to a seasonally adjusted 59219 billion dlrs in january the commerce department said it was the largest inventory rise since july 1979 when inventories were up 17 pct in december inventories fell a revised 34 billion dlrs or 06 pct to 58665 billion dlrs previously the department said inventories fell 05 pct in december business sales fell 201 billion dlrs or 45 pct in january to 42875 billion dlrs after rising by three pct in december to 44882 billion dlrs the department said it was the largest monthly sales drop on record january inventories were up 82 billion dlrs or 14 pct from the yearago level of 58399 billion dlrs durable goods inventories rose 14 pct to 36613 billion in january dlrs while nondurables inventories were up 02 pct from december levels to 22607 billion dlrs manufacturers inventories were up 05 pct to 27702 billion dlrs in january after falling by 03 pct in december to 27553 billion dlrs wholesalers inventories rose 13 pct in january to 14025 billion dlrs the inventorytosales ratio rose to 138 up 07 from december the department said januarys sales were 282 billion dlrs or 07 pct below the january 1986 level of 43156 billion dlrs reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: us january business inventories rose 09 pct us business inventories rose 56 billion dlrs or 09 pct to a seasonally adjusted 59219 billion dlrs in january the commerce department said it was the largest inventory rise since july 1979 when inventories were up 17 pct in december inventories fell a revised 34 billion dlrs or 06 pct to 58665 billion dlrs previously the department said inventories fell 05 pct in december business sales fell 201 billion dlrs or 45 pct in january to 42875 billion dlrs after rising by three pct in december to 44882 billion dlrs the department said it was the largest monthly sales drop on record january inventories were up 82 billion dlrs or 14 pct from the yearago level of 58399 billion dlrs durable goods inventories rose 14 pct to 36613 billion in january dlrs while nondurables inventories were up 02 pct from december levels to 22607 billion dlrs manufacturers inventories were up 05 pct to 27702 billion dlrs in january after falling by 03 pct in december to 27553 billion dlrs wholesalers inventories rose 13 pct in january to 14025 billion dlrs the inventorytosales ratio rose to 138 up 07 from december the department said januarys sales were 282 billion dlrs or 07 pct below the january 1986 level of 43156 billion dlrs reuter
Label:
",not earn,0
14161,"Ia-So Minn direct hogs estimated rcpts 80,000 vs actual week ago 85,000 and actual year ago 72,000.",iaso minn direct hogs estimated rcpts 80000 vs actual week ago 85000 and actual year ago 72000,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: iaso minn direct hogs estimated rcpts 80000 vs actual week ago 85000 and actual year ago 72000
Label:
",not earn,0
15365,AUSTRALIAN UNEMPLOYMENT RISES IN MARCH,australian unemployment rises in march australias seasonally adjusted unemployment rate rose to 84 pct of the estimated workforce in march from 82 pct in february and 79 pct a year earlier the statistics bureau said the number of jobless rose to 650700 from 631900 in february and 593200 a year earlier the bureau said unadjusted the number of unemployed rose to 702600 from 699600 in february but the rate eased to 90 pct from 91 reflecting a slight increase in the estimated workforce in march 1986 640400 persons or 85 pct of the workforce were out of work reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: australian unemployment rises in march australias seasonally adjusted unemployment rate rose to 84 pct of the estimated workforce in march from 82 pct in february and 79 pct a year earlier the statistics bureau said the number of jobless rose to 650700 from 631900 in february and 593200 a year earlier the bureau said unadjusted the number of unemployed rose to 702600 from 699600 in february but the rate eased to 90 pct from 91 reflecting a slight increase in the estimated workforce in march 1986 640400 persons or 85 pct of the workforce were out of work reuter
Label:
",not earn,0
21574,JAPAN/INDIA CONFERENCE CUTS GULF WAR RISK CHARGES,japanindia conference cuts gulf war risk charges the japanindiapakistangulfjapan shipping conference said it would cut the extra risk insurance surcharges on shipments to iranian and iraqi ports to a minimum three pct from 45 pct on october 25 it said surcharges on shipments of all breakbulk cargoes to noniraqi arab ports would be reduced to 30 pct from 45 a conference spokesman declined to say why the move was taken at a time of heightened tension in the gulf reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: japanindia conference cuts gulf war risk charges the japanindiapakistangulfjapan shipping conference said it would cut the extra risk insurance surcharges on shipments to iranian and iraqi ports to a minimum three pct from 45 pct on october 25 it said surcharges on shipments of all breakbulk cargoes to noniraqi arab ports would be reduced to 30 pct from 45 a conference spokesman declined to say why the move was taken at a time of heightened tension in the gulf reuter
Label:
",not earn,0
4705,NAKASONE REFUSES TO DROP SALES TAX,nakasone refuses to drop sales tax japans prime minister yasuhiro nakasone has refused to drop a proposed sales tax as debate on a draft budget for 1987 resumed after a nineday opposition boycott i have no plan to withdraw the sales tax as i think it is the best policy for japan nakasone told the budget committee of the lower house of parliament kyodo news agency said a small group of members of nakasones ruling liberal democratic party filed a complaint with their local headquarters calling for his expulsion from the party on the grounds he broke a campaign pledge by introducing the sales tax nakasone admitted the tax was a major factor in an upper house byelection defeat for his party on sunday the election was the first nationallevel poll since nakasone presented his plan for overhauling japans tax system which has remained unaltered for the past 36 years the sales tax and the planned abolition of the taxfree saving system are designed to offset proposed income and corporate tax cuts reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: nakasone refuses to drop sales tax japans prime minister yasuhiro nakasone has refused to drop a proposed sales tax as debate on a draft budget for 1987 resumed after a nineday opposition boycott i have no plan to withdraw the sales tax as i think it is the best policy for japan nakasone told the budget committee of the lower house of parliament kyodo news agency said a small group of members of nakasones ruling liberal democratic party filed a complaint with their local headquarters calling for his expulsion from the party on the grounds he broke a campaign pledge by introducing the sales tax nakasone admitted the tax was a major factor in an upper house byelection defeat for his party on sunday the election was the first nationallevel poll since nakasone presented his plan for overhauling japans tax system which has remained unaltered for the past 36 years the sales tax and the planned abolition of the taxfree saving system are designed to offset proposed income and corporate tax cuts reuter
Label:
",not earn,0
4254,BDM INTERNATIONAL <BDM> GETS AIR FORCE CONTRACT,bdm international bdm gets air force contract bdm international inc said it has received a 267 mln dlr contract to provide operations maintenance and test support to the us air force weapons laboratory nuclear simulator test facilities at kirtland air force base in albuquerque the company said the contract covers a fouryear peiod and includes an option for another year reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: bdm international bdm gets air force contract bdm international inc said it has received a 267 mln dlr contract to provide operations maintenance and test support to the us air force weapons laboratory nuclear simulator test facilities at kirtland air force base in albuquerque the company said the contract covers a fouryear peiod and includes an option for another year reuter
Label:
",not earn,0
16451,PRESIDENTIAL AIRWAYS <PAIR.O> UNIT ADDS SERVICE,presidential airways pairo unit adds service presidential airways said its continental jet express will begin daily nonstop service between dulles international airport here and akroncanton ohio and the lexingtonfrankfort area of kentucky presidential reiterated its marketing agreement with texas air corps tex continental airlines on jan 12 which calls for presidential to do business as continental jet express reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: presidential airways pairo unit adds service presidential airways said its continental jet express will begin daily nonstop service between dulles international airport here and akroncanton ohio and the lexingtonfrankfort area of kentucky presidential reiterated its marketing agreement with texas air corps tex continental airlines on jan 12 which calls for presidential to do business as continental jet express reuter
Label:
",not earn,0
