id,title,description,label,label_earn
11291,ECONOMISTS CUT AUSTRIAN GDP GROWTH FORECAST,"The Institute for Economic Research (WIFO) said it has cut its forecast for Austria's 1987 gross domestic product growth to a real one pct from a two pct forecast made last December. WIFO chief Helmut Kramer told a new conference that he saw the one pct figure, which compares with 1.8 pct last year, as the upper limit of growth. The institute had made the revision due to poor prospects for Austrian exports, he added. A collapse in sales to the Eastern European and oil producing states, combined with the effects of the dollar's fall, mean exports overall are unlikely to rise this year. Kramer said domestic demand alone would fuel growth this year. After last year's 2.8 pct rise in real incomes, private consumption was likely to rise 2.25 pct in 1987 after 1.9 pct in 1986, despite a present trend towards higher savings. Unemployment was likely to rise to almost six pct from 5.2 pct last year due to the slack economic activity. Kramer said the current account was likely to run a deficit of about four billion schillings compared with a 2.6 billion surplus recorded last year. The National Bank, Austria's central bank, last month forecast the current account would be roughly in balance this year. However, Kramer said the lower economic growth should have no notable effect on the government's attempts to cut the budget deficit. This year's aim of reducing the deficit to 4.9 pct of GDP from 5.1 pct in 1986 could still be achieved, he said. REUTER",0,0
10314,BELGIAN DECEMBER INDUSTRIAL OUTPUT FALLS,"Industrial production, excluding construction and adjusted for the number of working days, fell 1.5 pct in December from year earlier levels, the National Statistics Office said. It was also a sharp 16.8 pct below the November level, it said. The office said the production index, base 1980, stood at 97.3 in December against an adjusted 116.9 in November and 98.8 in December 1985. REUTER",0,0
5690,SCHLUMBERGER <SLB> MAY HAVE ALTERNATE BUYER,"Schlumberger Ltd most likely has an alternate buyer lined up for its Fairchild Semiconductor unit, Wall Street analysts said. ""I think its clear that in cancelling its agreement with Fujitsu, Schlumberger has signaled that it has another deal in the works,"" said Paul Johnson, a semiconductor analyst with L.F. Rothschild. ""There are unquestionably other buyers out there,"" added Kidder Peabody analyst Adam F. Cuhney. ""A lot of companies have looked at Fairchild and would be willing to buy it."" Among the companies that would be interested in bidding for Fairchild are Advanced Micro Devices <AMD>, Sunnyvale, Calif., and LSI Logic Corp <LLSI>, Milpitas, Calif., industry analysts said. Top U.S. chipmakers like National Semiconductor Corp <NSM>, Texas Instruments Inc <TXN> and Motorola Inc <MOT> might also seek to buy Fairchild, but could possibly run into antitrust problems, the analysts added. Moreover, Fairchild's management is thought to be considering proposing a leveraged buyout of the Cupertino, Calif., company, analysts said. In a brief statement announcing the termination of the agreement with Fujitsu, Schlumberger said the decision opened up other possibilities, including a possible buyout by Fairchild management. The company said it ended the deal, in which Fujitsu would have bought 80 pct of Fairchild for an estimated 200 mln dlrs, because rising opposition to the deal by the Reagan administration made it unlikely that the sale could be completed within a reasonable peri",0,0
1448,RHODES <RHD> FEBRUARY 1987 SALES INCREASE,"Rhodes Inc said its February 1987 sales were 16,775,000 dlrs, a 12.2 pct increase over Feb 1986 sales of 14,954,000 dlrs. Reuter",0,0
10599,ESSEX COMMUNICATIONS CORP <ESSXA> YEAR LOSS,"Shr loss 47 cts vs loss 63 cts Net loss 1,450,000 vs loss 1,930,000 Revs 14.7 mln vs 13.3 mln Note: Year-ago resulted restated to exclude Michigan cable systems sold in 1985. Reuter",1,1
12428,U.K. GRAIN EXPORTS CONTINUE TO RISE SHARPLY,"The U.K. Exported 517,600 tonnes of wheat and 315,800 tonnes of barley in the first 25 days of March, the Home Grown Cereals Authority (HGCA) said, quoting provisional Customs and Excise figures. This brought combined wheat and barley exports since the season started on July 1 to 7.60 mln tonnes, substantially up on the 4.02 mln exported in the same 1985/86 period. This season's total comprises 3.94 mln tonnes of wheat and 3.66 mln barley, compared with 1.63 mln and 2.39 mln, respectively, a year ago. REUTER",0,0
1942,"BELGIAN ECU COIN ISSUE PRICED, SALE DATE SET","A limited Belgian issue of silver Ecu coins with a face value of five Ecus will go on sale from March 23 at a price of 500 Belgian francs each, a Finance Ministry spokesman said. Gold Ecu coins with a face value of 50 Ecus will be sold from the same day. The spokesman told Reuters the price for these would be fixed just before they go on sale but was likely to be between 8,500 and 9,000 francs. At least two mln silver coins and several hundreds of thousands of the gold coins will be minted, he said. They will be sold both in Belgium and abroad. The coins will be the first ever denominated in the Ecu, the ""basket"" comprised of the 12-nation European Community's currencies except the Spanish peseta and the Portuguese escudo. The issue is being made to mark the 30th anniversary of the EC's founding Treaty of Rome this month. Finance Minister Mark Eyskens, who currently presides over the EC's council of economic and finance ministers, has called the issue a political act of symbolic value which aimed to make the Community's goal of monetary integration more concrete. The coins will be legal tender in Belgium but most demand is expected to come from coin collectors. REUTER",0,0
3880,SHADOWFAX <SHFXF> SETS NORMAL COURSE ISSUER BID,"Shadowfax Resources Ltd said it set a normal course issuer bid to acquire for cancellation up to five pct of its three mln outstanding common shares on the open market on the Alberta Stock Exchange, subject to regulatory approvals. Reuter",0,0
5675,AMERICAN INTERNATIONAL PETROLEUM TO BUY ASSETS,"American International Petroleum Corp <AIPN> said it agreed to acquire for one mln dlrs the assets of a western Louisiana oil and gas company. American International would not identify the company. American said assets included nine leases totalling 2,600 acres, various working interests in 15 oil and gas wells on that property, all equipment and machinery necessary for operation, and a 50 pct interest in a nine-mile gas pipeline. Reuter",0,0
3292,CENTRAL BANKERS SATISFIED WITH PARIS ACCORD,"Central bankers said they were generally satisfied with the response to the Paris accord two weeks ago to stabilize currencies at around current levels. Speaking after a meeting at the Bank for International Settlements (BIS), which reviewed the agreement, they also welcomed interest rates cuts in France and today's drop in British rates. One top official said the rate cuts would help to stimulate growth generally in Europe and welcomed that countries other than West Germany were seen to be helping sustain the economy. The central bankers, who spoke on the condition they not be named, said the meeting of governors from the Group of 10 countries also heard a report from Michel Camdessus, the new managing director of the International Monetary Fund, on the IMF's latest assessment of the debt crisis. In particular, they discussed Brazil's debt moratorium. But there was no sense of urgency, they said, and Brazil had made no appeal for bridging loans from the BIS or central banks. Reuter",0,0
8642,SKANDINAVISKA ENSKILDA ISSUES YEN BONDS,"Skandinaviska Enskilda Banken is issuing a 10 billion yen bond due October 23, 1992 carrying a coupon of 4-1/2 pct and priced at 101-3/8, lead manager Daiwa Securities International (Europe) Ltd said. The securities wil be listed on the London Stock Exchange and will be available in denominations of one mln yen each. Payment date is April 23, 1987. There is a 1-1/4 pct selling concession and a 5/8 pct combined management and underwriting fee. REUTER",0,0
12221,OLD STONE <OSTN> COMPLETES ACQUISITION,"Old Stone Corp said it completed the previously announced acquisition of First Federal Savings Bank of North Carolina, a Shelby, N.C., savings bank, for common stock. The final purchase price, expected to be between seven mln and 7.5 mln dlrs, will be based on an exchange of common stock valued at 1.5 times the book value of First Federal as of the March 31 closing date, the company said. At February 28, First Federal had 129 mln dlrs in assets and 120 mln dlrs in deposits. Old Stone is a Rhode Island-based financial services company with assets of 3.9 billion dlrs. Reuter",0,0
4040,CHINA'S RAPESEED CROP DAMAGED BY STORMS,"The yield on 46,000 hectares (ha) of rapeseed in central China will be cut by up to 70 pct by hailstorms and tornadoes that swept across nearly 100,000 ha of crops on March 6, the New China News Agency said today. The storm, which lashed the Huai and Yangtze rivers and eastern Anhui province, left two people dead and 800 others injured. Some 800 houses were flattened and 19 boats sunk, it said. The Anhui provincial government has sent emergency relief to the 19 counties affected, the news agency said. REUTER",0,0
4181,BRITISH CALEDONIAN SEEKS LONGER AMERICAN FLIGHTS,<British Caledonian Airways> said it filed an application with Britain's Civil Aviation Authority for authority to operate the only direct flights between the United Kingdom and Mexico City. The airline said it will submit an application March 17 to provide direct service between the United Kingdom and Phoenix. Earlier this week it applied for the license to serve San Diego. Reuter,0,0
