id,title,training_text,text,answer,label
1980,ICE UNCHANGED AT SOVIET OIL PORT OF VENTSPILS,ice unchanged at soviet oil port of ventspils ice conditions are unchanged at the soviet baltic oil port of ventspils with continuous and compacted drift ice 15 to 30 cms thick the latest report of the finnish board of navigation said icebreaker assistance to reach ventspils harbour is needed for normal steel vessels without special reinforcement against ice the report said it gave no details of ice conditions at the other major soviet baltic export harbour of klaipeda reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: ice unchanged at soviet oil port of ventspils ice conditions are unchanged at the soviet baltic oil port of ventspils with continuous and compacted drift ice 15 to 30 cms thick the latest report of the finnish board of navigation said icebreaker assistance to reach ventspils harbour is needed for normal steel vessels without special reinforcement against ice the report said it gave no details of ice conditions at the other major soviet baltic export harbour of klaipeda reuter
Label:
",not earn,0
16853,BANK OF FRANCE SEES PICKUP IN INDUSTRIAL ACTIVITY,bank of france sees pickup in industrial activity the bank of france said in its latest monthly report on the french economy it expected a pickup in industrial production registered in march to gather steam over the next few months without giving figures the report said last months rise partly linked to efforts to catch up with production lost earlier this year through industrial action was due mainly to a firming of domestic demand new progress is expected in all main sectors except capital goods where production will remain at its present level the report added the upbeat report comes in the wake of grim march trade balance figures which showed a deficit in industrial trade for the first time since june 1982 while the automobile industry remained unchanged from previously boosted levels consumer goods production grew and was expected to accelerate except in the area of domestic appliances semifinished goods showed a clear increase in all sectors construction and civil engineering boosted by a rise in public works also improved while retail trade sales in all sectors continued to slow reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: bank of france sees pickup in industrial activity the bank of france said in its latest monthly report on the french economy it expected a pickup in industrial production registered in march to gather steam over the next few months without giving figures the report said last months rise partly linked to efforts to catch up with production lost earlier this year through industrial action was due mainly to a firming of domestic demand new progress is expected in all main sectors except capital goods where production will remain at its present level the report added the upbeat report comes in the wake of grim march trade balance figures which showed a deficit in industrial trade for the first time since june 1982 while the automobile industry remained unchanged from previously boosted levels consumer goods production grew and was expected to accelerate except in the area of domestic appliances semifinished goods showed a clear increase in all sectors construction and civil engineering boosted by a rise in public works also improved while retail trade sales in all sectors continued to slow reuter
Label:
",not earn,0
13995,LONDON MONEY MARKET CLOSES LITTLE CHANGED,london money market closes little changed money market interest rates closed little changed after a quiet session as yesterdays talk of lower uk base lending rates fizzled out dealers said further opinion polls showing the ruling conservative party well ahead had little effect on the market with operators looking for more definite news on the political front sterling continued quietly steady ahead of the group of seven talks in washington this week one senior money broker commented what we want is an election date to put a stop to all the speculation once the market knows whats happening then we can move forward the next move in uk base rates which now stand at 10 pct is still expected to be down but uncertainty over the date of a general election is making for cautious trading dealers said yesterday opinion polls showing the government was set to retain a substantial working majority lifted sterling and fuelled speculation about lower uk interest rates the british authorities are likely to remain cautious however as the g7 finance ministers meeting is set to review their february paris accord on currency stability this could affect sterling which today was just one basis point lower in trade weighted terms to stand at 723 dealers noted that longer dated paper again dominated the daytoday dealings between the discount houses and the bank of england as rates fell yesterday no band four bills which have a maturity of between two and three months were transacted today however these a,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: london money market closes little changed money market interest rates closed little changed after a quiet session as yesterdays talk of lower uk base lending rates fizzled out dealers said further opinion polls showing the ruling conservative party well ahead had little effect on the market with operators looking for more definite news on the political front sterling continued quietly steady ahead of the group of seven talks in washington this week one senior money broker commented what we want is an election date to put a stop to all the speculation once the market knows whats happening then we can move forward the next move in uk base rates which now stand at 10 pct is still expected to be down but uncertainty over the date of a general election is making for cautious trading dealers said yesterday opinion polls showing the government was set to retain a substantial working majority lifted sterling and fuelled speculation about lower uk interest rates the british authorities are likely to remain cautious however as the g7 finance ministers meeting is set to review their february paris accord on currency stability this could affect sterling which today was just one basis point lower in trade weighted terms to stand at 723 dealers noted that longer dated paper again dominated the daytoday dealings between the discount houses and the bank of england as rates fell yesterday no band four bills which have a maturity of between two and three months were transacted today however these a
Label:
",not earn,0
18911,BANK OF AMERICA SEES SLOW U.S. CONSUMER SPENDING,bank of america sees slow us consumer spending a tradeled boom in the us is unlikely this year or next because growth in net exports will merely offset a dramatic slowdown in consumer spending and other sectors of the economy bank of america said in its latest economic report although net exports will add 07 pct to gnp this year after reducing it by 12 pct in 1986 consumer spending will contribute 14 pct less to gnp than it did last year as a result gnp this year is likely to expand a modest 25 pct the same rate as last year according to daniel van dyke the bank of america economist who wrote the report growth in consumer spending in the united states will drop dramatically this year because the jump in inflation will cause a falloff in the growth of disposable income van dyke said growth in us consumer spending is likely to slow to 18 pct this year from 41 pct in 1986 he predicted the report was released before the commerce department reported today that personal income rose just 02 pct in may after increasing 04 pct in april and that personal consumption expenditures had risen just 01 pct compared with a 06 pct increase the month before the rising cost of energy and imports is likely to boost consumer prices by an average of 37 pct this year up from 19 pct in 1986 bank of america forecast this rise in inflation will reduce real disposable income growth to only 13 pct in 1987 from 29 pct in 1986 as a result van dyke calculated that the purchasing power of an average family of f,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: bank of america sees slow us consumer spending a tradeled boom in the us is unlikely this year or next because growth in net exports will merely offset a dramatic slowdown in consumer spending and other sectors of the economy bank of america said in its latest economic report although net exports will add 07 pct to gnp this year after reducing it by 12 pct in 1986 consumer spending will contribute 14 pct less to gnp than it did last year as a result gnp this year is likely to expand a modest 25 pct the same rate as last year according to daniel van dyke the bank of america economist who wrote the report growth in consumer spending in the united states will drop dramatically this year because the jump in inflation will cause a falloff in the growth of disposable income van dyke said growth in us consumer spending is likely to slow to 18 pct this year from 41 pct in 1986 he predicted the report was released before the commerce department reported today that personal income rose just 02 pct in may after increasing 04 pct in april and that personal consumption expenditures had risen just 01 pct compared with a 06 pct increase the month before the rising cost of energy and imports is likely to boost consumer prices by an average of 37 pct this year up from 19 pct in 1986 bank of america forecast this rise in inflation will reduce real disposable income growth to only 13 pct in 1987 from 29 pct in 1986 as a result van dyke calculated that the purchasing power of an average family of f
Label:
",not earn,0
13674,SIOUX CITY HOGS SEEN UP 0.50 DLR - PRIVATE,sioux city hogs seen up 050 dlr private hog prices expected 050 dlr higher on estimated receipts of 3200 head private sources said top seen at 5100 dlrs per cwt sources cited higher cutout values late yesterday reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: sioux city hogs seen up 050 dlr private hog prices expected 050 dlr higher on estimated receipts of 3200 head private sources said top seen at 5100 dlrs per cwt sources cited higher cutout values late yesterday reuter
Label:
",not earn,0
6949,ECONOMIC SPOTLIGHT - ASIAN PROPERTY MARKET,economic spotlight asian property market property looks set to continue to provide good returns on investment in most major cities in asia and australia this year a reuter poll of property analysts bankers and economists around the region shows better returns are often more likely to come from buying and selling real estate than from rental income in central tokyo property analysts project commercial land prices will rise this year by 10 to 20 pct after last years 538 pct jump the main draw for local and foreign investors in japan is tokyo where the top price paid for a central commercial property last year was 169000 dlrs a square meter a building in landpoor singapore recently sold for 3300 dlrs a meter but the analysts said tokyo rents could level off as supply increases slightly and the strong yen puts prices out of reach of foreign investors japanese investors spurred by the yens rise are spending record sums on property abroad partly elsewhere in asia but in particular in the us where japanese investment could double this year to 10 billion dlrs the analysts said the analysts forecast that hong kong property prices will rise steadily over the next few years although a surge in construction will limit increases in some areas property sales have become increasingly popular because in some sectors of the market real estate prices as in several cities in the region have already outpaced rent yields we still see prices creeping up steadily and i dont see why the trend should not conti,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: economic spotlight asian property market property looks set to continue to provide good returns on investment in most major cities in asia and australia this year a reuter poll of property analysts bankers and economists around the region shows better returns are often more likely to come from buying and selling real estate than from rental income in central tokyo property analysts project commercial land prices will rise this year by 10 to 20 pct after last years 538 pct jump the main draw for local and foreign investors in japan is tokyo where the top price paid for a central commercial property last year was 169000 dlrs a square meter a building in landpoor singapore recently sold for 3300 dlrs a meter but the analysts said tokyo rents could level off as supply increases slightly and the strong yen puts prices out of reach of foreign investors japanese investors spurred by the yens rise are spending record sums on property abroad partly elsewhere in asia but in particular in the us where japanese investment could double this year to 10 billion dlrs the analysts said the analysts forecast that hong kong property prices will rise steadily over the next few years although a surge in construction will limit increases in some areas property sales have become increasingly popular because in some sectors of the market real estate prices as in several cities in the region have already outpaced rent yields we still see prices creeping up steadily and i dont see why the trend should not conti
Label:
",not earn,0
11838,BAHRAIN COMMERCIAL BANKS INTRODUCE FIVE-DAY WEEK,bahrain commercial banks introduce fiveday week bahrain is the first gulf arab country to introduce an obligatory fiveday working week for its commercial banks ending a traditional sixday week the bahrain monetary agency bma said the regulation applied only to the domestic sector comprising about 20 commercial banks and was not obligatory for the islands approximately 70 offshore banks bma banking services director sulman bin khalifa al khalifa said commercial banks will now open from sunday to thursday and added that twentyone offshore banking units had also requested and been given permission for a fiveday week reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: bahrain commercial banks introduce fiveday week bahrain is the first gulf arab country to introduce an obligatory fiveday working week for its commercial banks ending a traditional sixday week the bahrain monetary agency bma said the regulation applied only to the domestic sector comprising about 20 commercial banks and was not obligatory for the islands approximately 70 offshore banks bma banking services director sulman bin khalifa al khalifa said commercial banks will now open from sunday to thursday and added that twentyone offshore banking units had also requested and been given permission for a fiveday week reuter
Label:
",not earn,0
13319,N.Z. DOLLAR ENDS LOWER AFTER VOLATILE SESSION,nz dollar ends lower after volatile session profittaking domestic corporate demand and limited asian buying pushed the new zealand dollar back to just below 05700 us dlrs in late trading after it had fallen more than one cent in the morning session dealers said it finished at 0569300 us dlrs against a mornings quoted low of 0560010 a 0572030 start and a 0571825 end yesterday dealers said speculation that the governments yearend march budget deficit will be lower than expected and will bring lower interest rates caused selling in nervous early trading most dealers said deficit figures for the 11 months to end february released during the session were ignored by many traders who believe the figures lacked meaning while the size of the march taxflow to government is unknown dealers said trading will remain uncertain in the shortterm we havjkgressive rebound in thin trading and now the market doesnt ehoing one dealer said reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: nz dollar ends lower after volatile session profittaking domestic corporate demand and limited asian buying pushed the new zealand dollar back to just below 05700 us dlrs in late trading after it had fallen more than one cent in the morning session dealers said it finished at 0569300 us dlrs against a mornings quoted low of 0560010 a 0572030 start and a 0571825 end yesterday dealers said speculation that the governments yearend march budget deficit will be lower than expected and will bring lower interest rates caused selling in nervous early trading most dealers said deficit figures for the 11 months to end february released during the session were ignored by many traders who believe the figures lacked meaning while the size of the march taxflow to government is unknown dealers said trading will remain uncertain in the shortterm we havjkgressive rebound in thin trading and now the market doesnt ehoing one dealer said reuter
Label:
",not earn,0
6967,BP SHARES SLIDE ON U.K. GOVERNMENT SALE NEWS,bp shares slide on uk government sale news british petroleum co plc bpl shares fell sharply in early trading in response to last nights news that the uk government will sell its remaining 317 pct bp holding during the financial year starting next month dealers said by about 0840 gmt bp shares were down to 802p 26p below last nights close of 828p and 14p lower than the opening quote the longrumoured sale was announced by the government at the end of the second day of the budget debate in parliament at last nights closing price unofficial estimates put the value of the government shares in bp at around 48 billion stg reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: bp shares slide on uk government sale news british petroleum co plc bpl shares fell sharply in early trading in response to last nights news that the uk government will sell its remaining 317 pct bp holding during the financial year starting next month dealers said by about 0840 gmt bp shares were down to 802p 26p below last nights close of 828p and 14p lower than the opening quote the longrumoured sale was announced by the government at the end of the second day of the budget debate in parliament at last nights closing price unofficial estimates put the value of the government shares in bp at around 48 billion stg reuter
Label:
",not earn,0
11119,OKLAHOMA WEEKLY CROP REPORT,oklahoma weekly crop report the oklahoma weekly usda crop report said cold weather slowed crop development and caused some cattle deaths wheat growth was halted by cold weather and rain early in the week prevented fertilizer application and weed spraying fields in the west were short of nitrogen and moderate insect activity was noted in the southwest region wheat condition was rated 15 pct fair 84 pct good and one pct excellent row crop activity was very slow amid wet conditions topsoil moisture was rated 30 pct adequate and 70 pct surplus and subsoil moisture was rated 100 pct adequate only two days were suitable for fieldwork reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: oklahoma weekly crop report the oklahoma weekly usda crop report said cold weather slowed crop development and caused some cattle deaths wheat growth was halted by cold weather and rain early in the week prevented fertilizer application and weed spraying fields in the west were short of nitrogen and moderate insect activity was noted in the southwest region wheat condition was rated 15 pct fair 84 pct good and one pct excellent row crop activity was very slow amid wet conditions topsoil moisture was rated 30 pct adequate and 70 pct surplus and subsoil moisture was rated 100 pct adequate only two days were suitable for fieldwork reuter
Label:
",not earn,0
