id,title,training_text,text,answer,label
"""2277""",WITCO &lt;WIT> TO OFFER CONVERTIBLE DEBENTURES,witco ltwit to offer convertible debentures witco corp said it filed with the securities and exchange commission a registration statement covering a 100 mln dlr issue of convertible subordinated debentures due 2012 proceeds will be used to finance acquisitions and for general corporate purposes the company said witco named smith barney harris upham and co inc as lead manager and goldman sachs and co as comanager of the offering reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article.
The article should be classified into one of two labels:
Label 1: earn - if the article is about corporate earnings, financial results,
profits, losses, dividends, revenue reports, or quarterly/annual results.
Label 2: not earn - if the article is about any other topic such as trade,
commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: witco ltwit to offer convertible debentures witco corp said it filed with the securities and exchange commission a registration statement covering a 100 mln dlr issue of convertible subordinated debentures due 2012 proceeds will be used to finance acquisitions and for general corporate purposes the company said witco named smith barney harris upham and co inc as lead manager and goldman sachs and co as comanager of the offering reuter
Label:
",earn,1
"""5347""",FINANCIAL/SANTA BARBARA &lt;FSB> UNIT OFFERS NOTES,financialsanta barbara ltfsb unit offers notes financial corp of santa barbara said its santa barbara savings and loan association subsidiary is offering 25 mln dlrs of convertible subordinated debentures due 2012 the debentures to be offered in minimum denominations of 10000 dlrs are the joint obligation of santa barbara savings and the parent company the offering will be underwritten by bear stearns and co and first boston corp reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article.
The article should be classified into one of two labels:
Label 1: earn - if the article is about corporate earnings, financial results,
profits, losses, dividends, revenue reports, or quarterly/annual results.
Label 2: not earn - if the article is about any other topic such as trade,
commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: financialsanta barbara ltfsb unit offers notes financial corp of santa barbara said its santa barbara savings and loan association subsidiary is offering 25 mln dlrs of convertible subordinated debentures due 2012 the debentures to be offered in minimum denominations of 10000 dlrs are the joint obligation of santa barbara savings and the parent company the offering will be underwritten by bear stearns and co and first boston corp reuter
Label:
",earn,1
"""5855""",GMAC CANADA UNIT ISSUES CANADIAN DOLLAR BOND,gmac canada unit issues canadian dollar bond general motors acceptance corp canada is issuing a 100 mln canadian dlr eurobond due october 15 1992 paying 812 pct and priced at 10112 pct lead manager union bank of switzerland securities ltd said the bond guaranteed by parent general motors acceptance corp is available in denominations of 1000 and 10000 dlrs and will be listed in luxembourg payment date on the issue if april 15 1987 and the first coupon will be short fees for the issue comprise 114 pct selling concession and 58 pct for management and underwriting combined reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article.
The article should be classified into one of two labels:
Label 1: earn - if the article is about corporate earnings, financial results,
profits, losses, dividends, revenue reports, or quarterly/annual results.
Label 2: not earn - if the article is about any other topic such as trade,
commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: gmac canada unit issues canadian dollar bond general motors acceptance corp canada is issuing a 100 mln canadian dlr eurobond due october 15 1992 paying 812 pct and priced at 10112 pct lead manager union bank of switzerland securities ltd said the bond guaranteed by parent general motors acceptance corp is available in denominations of 1000 and 10000 dlrs and will be listed in luxembourg payment date on the issue if april 15 1987 and the first coupon will be short fees for the issue comprise 114 pct selling concession and 58 pct for management and underwriting combined reuter
Label:
",earn,1
"""12536""",TIDEWATER &lt;TDW> COMPLETES DEBT RESTRUCTURE,tidewater lttdw completes debt restructure tidewater inc said it completed agreements to restructure about 125 mln dlrs in debt that call for payment of interest only through march 1989 the deferral of all principal payments until april 1989 will save the company 12 mln dlrs in cash flow in each of the next two years it said the restructured agreements call for suspending dividend payment on tidewaters common and convertible adjustable preferred stock and contain other restrictive covenants including a requirement to maintain minimum tangible net worth ltprudential insurance co and manufacturers hanover corp ltmhc the companys principle lenders will receive as collateral a pledge of stock in tidewater subsidiaries that own interests in oil and gas ventures offshore indonesia banca nazionale del lavoro an italian bank will obtain a security interest in tidewaters assets in italy reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article.
The article should be classified into one of two labels:
Label 1: earn - if the article is about corporate earnings, financial results,
profits, losses, dividends, revenue reports, or quarterly/annual results.
Label 2: not earn - if the article is about any other topic such as trade,
commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: tidewater lttdw completes debt restructure tidewater inc said it completed agreements to restructure about 125 mln dlrs in debt that call for payment of interest only through march 1989 the deferral of all principal payments until april 1989 will save the company 12 mln dlrs in cash flow in each of the next two years it said the restructured agreements call for suspending dividend payment on tidewaters common and convertible adjustable preferred stock and contain other restrictive covenants including a requirement to maintain minimum tangible net worth ltprudential insurance co and manufacturers hanover corp ltmhc the companys principle lenders will receive as collateral a pledge of stock in tidewater subsidiaries that own interests in oil and gas ventures offshore indonesia banca nazionale del lavoro an italian bank will obtain a security interest in tidewaters assets in italy reuter
Label:
",earn,1
"""3794""",BENIHANA &lt;BNHN> TO BUILD RESTAURANT IN FLORIDA,benihana ltbnhn to build restaurant in florida benihana national corp said it signed a letter of intent with lttishman realty and construction co inc to build a teppanyakistyle restaurant at the hilton hotel at walt disney world village in lake buena vista fal benihana national said it currently owns and operates 16 teppanyakistyle restaurants under license from its parent ltbenihana of tokyo inc reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article.
The article should be classified into one of two labels:
Label 1: earn - if the article is about corporate earnings, financial results,
profits, losses, dividends, revenue reports, or quarterly/annual results.
Label 2: not earn - if the article is about any other topic such as trade,
commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: benihana ltbnhn to build restaurant in florida benihana national corp said it signed a letter of intent with lttishman realty and construction co inc to build a teppanyakistyle restaurant at the hilton hotel at walt disney world village in lake buena vista fal benihana national said it currently owns and operates 16 teppanyakistyle restaurants under license from its parent ltbenihana of tokyo inc reuter
Label:
",earn,1
"""8823""",DIXONS PLANS TO LET CYCLOPS &lt;CYL> OFFER EXPIRE,dixons plans to let cyclops ltcyl offer expire dixons group plc said it does not plan to extend the expiration date of its tender offer for any and all common shares of cyclops corp beyond tonight dixons said it would accept shares validly tendered and not withdrawn by midnight tonight dixons which is offering 9025 dlrs a share for cyclops said last week it had about 54 pct of cyclops common shares its offer originally was scheduled to expire march 17 but was extended for one week yesterday citicorp ltcci with audiovideo affiliates inc ltava an owner of cyacq said it had offered to acquire from dixons after the merger of cyclops into dixons cyclops industrial businesses for 128 mln dlrs more than alleghany corp lty is currently scheduled to pay for them citicorp said yesterday that its proposal would allow dixons to raise its tender price to 9325 dlrs per share citicorp said if dixons accepted the proposal cyacq would terminate its competing 9250 dlr offer for cyclops citicorp had suggested yesterday that dixons extend its tender until march 31 in connection with the price increase reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article.
The article should be classified into one of two labels:
Label 1: earn - if the article is about corporate earnings, financial results,
profits, losses, dividends, revenue reports, or quarterly/annual results.
Label 2: not earn - if the article is about any other topic such as trade,
commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: dixons plans to let cyclops ltcyl offer expire dixons group plc said it does not plan to extend the expiration date of its tender offer for any and all common shares of cyclops corp beyond tonight dixons said it would accept shares validly tendered and not withdrawn by midnight tonight dixons which is offering 9025 dlrs a share for cyclops said last week it had about 54 pct of cyclops common shares its offer originally was scheduled to expire march 17 but was extended for one week yesterday citicorp ltcci with audiovideo affiliates inc ltava an owner of cyacq said it had offered to acquire from dixons after the merger of cyclops into dixons cyclops industrial businesses for 128 mln dlrs more than alleghany corp lty is currently scheduled to pay for them citicorp said yesterday that its proposal would allow dixons to raise its tender price to 9325 dlrs per share citicorp said if dixons accepted the proposal cyacq would terminate its competing 9250 dlr offer for cyclops citicorp had suggested yesterday that dixons extend its tender until march 31 in connection with the price increase reuter
Label:
",earn,1
"""12342""",MASSTOR &lt;MSCO> IN PACT WITH NAT'L WESTMINSTER,masstor ltmsco in pact with natl westminster masstor systems corp said it it signed a volume purchase agreement with national westminster bank plc worth up to 73 mln dlrs reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article.
The article should be classified into one of two labels:
Label 1: earn - if the article is about corporate earnings, financial results,
profits, losses, dividends, revenue reports, or quarterly/annual results.
Label 2: not earn - if the article is about any other topic such as trade,
commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: masstor ltmsco in pact with natl westminster masstor systems corp said it it signed a volume purchase agreement with national westminster bank plc worth up to 73 mln dlrs reuter
Label:
",earn,1
"""3431""",PROPOSED OFFERINGS RECENTLY FILED WITH THE SEC,proposed offerings recently filed with the sec the following proposed securities offerings were filed recently with the securities and exchange commission angiomedical corp initial public offering of 1666667 units each consisting of one share of common stock and one redeemable warrant to buy one share of common stock through kean securities co inc abm gold corp initial public offering of six mln shares of class a common stock at an estimated seven to nine dlrs each through painewebber inc and advest inc comfed mortgage co inc initial public offering of 27 mln shares of common stock at an estimated nine to 13 dlrs a share through painewebber inc and bear stearns and co inc mtech corp ltmtch offering of 75 mln dlrs of convertible subordinated debentures due march 15 2012 through a group led by alex brown and sons inc reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article.
The article should be classified into one of two labels:
Label 1: earn - if the article is about corporate earnings, financial results,
profits, losses, dividends, revenue reports, or quarterly/annual results.
Label 2: not earn - if the article is about any other topic such as trade,
commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: proposed offerings recently filed with the sec the following proposed securities offerings were filed recently with the securities and exchange commission angiomedical corp initial public offering of 1666667 units each consisting of one share of common stock and one redeemable warrant to buy one share of common stock through kean securities co inc abm gold corp initial public offering of six mln shares of class a common stock at an estimated seven to nine dlrs each through painewebber inc and advest inc comfed mortgage co inc initial public offering of 27 mln shares of common stock at an estimated nine to 13 dlrs a share through painewebber inc and bear stearns and co inc mtech corp ltmtch offering of 75 mln dlrs of convertible subordinated debentures due march 15 2012 through a group led by alex brown and sons inc reuter
Label:
",earn,1
"""4360""",BLUE GASS BREEDERS &lt;BLGR> COMPLETES ACQUISITION,blue gass breeders ltblgr completes acquisition blue grass breeders inc said it has completed the acquisition of equine enterprises inc for four mln common shares it said it is obligated to deliver another 2741660 shares on the attainment of a certain level of shareholders equity during any fiscal quarter within 12 months of closing if all the contingent shares are issued blue grass said former owners of equine will have a 75 pct interest in blue grass equine is a new mexico quarter horse breeding and racing company reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article.
The article should be classified into one of two labels:
Label 1: earn - if the article is about corporate earnings, financial results,
profits, losses, dividends, revenue reports, or quarterly/annual results.
Label 2: not earn - if the article is about any other topic such as trade,
commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: blue gass breeders ltblgr completes acquisition blue grass breeders inc said it has completed the acquisition of equine enterprises inc for four mln common shares it said it is obligated to deliver another 2741660 shares on the attainment of a certain level of shareholders equity during any fiscal quarter within 12 months of closing if all the contingent shares are issued blue grass said former owners of equine will have a 75 pct interest in blue grass equine is a new mexico quarter horse breeding and racing company reuter
Label:
",earn,1
"""1209""",CORRECTED - LIFETIME&lt;LFT> TO BUY NIPPON LACE SAHRES,corrected lifetimeltlft to buy nippon lace sahres lifetime corp said it agreed to buy five mln shares or 16 pct of ltnippon lace co ltd for 328 dlrs a share or 165 mln dlrs it said it plans to enter the health care business in japan in addition it said ltkoba electronics co ltd an affiliate of nippon will buy four mln unissued shares or a 12 pct stake of lifetime for 20 mln dlrs or five dlrs a share corrects to show nippons affiliate koba buying stake in lifetime reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article.
The article should be classified into one of two labels:
Label 1: earn - if the article is about corporate earnings, financial results,
profits, losses, dividends, revenue reports, or quarterly/annual results.
Label 2: not earn - if the article is about any other topic such as trade,
commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: corrected lifetimeltlft to buy nippon lace sahres lifetime corp said it agreed to buy five mln shares or 16 pct of ltnippon lace co ltd for 328 dlrs a share or 165 mln dlrs it said it plans to enter the health care business in japan in addition it said ltkoba electronics co ltd an affiliate of nippon will buy four mln unissued shares or a 12 pct stake of lifetime for 20 mln dlrs or five dlrs a share corrects to show nippons affiliate koba buying stake in lifetime reuter
Label:
",earn,1
