id,title,training_text,text,answer,label
8495,"MOODY'S MAY CUT ECOLAB <ECL>, UP CHEMLAWN <CHEM>",moodys may cut ecolab ecl up chemlawn chem moodys investors service inc said it may downgrade the ratings of ecolab incs 25 mln dlrs of debt and upgrade chemlawn corps 15 mln dlrs of debt the agency cited ecolabs definitive agreement to acquire chemlawn for 370 mln dlrs the acquisition should be financed initially with bank debt that together with the assumption of chemlawns debt could raise significantly ecolabs leverage under review are ecolabs a3 convertible subordinated debentures and the convertible eurodebt of its unit el international ltd chemlawn has b1 convertible debt reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: moodys may cut ecolab ecl up chemlawn chem moodys investors service inc said it may downgrade the ratings of ecolab incs 25 mln dlrs of debt and upgrade chemlawn corps 15 mln dlrs of debt the agency cited ecolabs definitive agreement to acquire chemlawn for 370 mln dlrs the acquisition should be financed initially with bank debt that together with the assumption of chemlawns debt could raise significantly ecolabs leverage under review are ecolabs a3 convertible subordinated debentures and the convertible eurodebt of its unit el international ltd chemlawn has b1 convertible debt reuter
Label:
",trade,2
9448,MOUNTLEIGH GROUP SEEKS 100 MLN STG FACILITY,mountleigh group seeks 100 mln stg facility mountleigh group plc a uk property company is seeking a 100 mln stg multicurrency credit facility union bank of switzerland london branch said the revolving evergreen facility will be completely underwritten and the borrower will be able to issue cash advances sterling bankers acceptances and sterling commercial paper through a tender panel there will be a cap of 50 basis points over the london interbank offered rate liboron any drawings for advances and a 50 basis points commission on acceptances there will be a facility fee of 316 pct banks are being invited to join at 20 to 25 mln stg for 1212 basis points at 10 to 15 mln stg for 10 basis points and at five to 75 mln stg for 75 basis points the facility which can only be cancelled after underwriters provide 61 months notice to the borrower will refinance some of mountleighs existing debt reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: mountleigh group seeks 100 mln stg facility mountleigh group plc a uk property company is seeking a 100 mln stg multicurrency credit facility union bank of switzerland london branch said the revolving evergreen facility will be completely underwritten and the borrower will be able to issue cash advances sterling bankers acceptances and sterling commercial paper through a tender panel there will be a cap of 50 basis points over the london interbank offered rate liboron any drawings for advances and a 50 basis points commission on acceptances there will be a facility fee of 316 pct banks are being invited to join at 20 to 25 mln stg for 1212 basis points at 10 to 15 mln stg for 10 basis points and at five to 75 mln stg for 75 basis points the facility which can only be cancelled after underwriters provide 61 months notice to the borrower will refinance some of mountleighs existing debt reuter
Label:
",trade,2
421,QUEBEC'S CAISSE DES JARDINS ISSUES YEN EUROBOND,quebecs caisse des jardins issues yen eurobond caisse centrale desjardins du quebec is issuing a 10 billion yen stepup eurobond maturing on march 25 1992 and priced at 10134 pct jointbookrunner warburg securities said the issues pays a coupon of one pct in years one and two and then pays a coupon of 778 pct in years three four and five the selling concession is 114 pct while management and underwriting combined pays 58 pct the payment date is march 25 while the issue will be listed in luxembourg the borrower is the wholesale financing arm of a major group of credit unions in the province of quebec reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: quebecs caisse des jardins issues yen eurobond caisse centrale desjardins du quebec is issuing a 10 billion yen stepup eurobond maturing on march 25 1992 and priced at 10134 pct jointbookrunner warburg securities said the issues pays a coupon of one pct in years one and two and then pays a coupon of 778 pct in years three four and five the selling concession is 114 pct while management and underwriting combined pays 58 pct the payment date is march 25 while the issue will be listed in luxembourg the borrower is the wholesale financing arm of a major group of credit unions in the province of quebec reuter
Label:
",trade,2
6966,BRITISH LAND CONVERTIBLE BOND RAISED TO 33 MLN STG,british land convertible bond raised to 33 mln stg british land co plc blndl convertible eurobond issued yesterday has been raised to a total of 33 mln stg from the 30 mln originally indicated lead manager credit suisse first boston ltd said the coupon has been fixed at 750 pct and the conversion price at 248 pence to give a 2784 pct premium over last nights share price close on the london stock exchange reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: british land convertible bond raised to 33 mln stg british land co plc blndl convertible eurobond issued yesterday has been raised to a total of 33 mln stg from the 30 mln originally indicated lead manager credit suisse first boston ltd said the coupon has been fixed at 750 pct and the conversion price at 248 pence to give a 2784 pct premium over last nights share price close on the london stock exchange reuter
Label:
",trade,2
3712,ANITEC IMAGE <ANTC> SELLS CONVERTIBLE DEBENTURES,anitec image antc sells convertible debentures anitec image technology corp is raising 75 mln dlrs via an issue of convertible subordinated debentures due 2012 with a 578 pct coupon and par pricing said lead manager smith barney harris upham and co inc the debentures are convertible into the companys common stock at 32 dlrs a share representing a 2673 pct premium over the stock price when terms on the debt were set noncallable for two years the debentures are rated b2 by moodys and b by standard and poors donaldson lufkin salomon brothers and mabon nugent comanaged the issue which was increased from an initial offering of 60 mln dlrs reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: anitec image antc sells convertible debentures anitec image technology corp is raising 75 mln dlrs via an issue of convertible subordinated debentures due 2012 with a 578 pct coupon and par pricing said lead manager smith barney harris upham and co inc the debentures are convertible into the companys common stock at 32 dlrs a share representing a 2673 pct premium over the stock price when terms on the debt were set noncallable for two years the debentures are rated b2 by moodys and b by standard and poors donaldson lufkin salomon brothers and mabon nugent comanaged the issue which was increased from an initial offering of 60 mln dlrs reuter
Label:
",trade,2
6445,BANKERS TRUST ISSUING STG/DLR CURRENCY WARRANTS,bankers trust issuing stgdlr currency warrants bankers trust international ltd said it is issuing 200000 stg calldlr put currency warrants at an initial offer price of 3125 dlrs per warrant the issue is guaranteed by bankers trust new york corp each warrant entitles the holder to exchange 500 dlrs for stg at a rate of 160 stgdlr and the minimum number of warrants exercisable or tradeable is 100 exercise period for the warrants will run from april 22 1987 until march 17 1989 payment is due april 15 1987 reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: bankers trust issuing stgdlr currency warrants bankers trust international ltd said it is issuing 200000 stg calldlr put currency warrants at an initial offer price of 3125 dlrs per warrant the issue is guaranteed by bankers trust new york corp each warrant entitles the holder to exchange 500 dlrs for stg at a rate of 160 stgdlr and the minimum number of warrants exercisable or tradeable is 100 exercise period for the warrants will run from april 22 1987 until march 17 1989 payment is due april 15 1987 reuter
Label:
",trade,2
12444,BANK OF FRANCE SELLS 8.45 BILLION FRANC TAP STOCKS,bank of france sells 845 billion franc tap stocks the bank of france said it sold a total 845 billion francs worth of treasury tap stocks through its latest monthly tender at which it offered a choice of one floating rate and two fixed rate tranches it sold 36 billion francs worth of the treasurys 850 pct june 1997 tap at an average price of 9686 pct giving an average yield of 878 pct up from 872 pct at its last tender of the same tap a month ago it also sold 315 billion worth of 850 pct november 2002 stock at an average price of 9724 pct and average yield of 883 pct against 898 pct when it was last sold on january 8 the bank sold 17 billion francs of floating rate 1999 tap stock at an average price of 9706 pct giving an average spread of 039 percentage points above the 13week treasury bill reference rate little changed from the 040 point spread at the last offering a month ago total demand at todays auction was 287 billion francs including 51 billion for the 850 pct 2002 tranche 1395 billion for the 850 pct 1997 tranche and 965 billion for the 1999 floating rate tranche reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: bank of france sells 845 billion franc tap stocks the bank of france said it sold a total 845 billion francs worth of treasury tap stocks through its latest monthly tender at which it offered a choice of one floating rate and two fixed rate tranches it sold 36 billion francs worth of the treasurys 850 pct june 1997 tap at an average price of 9686 pct giving an average yield of 878 pct up from 872 pct at its last tender of the same tap a month ago it also sold 315 billion worth of 850 pct november 2002 stock at an average price of 9724 pct and average yield of 883 pct against 898 pct when it was last sold on january 8 the bank sold 17 billion francs of floating rate 1999 tap stock at an average price of 9706 pct giving an average spread of 039 percentage points above the 13week treasury bill reference rate little changed from the 040 point spread at the last offering a month ago total demand at todays auction was 287 billion francs including 51 billion for the 850 pct 2002 tranche 1395 billion for the 850 pct 1997 tranche and 965 billion for the 1999 floating rate tranche reuter
Label:
",trade,2
10823,FORD MOTOR CREDIT UNIT FILES FOR TWO BILLION DLR DEBT SHELF OFFERING,ford motor credit unit files for two billion dlr debt shelf offering,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: ford motor credit unit files for two billion dlr debt shelf offering
Label:
",trade,2
3501,BANK OF THAILAND FLOATS NEW GOVERNMENT BOND,bank of thailand floats new government bond the bank of thailand said it has floated 500 mln baht of new fiveyear loan bonds for public sale the bonds will yield 725 pct net after tax with interest compounded semiannually the aggregate fiveyear yield will amount to 4277 pct of the principal on maturity reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: bank of thailand floats new government bond the bank of thailand said it has floated 500 mln baht of new fiveyear loan bonds for public sale the bonds will yield 725 pct net after tax with interest compounded semiannually the aggregate fiveyear yield will amount to 4277 pct of the principal on maturity reuter
Label:
",trade,2
7770,DUFF/PHELPS LOWERS DELMARVA POWER AND LIGHT<DEW>,duffphelps lowers delmarva power and lightdew duff and phelps said it lowered its rating on delmarva power and light co first mortgage bonds to dp3 middle aa from dp2 high aa and on preferred stock to dp4 low aa from dp3 affecting approximately 646 mln dlrs in debt securities the rating change reflects expectations of lower fixed charge coverages and lower internal funding over the next several years duff and phelps said an interim cut in electric rates in delaware and maryland to reflect a lower allowed return on equity was made in the second half of 1986 a final decision is expected in april reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: duffphelps lowers delmarva power and lightdew duff and phelps said it lowered its rating on delmarva power and light co first mortgage bonds to dp3 middle aa from dp2 high aa and on preferred stock to dp4 low aa from dp3 affecting approximately 646 mln dlrs in debt securities the rating change reflects expectations of lower fixed charge coverages and lower internal funding over the next several years duff and phelps said an interim cut in electric rates in delaware and maryland to reflect a lower allowed return on equity was made in the second half of 1986 a final decision is expected in april reuter
Label:
",other,5
