id,title,training_text,text,answer,label
11970,CERTIFICATED COTTON STOCKS,certificated cotton stocks certificated cotton stocks deliverable on the new york cotton exchange no 2 cotton futures contract as of march 31 were reported at 36659 bales unchanged from the previous days figure there were no bales awaiting review and 985 bales awaiting decertification reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: certificated cotton stocks certificated cotton stocks deliverable on the new york cotton exchange no 2 cotton futures contract as of march 31 were reported at 36659 bales unchanged from the previous days figure there were no bales awaiting review and 985 bales awaiting decertification reuter
Label:
",crude,3
4698,"CANADA FEBRUARY UNEMPLOYMENT FALLS TO 9.6 PCT FROM JANUARY 9.7 PCT, STATISTICS CANADA SAID",canada february unemployment falls to 96 pct from january 97 pct statistics canada said,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: canada february unemployment falls to 96 pct from january 97 pct statistics canada said
Label:
",earn,0
3892,BRAZILIAN FCOJ OFFICIAL WELCOMES U.S. DUTY CUT,brazilian fcoj official welcomes us duty cut mario branco peres president of the brazilian association of citrus juice industries abrassuco welcomed a decision by the us commerce department sharply cutting its duties on imported frozen concentrated orange juice fcoj from brazil speaking by telephone from sao paulo peres said with its decision the us government recognised the honesty of brazilian exporters who never have the intention of practising dumping in a final ruling yesterday the us government eliminated the duties shipped by sucocitrico cutrale and cut to 196 pct the duty on citrosuco duties of 854 pct had been set last october peres said brazil had enough orange juice to meet the needs of its major clients we do not have in stock what we would like to have but we certainly have enough orange juice available to supply our buyers peres said declining to estimate the amount of the current stock to keep it a secret is part of our strategy he added peres said the price policy of the orange juice was based on market conditions there is nothing better than a free trade policy he said cutrale and citrosuco officials were not immediately available for comment reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: brazilian fcoj official welcomes us duty cut mario branco peres president of the brazilian association of citrus juice industries abrassuco welcomed a decision by the us commerce department sharply cutting its duties on imported frozen concentrated orange juice fcoj from brazil speaking by telephone from sao paulo peres said with its decision the us government recognised the honesty of brazilian exporters who never have the intention of practising dumping in a final ruling yesterday the us government eliminated the duties shipped by sucocitrico cutrale and cut to 196 pct the duty on citrosuco duties of 854 pct had been set last october peres said brazil had enough orange juice to meet the needs of its major clients we do not have in stock what we would like to have but we certainly have enough orange juice available to supply our buyers peres said declining to estimate the amount of the current stock to keep it a secret is part of our strategy he added peres said the price policy of the orange juice was based on market conditions there is nothing better than a free trade policy he said cutrale and citrosuco officials were not immediately available for comment reuter
Label:
",trade,2
5218,MALAYSIAN CRUDE PALM OIL OUTPUT FALLS IN FEBRUARY,malaysian crude palm oil output falls in february malaysian crude palm oil cpo production fell to an estimated 270400 tonnes in february from an estimated 273300 tonnes in january and 332995 in february 1986 the palm oil registration and licensing authority porla said cpo stocks fell to an estimated 286440 tonnes in february from 287940 in january and 653411 in february last year processed palm oil stocks in february fell to an estimated 193060 tonnes from 205060 in january and 225576 in february 1986 the january and february figures are subject to revision reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: malaysian crude palm oil output falls in february malaysian crude palm oil cpo production fell to an estimated 270400 tonnes in february from an estimated 273300 tonnes in january and 332995 in february 1986 the palm oil registration and licensing authority porla said cpo stocks fell to an estimated 286440 tonnes in february from 287940 in january and 653411 in february last year processed palm oil stocks in february fell to an estimated 193060 tonnes from 205060 in january and 225576 in february 1986 the january and february figures are subject to revision reuter
Label:
",trade,2
9193,"EGYPT BUYS 46,000 TONNES OF SUNFLOWERSEED OIL",egypt buys 46000 tonnes of sunflowerseed oil egypt purchased 46000 tonnes of optional origin sunflowerseed oil at its import tender yesterday all for may arrival traders said the business comprised 41000 tonnes of crude sunflowerseed oil in bulk at prices ranging from 34425 to 348 dlrs and 5000 tonnes of refined oil in drums at from 51750 to 52250 dlrs per tonne cost and freight alexandria delivered quality terms reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: egypt buys 46000 tonnes of sunflowerseed oil egypt purchased 46000 tonnes of optional origin sunflowerseed oil at its import tender yesterday all for may arrival traders said the business comprised 41000 tonnes of crude sunflowerseed oil in bulk at prices ranging from 34425 to 348 dlrs and 5000 tonnes of refined oil in drums at from 51750 to 52250 dlrs per tonne cost and freight alexandria delivered quality terms reuter
Label:
",trade,2
14418,U.S. CERTIFIED COFFEE STOCKS DOWN IN LATEST WEEK,us certified coffee stocks down in latest week the amount of coffee stored in new york and new orleans warehouses and certified for delivery against the new york coffee c futures totalled 585555 bags as of april 3 compared with 585794 bags the previous week a net decrease of 239 bags the new york coffee sugar and cocoa exchange said the total comprised 392845 bags in new york an increase of 261 bags and 192710 bags in new orleans a drop of 500 bags the exchange said there were nil bags pending classification there were 56578 bags pending certification including 32553 in new york and 24025 in new orleans the exchange said reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: us certified coffee stocks down in latest week the amount of coffee stored in new york and new orleans warehouses and certified for delivery against the new york coffee c futures totalled 585555 bags as of april 3 compared with 585794 bags the previous week a net decrease of 239 bags the new york coffee sugar and cocoa exchange said the total comprised 392845 bags in new york an increase of 261 bags and 192710 bags in new orleans a drop of 500 bags the exchange said there were nil bags pending classification there were 56578 bags pending certification including 32553 in new york and 24025 in new orleans the exchange said reuter
Label:
",trade,2
3337,FRANCE TO REQUEST PERMANENT MAIZE REBATES,france to request permanent maize rebates french maize producers will ask the ec commission to grant permanent maize export rebates following the recent ecus accord guaranteeing the us an annual export quota of two mln tonnes of maize for spain over four years the french maize producers association agpm said the commission has already decided to accord rebates for the export of 500000 tonnes of french maize of which rebates for around 100000 tonnes have been granted the request will be made when export certificates have been granted for all the 500000 tonnes the agpm said the association said that the request would cover exports to all destinations adding that the soviet union which has important maize needs is currently excluded from the list of destination countries for the 500000 tonnes of french maize the us agriculture department has forecast soviet maize imports for the 198687 campaign at 490 mln tonnes against 1040 mln in 198586 reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: france to request permanent maize rebates french maize producers will ask the ec commission to grant permanent maize export rebates following the recent ecus accord guaranteeing the us an annual export quota of two mln tonnes of maize for spain over four years the french maize producers association agpm said the commission has already decided to accord rebates for the export of 500000 tonnes of french maize of which rebates for around 100000 tonnes have been granted the request will be made when export certificates have been granted for all the 500000 tonnes the agpm said the association said that the request would cover exports to all destinations adding that the soviet union which has important maize needs is currently excluded from the list of destination countries for the 500000 tonnes of french maize the us agriculture department has forecast soviet maize imports for the 198687 campaign at 490 mln tonnes against 1040 mln in 198586 reuter
Label:
",trade,2
4044,ROTHMANS CLOSE TO JOINT VENTURE IN CHINA,rothmans close to joint venture in china rothmans international plc rotl aims to set up a joint venture with jinan cigarette factory in shandong china to produce high quality cigarettes some for export chinese newspapers said the china daily said the factory has produced highquality general brand cigarettes using advanced machinery and technical assistance worth 25 mln dlrs donated by rothmans under a cooperation agreement signed in 1985 the economic daily newspaper said the high quality general will help chinas cigarettes enter the international market the two papers gave no more details reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: rothmans close to joint venture in china rothmans international plc rotl aims to set up a joint venture with jinan cigarette factory in shandong china to produce high quality cigarettes some for export chinese newspapers said the china daily said the factory has produced highquality general brand cigarettes using advanced machinery and technical assistance worth 25 mln dlrs donated by rothmans under a cooperation agreement signed in 1985 the economic daily newspaper said the high quality general will help chinas cigarettes enter the international market the two papers gave no more details reuter
Label:
",trade,2
7406,LATIN COFFEE PRODUCERS SEEK ICO PRICE SUPPORT,latin coffee producers seek ico price support this weekends meeting of latin american coffee producers here will call for the international coffee organisation ico to start talks aimed at firming prices nicaraguan foreign trade minister alejandro martinez cuenca said he said those countries which had confirmed their presence were brazil mexico guatemala el salvador costa rica and panama colombia had been invited but he did not know if it would attend martinez cuenca told reporters central america alone had lost some 700 mln dlrs through the weakness of world coffee prices partially caused by lack of an ico quota agreement reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: latin coffee producers seek ico price support this weekends meeting of latin american coffee producers here will call for the international coffee organisation ico to start talks aimed at firming prices nicaraguan foreign trade minister alejandro martinez cuenca said he said those countries which had confirmed their presence were brazil mexico guatemala el salvador costa rica and panama colombia had been invited but he did not know if it would attend martinez cuenca told reporters central america alone had lost some 700 mln dlrs through the weakness of world coffee prices partially caused by lack of an ico quota agreement reuter
Label:
",trade,2
10062,FINAL 1986 CROP U.S. COTTON GINNINGS,final 1986 crop us cotton ginnings final 1986 crop us cotton ginnings totaled 9438425 running bales vs 12987834 bales at the end of the 1985 season and 12544866 bales at end1984 season the us census bureau said the bureau said upland cotton ginnings from the final 1986 crop totaled 9237296 bales vs 12837088 bales in 1985 and 12418749 bales in 1984 american pima ginnings from the final 1986 crop totaled 201129 bales vs 150746 bales in the 1985 crop and 126117 bales in 1984 the bureau said reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: final 1986 crop us cotton ginnings final 1986 crop us cotton ginnings totaled 9438425 running bales vs 12987834 bales at the end of the 1985 season and 12544866 bales at end1984 season the us census bureau said the bureau said upland cotton ginnings from the final 1986 crop totaled 9237296 bales vs 12837088 bales in 1985 and 12418749 bales in 1984 american pima ginnings from the final 1986 crop totaled 201129 bales vs 150746 bales in the 1985 crop and 126117 bales in 1984 the bureau said reuter
Label:
",trade,2
