id,title,training_text,text,answer,label
4946,U.S. FARM LOAN SECONDARY MARKET GAINS SUPPORT,us farm loan secondary market gains support a secondary market for resale of farm real estate loans similar to markets on home mortgages is gaining support in congress and among rural lenders and could be set up this year congressional and financial sources said several bills which would establish a farm secondary market have been introduced in both the house and senate furthermore representatives of the farm credit system commercial bankers and life insurance companies are meeting in an attempt to agree on a method of establishing the market frank naylor chairman of the farm credit administration fca which regulates the farm credit system yesterday said a farm loan secondary market would be positive for agriculture as long as the farm credit system is a key player naylor told a house agriculture subcommittee hearing the secondary market could be established either with congressional legislation or administratively any farm loan secondary market would be modeled after the successful resale markets in home mortgages the government national mortgage association gnma and the federal home loan mortgage corporation freddie mac industry sources said commercial banks and life insurance companies are the main supporters of a farm loan secondary market since they believe it would allow private lenders to compete more effectively in rural lending with the quasigovernment farm credit system traditionally the largest lender to farmers a farm secondary market would allow lenders to sell highquality loans on,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: us farm loan secondary market gains support a secondary market for resale of farm real estate loans similar to markets on home mortgages is gaining support in congress and among rural lenders and could be set up this year congressional and financial sources said several bills which would establish a farm secondary market have been introduced in both the house and senate furthermore representatives of the farm credit system commercial bankers and life insurance companies are meeting in an attempt to agree on a method of establishing the market frank naylor chairman of the farm credit administration fca which regulates the farm credit system yesterday said a farm loan secondary market would be positive for agriculture as long as the farm credit system is a key player naylor told a house agriculture subcommittee hearing the secondary market could be established either with congressional legislation or administratively any farm loan secondary market would be modeled after the successful resale markets in home mortgages the government national mortgage association gnma and the federal home loan mortgage corporation freddie mac industry sources said commercial banks and life insurance companies are the main supporters of a farm loan secondary market since they believe it would allow private lenders to compete more effectively in rural lending with the quasigovernment farm credit system traditionally the largest lender to farmers a farm secondary market would allow lenders to sell highquality loans on
Label:
",not earn,0
11015,NEWMONT MINING <NEM> PLANS 2-FOR-1 STOCK SPLIT,newmont mining nem plans 2for1 stock split newmont mining corps board has proposed a twoforone stock split subject to shareholder approval of an increase to 120 mln from 60 mln in authorized common shares the proxy for the companys annual meeting said if holdings voting at the may six meeting in wilmington del approve the increase in authorized shares the split will be paid in the form of a stock dividend on june 10 to holders of record may 20 the proxy said newmont said it will also ask shareholders to approve amendments to its certificate of incorporation limiting certain liabilities of its directors reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: newmont mining nem plans 2for1 stock split newmont mining corps board has proposed a twoforone stock split subject to shareholder approval of an increase to 120 mln from 60 mln in authorized common shares the proxy for the companys annual meeting said if holdings voting at the may six meeting in wilmington del approve the increase in authorized shares the split will be paid in the form of a stock dividend on june 10 to holders of record may 20 the proxy said newmont said it will also ask shareholders to approve amendments to its certificate of incorporation limiting certain liabilities of its directors reuter
Label:
",not earn,0
1081,GM <GM> HOPES FOR FIVE-FOLD RISE IN EUROPEAN SALES,gm gm hopes for fivefold rise in european sales us carmaker general motors hopes to sell between 7000 and 8000 vehicles in europe this year a fivefold rise over the year before james fry vicepresident of gm overseas distribution corporation told a news briefing the low dollar makes our prices very attractive he said at a gm preview before the opening of the geneva motor show we would like to sell between 7000 and 8000 units in europe for the year to august 1987 he told reuters later officials said gm sold 1500 vehicles in the 1986 model year fry said that at an average price of 13000 dlrs his projected sales figures would mean turnover of between 91 mln and 104 mln dlrs in europe gm sales in europe in the 1985 model year totalled 500 vehicles due largely to uncompetitive prices because of the then strong dollar fry said all gm vehicles sold in europe are manufactured in the united states and canada he said adding that most sales were in switzerland followed by sweden and west germany reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: gm gm hopes for fivefold rise in european sales us carmaker general motors hopes to sell between 7000 and 8000 vehicles in europe this year a fivefold rise over the year before james fry vicepresident of gm overseas distribution corporation told a news briefing the low dollar makes our prices very attractive he said at a gm preview before the opening of the geneva motor show we would like to sell between 7000 and 8000 units in europe for the year to august 1987 he told reuters later officials said gm sold 1500 vehicles in the 1986 model year fry said that at an average price of 13000 dlrs his projected sales figures would mean turnover of between 91 mln and 104 mln dlrs in europe gm sales in europe in the 1985 model year totalled 500 vehicles due largely to uncompetitive prices because of the then strong dollar fry said all gm vehicles sold in europe are manufactured in the united states and canada he said adding that most sales were in switzerland followed by sweden and west germany reuter
Label:
",earn,1
6156,ANALYSTS SAY U.K. BUDGET POINTS TO BASE RATE CUTS,analysts say uk budget points to base rate cuts chancellor of the exchequer nigel lawsons budget speech was described as sound and well balanced by analysts if slightly lacking in excitement a cut in bank base lending rates is now widely expected tomorrow with most forecasts predicting a halfpoint fall a followup halfpoint cut is anticipated next week worthy but boring would probably sum it up peter fellner uk economist at stockbrokers james capel and co said it was a very very prudent fiscal budget richard jeffrey of brokers hoare govett said it was a wellbalanced budget within the confines of the governments philosophy of keeping expenditure levels flat most analysts said the budget was very sound on the fiscal side but offered nothing new on monetary policy as was widely expected lawson split his fiscal adjustment between trimming the 198788 psbr target to 40 billion stg from 71 billion and cutting basic rate income tax from 29 to 27 pct the target for the narrow measure of money supply m0 was kept unchangd at two to six pct while the target for the broad sterling m3 aggregate was dropped both jeffrey and fellner said the budget clears the way for a halfpoint fall in uk base rates tomorrow but the authorities are unlikely to sanction a larger cut immediately many analysts and currency dealers have forecast a full onepoint cut tomorrow the bank of england will be loathe to take any action which it will have to reverse later jeffrey said though he added a further halfpoint ,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: analysts say uk budget points to base rate cuts chancellor of the exchequer nigel lawsons budget speech was described as sound and well balanced by analysts if slightly lacking in excitement a cut in bank base lending rates is now widely expected tomorrow with most forecasts predicting a halfpoint fall a followup halfpoint cut is anticipated next week worthy but boring would probably sum it up peter fellner uk economist at stockbrokers james capel and co said it was a very very prudent fiscal budget richard jeffrey of brokers hoare govett said it was a wellbalanced budget within the confines of the governments philosophy of keeping expenditure levels flat most analysts said the budget was very sound on the fiscal side but offered nothing new on monetary policy as was widely expected lawson split his fiscal adjustment between trimming the 198788 psbr target to 40 billion stg from 71 billion and cutting basic rate income tax from 29 to 27 pct the target for the narrow measure of money supply m0 was kept unchangd at two to six pct while the target for the broad sterling m3 aggregate was dropped both jeffrey and fellner said the budget clears the way for a halfpoint fall in uk base rates tomorrow but the authorities are unlikely to sanction a larger cut immediately many analysts and currency dealers have forecast a full onepoint cut tomorrow the bank of england will be loathe to take any action which it will have to reverse later jeffrey said though he added a further halfpoint 
Label:
",earn,1
6079,U.S. HOUSE TARGETING PROPOSAL SPARKS INTEREST,us house targeting proposal sparks interest a proposal by two us house democrats to target government farm benefits to small and mediumsized farms was warmly received by democrats on a house subcommittee today on balance this is the best new idea i have seen said rep dan glickman dkan chairman of the house agriculture subcommittee on wheat feedgrains and soybeans this is the first hard constructive proposal coming out as an alternative to the reagan administrations farm proposal the plan offered by reps tim penny dminn and byron dorgan dnd would raise target prices for wheat to 500 dlrs per bushel and for corn to 350 dlrs producers could receive deficiency payments on up to 80 pct of normal yield but not more than on 30000 bu of corn and 20000 bu of wheat the proposal also would require acreage reductions of 20 pct eliminate generic certificates and prohibit persons not actively engaged in farming from receiving program benefits dorgan said the bill would save 24 billion dlrs over five years protect family farms and eliminate government accumulation of stocks because nonrecourse loans would be halted however rep pat roberts rkan said the measure would involve the federal government in deciding and defining who a family farmer is roberts said the bill for example would restrict program payments to 500 acres of wheat production in western kansas other republicans on the panel questioned how the bill would determine if a person was actively engaged in farming and ther,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: us house targeting proposal sparks interest a proposal by two us house democrats to target government farm benefits to small and mediumsized farms was warmly received by democrats on a house subcommittee today on balance this is the best new idea i have seen said rep dan glickman dkan chairman of the house agriculture subcommittee on wheat feedgrains and soybeans this is the first hard constructive proposal coming out as an alternative to the reagan administrations farm proposal the plan offered by reps tim penny dminn and byron dorgan dnd would raise target prices for wheat to 500 dlrs per bushel and for corn to 350 dlrs producers could receive deficiency payments on up to 80 pct of normal yield but not more than on 30000 bu of corn and 20000 bu of wheat the proposal also would require acreage reductions of 20 pct eliminate generic certificates and prohibit persons not actively engaged in farming from receiving program benefits dorgan said the bill would save 24 billion dlrs over five years protect family farms and eliminate government accumulation of stocks because nonrecourse loans would be halted however rep pat roberts rkan said the measure would involve the federal government in deciding and defining who a family farmer is roberts said the bill for example would restrict program payments to 500 acres of wheat production in western kansas other republicans on the panel questioned how the bill would determine if a person was actively engaged in farming and ther
Label:
",not earn,0
2067,TRANSPORTATION AGENCY GIVES FINAL OKAY FOR US AIR PACIFIC SOUTHWEST ACQUISITION,transportation agency gives final okay for us air pacific southwest acquisition,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: transportation agency gives final okay for us air pacific southwest acquisition
Label:
",not earn,0
2827,LLOYDS BANK CANADA 1ST QTR PROFIT RISES SHARPLY,lloyds bank canada 1st qtr profit rises sharply lloyds bank canada a unit of lloyds bank international plc said net profit soared to 3053000 dlrs for the first quarter ended january 31 from 9000 dlrs a year earlier loan loss provisions a mandatory fiveyear averaging of actual loan losses also rose in the first quarter to 6375000 dlrs from yearago 113000 dlrs the bank said lloyds bank canada became canadas largest foreign bank last autumn with its 200 mln canadian dlr acquisition of continental bank of canada reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: lloyds bank canada 1st qtr profit rises sharply lloyds bank canada a unit of lloyds bank international plc said net profit soared to 3053000 dlrs for the first quarter ended january 31 from 9000 dlrs a year earlier loan loss provisions a mandatory fiveyear averaging of actual loan losses also rose in the first quarter to 6375000 dlrs from yearago 113000 dlrs the bank said lloyds bank canada became canadas largest foreign bank last autumn with its 200 mln canadian dlr acquisition of continental bank of canada reuter
Label:
",earn,1
712,NORTH AMERICAN GROUP <NAMG> BUYS GEORGIA FIRM,north american group namg buys georgia firm north american group ltds north american acquisition corp said it has a definitive agreement to buy 100 pct of pioneer business group inc of atlanta terms of the acquisition were not disclosed closing of the acquisition is scheduled for april north american acquisition said the agreement is subject to due diligence and a satisfactory review of pioneers operation pioneer makes business forms reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: north american group namg buys georgia firm north american group ltds north american acquisition corp said it has a definitive agreement to buy 100 pct of pioneer business group inc of atlanta terms of the acquisition were not disclosed closing of the acquisition is scheduled for april north american acquisition said the agreement is subject to due diligence and a satisfactory review of pioneers operation pioneer makes business forms reuter
Label:
",not earn,0
8421,U.S. PREPARED TO ESCORT KUWAITI TANKERS,us prepared to escort kuwaiti tankers the united states has offered navy warships to escort kuwaiti oil tankers into and out of the gulf where they could be threatened by new iranian antiship missiles us defense officials said today we believe the kuwaitis have also approached the soviet union about the possibility of using soviet tankers to ship their oil one of the officials told reuters but if there is superpower protection we would rather it come from us the official said the officials who asked not to be identified said kuwait had asked about possible protection for a dozen vessels most of them oil tankers which could be supplied by three us navy guided missile destroyers and two guided missile frigates now in the southern part of the gulf we told them we would give them help and we are waiting to hear the kuwaiti response to our offer one official said in addition to a half dozen ships in the us navys small mideast task force near the straits of hormuz the pentagon has moved 18 warships including the aircraft carrier kitty hawk into the northern indian ocean in the past month white house and defense officials said today that massing of the fleet was routine and had nothing to do with the iraniraq war or irans recent stationing of chinesemade antiship missiles near the mouth of the gulf the landbased missiles have increased concern in kuwait and other middle east countries that their oil shipments might be affected several hundred vessels have been confirmed hit in ,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: us prepared to escort kuwaiti tankers the united states has offered navy warships to escort kuwaiti oil tankers into and out of the gulf where they could be threatened by new iranian antiship missiles us defense officials said today we believe the kuwaitis have also approached the soviet union about the possibility of using soviet tankers to ship their oil one of the officials told reuters but if there is superpower protection we would rather it come from us the official said the officials who asked not to be identified said kuwait had asked about possible protection for a dozen vessels most of them oil tankers which could be supplied by three us navy guided missile destroyers and two guided missile frigates now in the southern part of the gulf we told them we would give them help and we are waiting to hear the kuwaiti response to our offer one official said in addition to a half dozen ships in the us navys small mideast task force near the straits of hormuz the pentagon has moved 18 warships including the aircraft carrier kitty hawk into the northern indian ocean in the past month white house and defense officials said today that massing of the fleet was routine and had nothing to do with the iraniraq war or irans recent stationing of chinesemade antiship missiles near the mouth of the gulf the landbased missiles have increased concern in kuwait and other middle east countries that their oil shipments might be affected several hundred vessels have been confirmed hit in 
Label:
",not earn,0
935,FRENCH BOND COMMITTEE APPROVES THREE ISSUES,french bond committee approves three issues the french domestic bond issuing committee said it has approved three new issues totalling 18 billion francs credit lyonnais will lead manage a 12 billion franc issue for the caisse centrale de credit cooperatif banque francaise de lagriculture will lead with union de garantie et de placement a 300 mln franc issue for its own account caisse centrale des banques populaires will lead a 300 mln issue for the groupement des industries pour le batiment et travaux publics no further details were immediately available reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title (and possibly a short excerpt) of a Reuters news article. Label 1 (earn) if the article is about corporate earnings, financial results, profits, losses, dividends, revenue reports, or quarterly/annual results. Label 2 (not earn) for any other topic such as trade, commodities, politics, acquisitions, monetary policy, etc.
Return only one of the two labels: earn or not earn. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: french bond committee approves three issues the french domestic bond issuing committee said it has approved three new issues totalling 18 billion francs credit lyonnais will lead manage a 12 billion franc issue for the caisse centrale de credit cooperatif banque francaise de lagriculture will lead with union de garantie et de placement a 300 mln franc issue for its own account caisse centrale des banques populaires will lead a 300 mln issue for the groupement des industries pour le batiment et travaux publics no further details were immediately available reuter
Label:
",not earn,0
