id,title,training_text,text,answer,label
125,HONG KONG FIRM UPS WRATHER<WCO> STAKE TO 11 PCT,hong kong firm ups wratherwco stake to 11 pct industrial equity pacific ltd a hong kong investment firm said it raised its stake in wrather corp to 816000 shares or 113 pct of the total outstanding common stock from 453300 shares or 63 pct in a filing with the securities and exchange commission industrial equity which is principally owned by brierley investments ltd a publicly held new zealand company said it bought 362700 wrather common shares between feb 13 and 24 for 66 mln dlrs when it first disclosed its stake in wrather earlier this month it said it bought the stock for investment purposes reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: hong kong firm ups wratherwco stake to 11 pct industrial equity pacific ltd a hong kong investment firm said it raised its stake in wrather corp to 816000 shares or 113 pct of the total outstanding common stock from 453300 shares or 63 pct in a filing with the securities and exchange commission industrial equity which is principally owned by brierley investments ltd a publicly held new zealand company said it bought 362700 wrather common shares between feb 13 and 24 for 66 mln dlrs when it first disclosed its stake in wrather earlier this month it said it bought the stock for investment purposes reuter
Label:
",trade,2
11042,OXOCO CONCLUDES PRIVATE SALE OF NEW COMMON,oxoco concludes private sale of new common oxoco inc said it concluded the private placement of 3906250 shares of its new common stock at an average purchase price of 128 dlrs per share for a cash payment of five mln dlrs oxoco said the sale was to a group of venture capital investors led by hambrecht and quist of san francisco it said the venture capitalists now own 716 pct of the outstanding stock of the company in addition andrew loomis and michael mcgovern were elected chairman and cochairman respectively of the company it said reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: oxoco concludes private sale of new common oxoco inc said it concluded the private placement of 3906250 shares of its new common stock at an average purchase price of 128 dlrs per share for a cash payment of five mln dlrs oxoco said the sale was to a group of venture capital investors led by hambrecht and quist of san francisco it said the venture capitalists now own 716 pct of the outstanding stock of the company in addition andrew loomis and michael mcgovern were elected chairman and cochairman respectively of the company it said reuter
Label:
",trade,2
5350,DERLAN ACQUIRES 80 PCT OF AURORA INDUSTRIES,derlan acquires 80 pct of aurora industries derlan industries ltd said it acquired 80 pct of aurora industries inc of montgomery illinois for an undisclosed price closing is subject to completion of legal formalities derlan said reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: derlan acquires 80 pct of aurora industries derlan industries ltd said it acquired 80 pct of aurora industries inc of montgomery illinois for an undisclosed price closing is subject to completion of legal formalities derlan said reuter
Label:
",acq,1
7365,PACAD <BAGS> SEES OKAMOTO CONTRACT IN A FEW DAYS,pacad bags sees okamoto contract in a few days pacad inc said it expects to have a written contract with okamoto usa inc to market condoms produced by its parent company okamoto riklen gomu co ltd in the united states within 10 days yesterday pacad said it has reached an agreement to enter into a contract with okamoto adding we expect our condom sales to begin within 30 days and grow rapidly in 1987 in a clarifying statement pacad said it has an oral agreement with okomoto to market condoms and fully expects to enter into a written contract with regard thereto within a week to ten days reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: pacad bags sees okamoto contract in a few days pacad inc said it expects to have a written contract with okamoto usa inc to market condoms produced by its parent company okamoto riklen gomu co ltd in the united states within 10 days yesterday pacad said it has reached an agreement to enter into a contract with okamoto adding we expect our condom sales to begin within 30 days and grow rapidly in 1987 in a clarifying statement pacad said it has an oral agreement with okomoto to market condoms and fully expects to enter into a written contract with regard thereto within a week to ten days reuter
Label:
",trade,2
8428,TWO U.S. BANCORP <USBC> UNITS MERGE,two us bancorp usbc units merge us bancorps pacific state bank of lincoln city said it plans to merge with us bancorps us national bank of oregon under the pact pacific state will become part of the us bank branch system the company said the merger is expected to be completed after midyear following regulatory approval all local staff and management will remain the same it said reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: two us bancorp usbc units merge us bancorps pacific state bank of lincoln city said it plans to merge with us bancorps us national bank of oregon under the pact pacific state will become part of the us bank branch system the company said the merger is expected to be completed after midyear following regulatory approval all local staff and management will remain the same it said reuter
Label:
",trade,2
8272,U.S. CORPORATE FINANCE - NOVEL GMAC FINANCING,us corporate finance novel gmac financing because its novel financing deal sold quickly last week general motors corps gm general motors acceptance corp unit plans to do more multitiered financings said michael mangan of gmac we are certainly happy with the transaction we plan to do more said mangan director of corporate financing offered on wednesday the 100 mln dlr issue had three price levels to attract a wide range of retail investors and small regional institutions said officers of pw korth and co inc and painewebber inc which shared bookrunning duties we will continue to look at multitiered financings mangan said gmac plans to talk to korth and painewebber and get their thoughts on the deal we want to see how it went and where the securities were placed the gmac officer added mangan and the colead managers said the three different pricings enabled the finance arm of general motors to borrow at attractive rates gmac saved some basis points with this technique said an officer on korths syndicate desk our allincost was comparable if the deal had not made sense obviously we would not have done it mangan noted the gmac sevenyear notes were given a coupon of 745 pct for investors buying less than 100000 dlrs of the notes the offering was priced at par to yield 45 basis points over comparable treasury securities those buying 100000 to 250000 dlrs pay 9960 for a yield of 752 pct or 53 basis points over treasuries for purchases of more than 250000 dlrs the notes ,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: us corporate finance novel gmac financing because its novel financing deal sold quickly last week general motors corps gm general motors acceptance corp unit plans to do more multitiered financings said michael mangan of gmac we are certainly happy with the transaction we plan to do more said mangan director of corporate financing offered on wednesday the 100 mln dlr issue had three price levels to attract a wide range of retail investors and small regional institutions said officers of pw korth and co inc and painewebber inc which shared bookrunning duties we will continue to look at multitiered financings mangan said gmac plans to talk to korth and painewebber and get their thoughts on the deal we want to see how it went and where the securities were placed the gmac officer added mangan and the colead managers said the three different pricings enabled the finance arm of general motors to borrow at attractive rates gmac saved some basis points with this technique said an officer on korths syndicate desk our allincost was comparable if the deal had not made sense obviously we would not have done it mangan noted the gmac sevenyear notes were given a coupon of 745 pct for investors buying less than 100000 dlrs of the notes the offering was priced at par to yield 45 basis points over comparable treasury securities those buying 100000 to 250000 dlrs pay 9960 for a yield of 752 pct or 53 basis points over treasuries for purchases of more than 250000 dlrs the notes 
Label:
",trade,2
10548,HONEYWELL BULL SEES REVENUE GROWTH,honeywell bull sees revenue growth honeywell bull inc owned by honeywell inc hon cie des machines bull and nec corp said it expects its 1987 revenues to increase 15 to 20 pct over its current level of about 19 billion dlrs honeywell bull president jerome meyer also told the press conference the company was profitable adding the company aimed to improve profits over time honeywell inc earlier today received 527 mln dlrs in cash for the sale of 575 pct of its computer business to bull and nec honeywell will retain a 425 pct interest in honeywell bull and bull will own an equal amount nec owns 15 pct of the company meyer who had been executive vice president of honeywell information systems said honeywell bull would work closely with nec and bull in both developing new products and marketing computers to multinational companies we havent been growing as fast as wed like but we are going to turn that around meyer said he said business was soft in the us he said the company was reorganizing its distribution programs and its staff reassigning and laying off selected employees he also said the company was hiring new workers honeywell bull chairman jacques stern who is also chairman of bull said he believed the computer industry could be a fast growing market for companies that provide the type of computers customers want i dont believe in the slump of the market he said the computer company would offer open systems so that customers would not be tied to a specific vendor or a,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: honeywell bull sees revenue growth honeywell bull inc owned by honeywell inc hon cie des machines bull and nec corp said it expects its 1987 revenues to increase 15 to 20 pct over its current level of about 19 billion dlrs honeywell bull president jerome meyer also told the press conference the company was profitable adding the company aimed to improve profits over time honeywell inc earlier today received 527 mln dlrs in cash for the sale of 575 pct of its computer business to bull and nec honeywell will retain a 425 pct interest in honeywell bull and bull will own an equal amount nec owns 15 pct of the company meyer who had been executive vice president of honeywell information systems said honeywell bull would work closely with nec and bull in both developing new products and marketing computers to multinational companies we havent been growing as fast as wed like but we are going to turn that around meyer said he said business was soft in the us he said the company was reorganizing its distribution programs and its staff reassigning and laying off selected employees he also said the company was hiring new workers honeywell bull chairman jacques stern who is also chairman of bull said he believed the computer industry could be a fast growing market for companies that provide the type of computers customers want i dont believe in the slump of the market he said the computer company would offer open systems so that customers would not be tied to a specific vendor or a
Label:
",other,5
2193,CORNING GLASS WORKS <GLW> UNIT TRANSFERS STOCK,corning glass works glw unit transfers stock corning glass works subsidiary corning international corp said it agreed to transfer 55 pct of its capital stock of an argentine glass manufacturer to a european group it said it will transfer the capital stock of rigolleau sa to the group controlled by camillo gancia an argentine industrialist the company said the transaction would reduce cornings ownership in rigolleau to approximately 20 pct the company said the change will not impact on its net income for th year reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: corning glass works glw unit transfers stock corning glass works subsidiary corning international corp said it agreed to transfer 55 pct of its capital stock of an argentine glass manufacturer to a european group it said it will transfer the capital stock of rigolleau sa to the group controlled by camillo gancia an argentine industrialist the company said the transaction would reduce cornings ownership in rigolleau to approximately 20 pct the company said the change will not impact on its net income for th year reuter
Label:
",trade,2
4526,"ORBIS, COCA-COLA, GULF/WESTERN <GW> IN DEAL",orbis cocacola gulfwestern gw in deal orbis communications said it entered an agreement in principle to join cocacola cos ko telecommunications inc unit and gulf and western incs entertainment group proposed venture to sell national barter advertising under national barter advertising a syndicator sells programs to a station for proceeds from national advertising instead of for cash the joint venture will be called international advertising sales and will handle the sale of advertising time for programs by all three companies reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: orbis cocacola gulfwestern gw in deal orbis communications said it entered an agreement in principle to join cocacola cos ko telecommunications inc unit and gulf and western incs entertainment group proposed venture to sell national barter advertising under national barter advertising a syndicator sells programs to a station for proceeds from national advertising instead of for cash the joint venture will be called international advertising sales and will handle the sale of advertising time for programs by all three companies reuter
Label:
",trade,2
13164,ILLINOIS POWER <IPC> FILES 50 MLN DLR SHELF,illinois power ipc files 50 mln dlr shelf illinois power co said it filed a shelf registration to issue up to 50 mln dlrs principal amount of debt securities no date for an offering was announced it said at the time the shelf is issued the net proceeds from this registration and a previous registration together totaling 75 mln dlrs will be used in part to refund a portion of the companys outstanding first mortgage bonds and in part to reimburse a part of the funds required in earlier refunding activities reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: illinois power ipc files 50 mln dlr shelf illinois power co said it filed a shelf registration to issue up to 50 mln dlrs principal amount of debt securities no date for an offering was announced it said at the time the shelf is issued the net proceeds from this registration and a previous registration together totaling 75 mln dlrs will be used in part to refund a portion of the companys outstanding first mortgage bonds and in part to reimburse a part of the funds required in earlier refunding activities reuter
Label:
",trade,2
7332,QUAKER STATE <KSF> ARRANGES 100 MLN DLR CREDIT,quaker state ksf arranges 100 mln dlr credit quaker state oil refining corp said it signed a 100 mln dlr revolving credit and term loan agreement with a group of six banks for which mellon bank na is agent the fouryear arrangement has an additional fouryear term loan amortization agreement quaker said quaker said the credit line will be used to finance expansion plans quakers total capital spending program for 1987 is expected to exceed 125 mln dlrs it said in 1986 the companys capital spending totaled 710 mln dlrs quaker also said costs of new store openings and new product introductions will depress earnings in the first half for the first half of 1986 quaker reported net income of 260 mln dlrs on sales of 4735 mln dlrs in the first two months quaker opened about 25 new stores it said it expects to add 150 minitlube fast lubrication service centers in 1987 at a cost of 75 mln dlrs the company said it is optimistic it will recover in the second half and report higher earnings for full year fiscal 1987 the company reported net income of 503 mln dlrs on sales of 8991 mln dlrs for 1986 reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: quaker state ksf arranges 100 mln dlr credit quaker state oil refining corp said it signed a 100 mln dlr revolving credit and term loan agreement with a group of six banks for which mellon bank na is agent the fouryear arrangement has an additional fouryear term loan amortization agreement quaker said quaker said the credit line will be used to finance expansion plans quakers total capital spending program for 1987 is expected to exceed 125 mln dlrs it said in 1986 the companys capital spending totaled 710 mln dlrs quaker also said costs of new store openings and new product introductions will depress earnings in the first half for the first half of 1986 quaker reported net income of 260 mln dlrs on sales of 4735 mln dlrs in the first two months quaker opened about 25 new stores it said it expects to add 150 minitlube fast lubrication service centers in 1987 at a cost of 75 mln dlrs the company said it is optimistic it will recover in the second half and report higher earnings for full year fiscal 1987 the company reported net income of 503 mln dlrs on sales of 8991 mln dlrs for 1986 reuter
Label:
",trade,2
68,<COFAB INC> BUYS GULFEX FOR UNDISCLOSED AMOUNT,cofab inc buys gulfex for undisclosed amount cofab inc said it acquired gulfex inc a houstonbased fabricator of custom highpressure process vessels for the energy and petrochemical industries cofab said its group of companies manufacture specialized cooling and lubricating systems for the oil and gas petrochemical utility pulp and paper and marine industries reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: cofab inc buys gulfex for undisclosed amount cofab inc said it acquired gulfex inc a houstonbased fabricator of custom highpressure process vessels for the energy and petrochemical industries cofab said its group of companies manufacture specialized cooling and lubricating systems for the oil and gas petrochemical utility pulp and paper and marine industries reuter
Label:
",trade,2
1415,INTERMARK <IMI> PLANS REFINANCING,intermark imi plans refinancing intermark inc said it plans to offer 40 mln dlrs in new debt to finance the repurchase of highinterest notes and that it agreed to sell two units the company said it filed a registration statement with the securities and exchange commission to sell 40 mln dlrs of convertible suborindated debentures due 2007 it said proceeds from the offering to be managed by drexel burnham lambert inc will be used to redeem all 20 mln dlrs face amount of its 1178 pct senior subordinated debentures and to buy back some of its 1320 pct senior notes more,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: intermark imi plans refinancing intermark inc said it plans to offer 40 mln dlrs in new debt to finance the repurchase of highinterest notes and that it agreed to sell two units the company said it filed a registration statement with the securities and exchange commission to sell 40 mln dlrs of convertible suborindated debentures due 2007 it said proceeds from the offering to be managed by drexel burnham lambert inc will be used to redeem all 20 mln dlrs face amount of its 1178 pct senior subordinated debentures and to buy back some of its 1320 pct senior notes more
Label:
",trade,2
3586,GOODYEAR TIRE TO RECEIVE 588 MLN DLRS FOR GOODYEAR AEROSPACE FROM LORAL CORP,goodyear tire to receive 588 mln dlrs for goodyear aerospace from loral corp,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: goodyear tire to receive 588 mln dlrs for goodyear aerospace from loral corp
Label:
",trade,2
2783,SIEMENS WANTS TO AMEND TELECOM PLUS <TELE> PACT,siemens wants to amend telecom plus tele pact telecom plus international inc said siemens ags siemens information systems wants to amend its agreement to purchase telecoms 65 pct interest in tel plus communications to delay payment of 25 mln dlrs for 11 months telecoms shareholders are scheduled to vote on the 165 mln dlr transaction monday telecom said it advised siemens it intends to close the transaction on march 16 as scheduled if it is approved by shareholders a spokesman said this means telecom will decide before the 16th whether or not to accept the proposed change explaining its request for the amendment siemens informed telecom it had recently become aware of information causing concern with respect to certain accounting and other matters siemens said it will therefore need to continue its review beyond march 16 to determine whether certain representations and warranties are true telecom said it advised siemens it knows of no information which would make its representations and warranties untrue siemens already owns the remaining 35 pct of tel plus the 65 pct represenmts telecoms principal operating asset a telecom spokesman said the agreement calls for payment of all but 29 mln dlrs of the price at closing of this 21 mln dlrs was to be paid 11 months later and two mln dlrs per year on the anniversary date of the transaction he said siemens is now proposing that 25 mln dlrs be added to the 21 mln dlrs to be paid in 11 months telecom said the proposed amendment would also permit siemens to d,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: siemens wants to amend telecom plus tele pact telecom plus international inc said siemens ags siemens information systems wants to amend its agreement to purchase telecoms 65 pct interest in tel plus communications to delay payment of 25 mln dlrs for 11 months telecoms shareholders are scheduled to vote on the 165 mln dlr transaction monday telecom said it advised siemens it intends to close the transaction on march 16 as scheduled if it is approved by shareholders a spokesman said this means telecom will decide before the 16th whether or not to accept the proposed change explaining its request for the amendment siemens informed telecom it had recently become aware of information causing concern with respect to certain accounting and other matters siemens said it will therefore need to continue its review beyond march 16 to determine whether certain representations and warranties are true telecom said it advised siemens it knows of no information which would make its representations and warranties untrue siemens already owns the remaining 35 pct of tel plus the 65 pct represenmts telecoms principal operating asset a telecom spokesman said the agreement calls for payment of all but 29 mln dlrs of the price at closing of this 21 mln dlrs was to be paid 11 months later and two mln dlrs per year on the anniversary date of the transaction he said siemens is now proposing that 25 mln dlrs be added to the 21 mln dlrs to be paid in 11 months telecom said the proposed amendment would also permit siemens to d
Label:
",trade,2
589,CHURCHILL TO MARKET WESTERN UNION <WU> SERVICES,churchill to market western union wu services churchill communications corp said it signed an agreement under which it will sell and service western union corps telex electronic mail and long distance services to customers not directly assigned to western union representatives churchill a privately held firm that processes electronic mail services said the agreement extends for two years with options for renewal reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: churchill to market western union wu services churchill communications corp said it signed an agreement under which it will sell and service western union corps telex electronic mail and long distance services to customers not directly assigned to western union representatives churchill a privately held firm that processes electronic mail services said the agreement extends for two years with options for renewal reuter
Label:
",trade,2
8918,"CYACQ AMENDS CYCLOPS OFFER CONDITIONS, SAYS CITICORP EXPANDS FINANCING",cyacq amends cyclops offer conditions says citicorp expands financing,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: cyacq amends cyclops offer conditions says citicorp expands financing
Label:
",trade,2
14668,INTERFACE FLOORING SYSTEMS <IFSIA> IN OFFERING,interface flooring systems ifsia in offering interface flooring systems inc said it announced a public offering of 2800000 shares of the companys class a common stock at a price of 2125 dlrs per share the underwriting group was comanaged by the robinsonhumphry co inc and painewebber inc it said reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: interface flooring systems ifsia in offering interface flooring systems inc said it announced a public offering of 2800000 shares of the companys class a common stock at a price of 2125 dlrs per share the underwriting group was comanaged by the robinsonhumphry co inc and painewebber inc it said reuter
Label:
",trade,2
