id,title,training_text,text,answer,label
14519,MANHATTAN NATIONAL <MLC> ELECTS CHAIRMAN,manhattan national mlc elects chairman manhattan national corp said it elected charles hinckley chairman and chief executive officer of the life insurance holding company hinckley succeeds wilmot wheeler jr who returns to his former position as vice chairman the company said hinckley will continue as president and chief executive officer of union central life insurance co a cincinnatibased mutual insurer which owns approximately 522 pct of manhattan national outstanding stock reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: manhattan national mlc elects chairman manhattan national corp said it elected charles hinckley chairman and chief executive officer of the life insurance holding company hinckley succeeds wilmot wheeler jr who returns to his former position as vice chairman the company said hinckley will continue as president and chief executive officer of union central life insurance co a cincinnatibased mutual insurer which owns approximately 522 pct of manhattan national outstanding stock reuter
Label:
",trade,2
2418,NORTHGATE <NGX> NAMES NEW PRESIDENT,northgate ngx names new president northgate exploration ltd said it appointed john kearney as president of the company effective immediately a company spokesman said patrick hughes who previously was both president and chairman will continue as chairman and chief executive officer kearney had been executive vicepresident of northgate reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: northgate ngx names new president northgate exploration ltd said it appointed john kearney as president of the company effective immediately a company spokesman said patrick hughes who previously was both president and chairman will continue as chairman and chief executive officer kearney had been executive vicepresident of northgate reuter
Label:
",other,5
11583,UNITED TELECOM <UT> UNIT NAMES NEW PRESIDENT,united telecom ut unit names new president united telecommunications inc said it has named robert benders president and chief executive officer of its megatek corp unit benders succeeds paul huber at those positions the company said reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: united telecom ut unit names new president united telecommunications inc said it has named robert benders president and chief executive officer of its megatek corp unit benders succeeds paul huber at those positions the company said reuter
Label:
",other,5
2414,MANOR CARE INC <MNR> CHAIRMAN RESIGNS,manor care inc mnr chairman resigns manor care inc said its chairman and chief executive officer stewart bainum sr has resigned his post the company said he is being replaced by his son stewart bainum jr who has served as vice chairman the past five years bainum sr was the founder of manor care a nursing home and hotel operator reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: manor care inc mnr chairman resigns manor care inc said its chairman and chief executive officer stewart bainum sr has resigned his post the company said he is being replaced by his son stewart bainum jr who has served as vice chairman the past five years bainum sr was the founder of manor care a nursing home and hotel operator reuter
Label:
",other,5
4462,DIAMOND SHAMROCK RAISED CRUDE BY 50 CTS/BBL TODAY. WTI UP TO 17.50 DLRS.,diamond shamrock raised crude by 50 ctsbbl today wti up to 1750 dlrs,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: diamond shamrock raised crude by 50 ctsbbl today wti up to 1750 dlrs
Label:
",trade,2
9504,RAYTHEON <RTN> DIRECTOR RESIGNS,raytheon rtn director resigns raytheon co said d brainerd holmes who retired as raytheon president in may 1986 has resigned from the board effective april one the company said ferdinand colloredomansfield chairman of cabot cabot and forbes will succeed holmes on the board reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: raytheon rtn director resigns raytheon co said d brainerd holmes who retired as raytheon president in may 1986 has resigned from the board effective april one the company said ferdinand colloredomansfield chairman of cabot cabot and forbes will succeed holmes on the board reuter
Label:
",earn,0
10014,"COFFEE, SUGAR AND COCOA EXCHANGE NAMES CHAIRMAN",coffee sugar and cocoa exchange names chairman the new york coffee sugar and cocoa exchange csce elected former first vice chairman gerald clancy to a twoyear term as chairman of the board of managers replacing previous chairman howard katz katz chairman since 1985 will remain a board member clancy currently serves on the exchange board of managers as chairman of its appeals executive pension and political action committees the csce also elected charles nastro executive vice president of shearson lehman bros as first vice chairman anthony maccia vice president of woodhouse drake and carey was named second vice chairman and clifford evans president of demico futures was elected treasurer reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: coffee sugar and cocoa exchange names chairman the new york coffee sugar and cocoa exchange csce elected former first vice chairman gerald clancy to a twoyear term as chairman of the board of managers replacing previous chairman howard katz katz chairman since 1985 will remain a board member clancy currently serves on the exchange board of managers as chairman of its appeals executive pension and political action committees the csce also elected charles nastro executive vice president of shearson lehman bros as first vice chairman anthony maccia vice president of woodhouse drake and carey was named second vice chairman and clifford evans president of demico futures was elected treasurer reuter
Label:
",trade,2
4481,DIAMOND SHAMROCK <DIA> RAISES CRUDE POSTINGS,diamond shamrock dia raises crude postings diamond shamrock said it raised the contract price it will pay for crude oil 50 cts a barrel effective today the increase brings the companys posted price for the benchmark grade west texas intermediate to 1750 dlrsbbl diamond shamrock last changed its postings on march 4 reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: diamond shamrock dia raises crude postings diamond shamrock said it raised the contract price it will pay for crude oil 50 cts a barrel effective today the increase brings the companys posted price for the benchmark grade west texas intermediate to 1750 dlrsbbl diamond shamrock last changed its postings on march 4 reuter
Label:
",trade,2
9968,BALLY <BLY> NAMES NEW CHIEF FINANCIAL OFFICER,bally bly names new chief financial officer bally manufacturing corp said it has elected paul johnson a vice president and named him chief financial officer replacing donald romans who took early retirement bally also said it has appointed jerry blumenshine formerly a vice president treasurer to fill the position left vacant by johnson reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: bally bly names new chief financial officer bally manufacturing corp said it has elected paul johnson a vice president and named him chief financial officer replacing donald romans who took early retirement bally also said it has appointed jerry blumenshine formerly a vice president treasurer to fill the position left vacant by johnson reuter
Label:
",other,5
5569,INTERNATIONAL KING'S <IKNG> NAMES PRESIDENT,international kings ikng names president international kings table inc said it named everett f jefferson president and chief operating officer the company said jefferson was previously president and chief operating officer of marriott corps mhs straw hat pizza unit it said he assumes the positions from roger w houmes who will continue as chairman and chief executive officer of the company which operates a chain of 82 restaurants in the west reuter,"You are a labeling tool to create labels for a text classification task.
I will provide the title and excerpt of a Reuters news article. Pick the single best matching topic from the list of labels.
Return only one of these labels: earn, acq, trade, crude, money-fx, other. No explanation is necessary.

Examples:
1. Article: NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE
Label: not earn

2. Article: ALLIED-LYONS YEAR PRETAX PROFIT RISES
Label: earn

3. Article: JAPAN TO REVISE LONG-TERM ENERGY DEMAND DOWNWARDS
Label: not earn

4. Article: SEARS ROEBUCK 1ST-QTR NET INCOME UP
Label: earn

5. Article: international kings ikng names president international kings table inc said it named everett f jefferson president and chief operating officer the company said jefferson was previously president and chief operating officer of marriott corps mhs straw hat pizza unit it said he assumes the positions from roger w houmes who will continue as chairman and chief executive officer of the company which operates a chain of 82 restaurants in the west reuter
Label:
",other,5
