id,title,training_text,true_label,text,answer,pseudo_label,label
67986,"Looking for X windows on a PC Hi All, This is the first time I've posted to the net, so I hope this is going to the right people. I'm looking for software packages that run on an IBM PC clone that allows me to display Openlook and motif windows on the PC. The idea is to use the PC as a cheap X windows terminal for use by process Engineers at work. If anyone can E-Mail me any recommended packages/horror stories/etc I would be greatful. Thanks in advance Mark Wilkinson -- / | \ | Mark Wilkinson | E-Mail : wilkinson_m@roborough.gpsemi.com | | Senior Software Engineer | markwilk@lincoln.gpsemi.com | | GEC Plessey Semiconductors | | | Roborough, Plymouth, England | | \_______________________________|_____________________________________________/","Looking for X windows on a PC Hi All, This is the first time I've posted to the net, so I hope this is going to the right people. I'm looking for software packages that run on an IBM PC clone that allows me to display Openlook and motif windows on the PC. The idea is to use the PC as a cheap X windows terminal for use by process Engineers at work. If anyone can E-Mail me any recommended packages/horror stories/etc I would be greatful. Thanks in advance Mark Wilkinson -- / | \ | Mark Wilkinson | E-Mail : wilkinson_m@roborough.gpsemi.com | | Senior Software Engineer | markwilk@lincoln.gpsemi.com | | GEC Plessey Semiconductors | | | Roborough, Plymouth, England | | \_______________________________|_____________________________________________/",0,"Task: classify a 20 Newsgroups post as rec.autos or not.

Label 1:
cars, trucks, SUVs, auto repair, driving, insurance for cars, buying cars, car ownership, maintenance, recalls, parts, tires, engines, transmissions, dealerships, used car advice, accidents involving cars.

Label 0:
motorcycles, pure for-sale ads, computers, graphics, software, medicine, religion, politics, science, or anything not mainly about cars.

Important:
- motorcycles = 0
- pure sale ads/classifieds = 0
- short replies still count as 1 if clearly about cars
- if unsure, output 0

Return only 1 or 0.

Examples:
Document: 1993 Infiniti G20 I am thinking about getting an Infiniti G20. In consumer reports it is ranked high in many catagories including highest in
Label: 1

Document: Re: Jeep Grand vs. Toyota 4-Runner hand. Land Crusier is just simply nice with shit-load of power and room. Fully stocked, it cost ~$40,000.
Label: 1

Document: Re: locking lugnuts / tire rebalance?? Well, it depends on what kind of locking lugnuts you have. My previous car had locking lugnuts that w
Label: 1

Document: Re: Slick 50, any good? I don't have any written data but I know what I have experienced. I use S-50 in everything including my lawnmowers.
Label: 1

Document: Honda Mailing list? Is there a Honda mailing list, and if so how do I subscribe to it?
Label: 1

Document: Re: Changing oil by yourself ""IDIOTS"" In article (Mark Dean) says: Cool off! Thes
Label: 1

Document: Re: Taurus/Sable rotor recall We get about 20 Taurus/Sables for fleet cars at our site every year, then the company sells them a year later
Label: 1

Document: Re: legal car buying problems On the other hand, remember the old adage that a verbal agreement isn't worth the paper it's printed on. Once
Label: 1

Document: Looking for X windows on a PC Hi All, This is the first time I've posted to the net, so I hope this is going to the right people. I'm looking for software packages that run on an IBM PC clone that all
Label:",0,0,0
77381,"Re: Europe vs. Muslim Bosnians You are somewhat close to truth. But you shouldn't forget that nationality is a recent invention of the western europe. In the days of the Ottoman empire, the religion was the main point of difference between social classes. The Ottomans didn't recognize Turks, Arabs, Greeks, Serbs... Just christians, muslims, jews... So, for all the interested parties in the Ottoman society the bosnian muslims were ""Turks"". After all, there aren't many ""real"" (ethnic) Turks living even in Turkey today. Even in Europe, it's the culture that defines the ethnicity and religion is part of one's culture. Can you support this? Bye, Yannis.","Re: Europe vs. Muslim Bosnians You are somewhat close to truth. But you shouldn't forget that nationality is a recent invention of the western europe. In the days of the Ottoman empire, the religion was the main point of difference between social classes. The Ottomans didn't recognize Turks, Arabs, Greeks, Serbs... Just christians, muslims, jews... So, for all the interested parties in the Ottoman society the bosnian muslims were ""Turks"". After all, there aren't many ""real"" (ethnic) Turks living even in Turkey today. Even in Europe, it's the culture that defines the ethnicity and religion is part of one's culture. Can you support this? Bye, Yannis.",0,"Task: classify a 20 Newsgroups post as rec.autos or not.

Label 1:
cars, trucks, SUVs, auto repair, driving, insurance for cars, buying cars, car ownership, maintenance, recalls, parts, tires, engines, transmissions, dealerships, used car advice, accidents involving cars.

Label 0:
motorcycles, pure for-sale ads, computers, graphics, software, medicine, religion, politics, science, or anything not mainly about cars.

Important:
- motorcycles = 0
- pure sale ads/classifieds = 0
- short replies still count as 1 if clearly about cars
- if unsure, output 0

Return only 1 or 0.

Examples:
Document: 1993 Infiniti G20 I am thinking about getting an Infiniti G20. In consumer reports it is ranked high in many catagories including highest in
Label: 1

Document: Re: Jeep Grand vs. Toyota 4-Runner hand. Land Crusier is just simply nice with shit-load of power and room. Fully stocked, it cost ~$40,000.
Label: 1

Document: Re: locking lugnuts / tire rebalance?? Well, it depends on what kind of locking lugnuts you have. My previous car had locking lugnuts that w
Label: 1

Document: Re: Slick 50, any good? I don't have any written data but I know what I have experienced. I use S-50 in everything including my lawnmowers.
Label: 1

Document: Honda Mailing list? Is there a Honda mailing list, and if so how do I subscribe to it?
Label: 1

Document: Re: Changing oil by yourself ""IDIOTS"" In article (Mark Dean) says: Cool off! Thes
Label: 1

Document: Re: Taurus/Sable rotor recall We get about 20 Taurus/Sables for fleet cars at our site every year, then the company sells them a year later
Label: 1

Document: Re: legal car buying problems On the other hand, remember the old adage that a verbal agreement isn't worth the paper it's printed on. Once
Label: 1

Document: Re: Europe vs. Muslim Bosnians You are somewhat close to truth. But you shouldn't forget that nationality is a recent invention of the western europe. In the days of the Ottoman empire, the religion w
Label:",0,0,0
76428,Genesis Games for sale/trade I have the following games for sale/trade. Make an offer. Trouble Shooter Where in Time is Carmen Sandiego? -- brian oplinger@ra.crd.ge.com <#include standard.disclaimer>,Genesis Games for sale/trade I have the following games for sale/trade. Make an offer. Trouble Shooter Where in Time is Carmen Sandiego? -- brian oplinger@ra.crd.ge.com <#include standard.disclaimer>,0,"Task: classify a 20 Newsgroups post as rec.autos or not.

Label 1:
cars, trucks, SUVs, auto repair, driving, insurance for cars, buying cars, car ownership, maintenance, recalls, parts, tires, engines, transmissions, dealerships, used car advice, accidents involving cars.

Label 0:
motorcycles, pure for-sale ads, computers, graphics, software, medicine, religion, politics, science, or anything not mainly about cars.

Important:
- motorcycles = 0
- pure sale ads/classifieds = 0
- short replies still count as 1 if clearly about cars
- if unsure, output 0

Return only 1 or 0.

Examples:
Document: 1993 Infiniti G20 I am thinking about getting an Infiniti G20. In consumer reports it is ranked high in many catagories including highest in
Label: 1

Document: Re: Jeep Grand vs. Toyota 4-Runner hand. Land Crusier is just simply nice with shit-load of power and room. Fully stocked, it cost ~$40,000.
Label: 1

Document: Re: locking lugnuts / tire rebalance?? Well, it depends on what kind of locking lugnuts you have. My previous car had locking lugnuts that w
Label: 1

Document: Re: Slick 50, any good? I don't have any written data but I know what I have experienced. I use S-50 in everything including my lawnmowers.
Label: 1

Document: Honda Mailing list? Is there a Honda mailing list, and if so how do I subscribe to it?
Label: 1

Document: Re: Changing oil by yourself ""IDIOTS"" In article (Mark Dean) says: Cool off! Thes
Label: 1

Document: Re: Taurus/Sable rotor recall We get about 20 Taurus/Sables for fleet cars at our site every year, then the company sells them a year later
Label: 1

Document: Re: legal car buying problems On the other hand, remember the old adage that a verbal agreement isn't worth the paper it's printed on. Once
Label: 1

Document: Genesis Games for sale/trade I have the following games for sale/trade. Make an offer. Trouble Shooter Where in Time is Carmen Sandiego? -- brian <#include standard.disclaimer>
Label:",0,0,0
16055,"Re: New Encryption Algorithm But the NSA will not be doing any wiretapping. The actual wiretapping will, presumably, be conducted by the FBI. Of course, the capability for this was provided by the NSA, but I think that they are still within the limitations of their charter. I realize this is a fine point, and some may differ, but this is my opinion. Although I don't care for Clipper and won't support or use it, I don't see the NSA as having overstepped their bounds. David R. Conrad ""No his mind is not for rent/To any god or government"" -- = CAT-TALK Conferencing Network, Computer Conferencing and File Archive = - 1-313-882-2209, 300bps-14400bps, V.32/V.32bis/TurboPEP New users use 'new' - = as a login id. AVAILABLE VIA PC-PURSUIT!!! (City code ""MIDET"") = E-MAIL Address: dave@Michigan.COM","Re: New Encryption Algorithm But the NSA will not be doing any wiretapping. The actual wiretapping will, presumably, be conducted by the FBI. Of course, the capability for this was provided by the NSA, but I think that they are still within the limitations of their charter. I realize this is a fine point, and some may differ, but this is my opinion. Although I don't care for Clipper and won't support or use it, I don't see the NSA as having overstepped their bounds. David R. Conrad ""No his mind is not for rent/To any god or government"" -- = CAT-TALK Conferencing Network, Computer Conferencing and File Archive = - 1-313-882-2209, 300bps-14400bps, V.32/V.32bis/TurboPEP New users use 'new' - = as a login id. AVAILABLE VIA PC-PURSUIT!!! (City code ""MIDET"") = E-MAIL Address: dave@Michigan.COM",0,"Task: classify a 20 Newsgroups post as rec.autos or not.

Label 1:
cars, trucks, SUVs, auto repair, driving, insurance for cars, buying cars, car ownership, maintenance, recalls, parts, tires, engines, transmissions, dealerships, used car advice, accidents involving cars.

Label 0:
motorcycles, pure for-sale ads, computers, graphics, software, medicine, religion, politics, science, or anything not mainly about cars.

Important:
- motorcycles = 0
- pure sale ads/classifieds = 0
- short replies still count as 1 if clearly about cars
- if unsure, output 0

Return only 1 or 0.

Examples:
Document: 1993 Infiniti G20 I am thinking about getting an Infiniti G20. In consumer reports it is ranked high in many catagories including highest in
Label: 1

Document: Re: Jeep Grand vs. Toyota 4-Runner hand. Land Crusier is just simply nice with shit-load of power and room. Fully stocked, it cost ~$40,000.
Label: 1

Document: Re: locking lugnuts / tire rebalance?? Well, it depends on what kind of locking lugnuts you have. My previous car had locking lugnuts that w
Label: 1

Document: Re: Slick 50, any good? I don't have any written data but I know what I have experienced. I use S-50 in everything including my lawnmowers.
Label: 1

Document: Honda Mailing list? Is there a Honda mailing list, and if so how do I subscribe to it?
Label: 1

Document: Re: Changing oil by yourself ""IDIOTS"" In article (Mark Dean) says: Cool off! Thes
Label: 1

Document: Re: Taurus/Sable rotor recall We get about 20 Taurus/Sables for fleet cars at our site every year, then the company sells them a year later
Label: 1

Document: Re: legal car buying problems On the other hand, remember the old adage that a verbal agreement isn't worth the paper it's printed on. Once
Label: 1

Document: Re: New Encryption Algorithm But the NSA will not be doing any wiretapping. The actual wiretapping will, presumably, be conducted by the FBI. Of course, the capability for this was provided by the NSA
Label:",0,0,0
53751,"request for video in Pittsburgh area There was apparently a 30 minute special here on the Penguins' season on ABC (WTAE - channel 4), immediately preceding the opening game against the Devils on Sunday. I only turned it on in time to watch the credits. If anyone taped it and is willing to let me borrow it to dub it, I would appreciate it. I would be willing to come pick it up, and I'll return it the next day and buy you a beer. Please respond via e-mail. Thanks a lot. Oh yeah. Was it any good? -Billy","request for video in Pittsburgh area There was apparently a 30 minute special here on the Penguins' season on ABC (WTAE - channel 4), immediately preceding the opening game against the Devils on Sunday. I only turned it on in time to watch the credits. If anyone taped it and is willing to let me borrow it to dub it, I would appreciate it. I would be willing to come pick it up, and I'll return it the next day and buy you a beer. Please respond via e-mail. Thanks a lot. Oh yeah. Was it any good? -Billy",0,"Task: classify a 20 Newsgroups post as rec.autos or not.

Label 1:
cars, trucks, SUVs, auto repair, driving, insurance for cars, buying cars, car ownership, maintenance, recalls, parts, tires, engines, transmissions, dealerships, used car advice, accidents involving cars.

Label 0:
motorcycles, pure for-sale ads, computers, graphics, software, medicine, religion, politics, science, or anything not mainly about cars.

Important:
- motorcycles = 0
- pure sale ads/classifieds = 0
- short replies still count as 1 if clearly about cars
- if unsure, output 0

Return only 1 or 0.

Examples:
Document: 1993 Infiniti G20 I am thinking about getting an Infiniti G20. In consumer reports it is ranked high in many catagories including highest in
Label: 1

Document: Re: Jeep Grand vs. Toyota 4-Runner hand. Land Crusier is just simply nice with shit-load of power and room. Fully stocked, it cost ~$40,000.
Label: 1

Document: Re: locking lugnuts / tire rebalance?? Well, it depends on what kind of locking lugnuts you have. My previous car had locking lugnuts that w
Label: 1

Document: Re: Slick 50, any good? I don't have any written data but I know what I have experienced. I use S-50 in everything including my lawnmowers.
Label: 1

Document: Honda Mailing list? Is there a Honda mailing list, and if so how do I subscribe to it?
Label: 1

Document: Re: Changing oil by yourself ""IDIOTS"" In article (Mark Dean) says: Cool off! Thes
Label: 1

Document: Re: Taurus/Sable rotor recall We get about 20 Taurus/Sables for fleet cars at our site every year, then the company sells them a year later
Label: 1

Document: Re: legal car buying problems On the other hand, remember the old adage that a verbal agreement isn't worth the paper it's printed on. Once
Label: 1

Document: request for video in Pittsburgh area There was apparently a 30 minute special here on the Penguins' season on ABC (WTAE - channel 4), immediately preceding the opening game against the Devils on Sunda
Label:",0,0,0
67279,"change default visual My HP720 workstation uses PseudoColor (id 0x21, 255 colors) as the default visual. How can I start X with different visual as default?","change default visual My HP720 workstation uses PseudoColor (id 0x21, 255 colors) as the default visual. How can I start X with different visual as default?",0,"Task: classify a 20 Newsgroups post as rec.autos or not.

Label 1:
cars, trucks, SUVs, auto repair, driving, insurance for cars, buying cars, car ownership, maintenance, recalls, parts, tires, engines, transmissions, dealerships, used car advice, accidents involving cars.

Label 0:
motorcycles, pure for-sale ads, computers, graphics, software, medicine, religion, politics, science, or anything not mainly about cars.

Important:
- motorcycles = 0
- pure sale ads/classifieds = 0
- short replies still count as 1 if clearly about cars
- if unsure, output 0

Return only 1 or 0.

Examples:
Document: 1993 Infiniti G20 I am thinking about getting an Infiniti G20. In consumer reports it is ranked high in many catagories including highest in
Label: 1

Document: Re: Jeep Grand vs. Toyota 4-Runner hand. Land Crusier is just simply nice with shit-load of power and room. Fully stocked, it cost ~$40,000.
Label: 1

Document: Re: locking lugnuts / tire rebalance?? Well, it depends on what kind of locking lugnuts you have. My previous car had locking lugnuts that w
Label: 1

Document: Re: Slick 50, any good? I don't have any written data but I know what I have experienced. I use S-50 in everything including my lawnmowers.
Label: 1

Document: Honda Mailing list? Is there a Honda mailing list, and if so how do I subscribe to it?
Label: 1

Document: Re: Changing oil by yourself ""IDIOTS"" In article (Mark Dean) says: Cool off! Thes
Label: 1

Document: Re: Taurus/Sable rotor recall We get about 20 Taurus/Sables for fleet cars at our site every year, then the company sells them a year later
Label: 1

Document: Re: legal car buying problems On the other hand, remember the old adage that a verbal agreement isn't worth the paper it's printed on. Once
Label: 1

Document: change default visual My HP720 workstation uses PseudoColor (id 0x21, 255 colors) as the default visual. How can I start X with different visual as default?
Label:",0,0,0
20733,"Re: Atheist's views on Christianity (was: Re: ""Accepting Jeesus in your heart..."") The big-bang model supposes a temporal singularity at the point of origin. There was _no_ time for a prior cause to occur in. If you want to invent fables for the surrounding context, fine, but one fable is only as good as any other. Why should I prefer to believe in a God that _just_ exists, as opposed to a singularity that _just happened_, or giant puce subspace iguanas, that fling universes off their tongues like gobs of spit? |As far as I can tell, the very laws of nature demand a ""why"". That isn't |true of something outside of nature (i.e., *super*natural). Just your opinion, and unfortunately wrong. Self assembling molecules have already been produced, entirely from inert matter, and have spontaneously mutated into a more rapidly assembling form on exposure to ultraviolet light. Both abiogenesis and the beginnings of evolution, TODAY. (saw this in ""Nature"", early last year.) Biological vitalism is","Re: Atheist's views on Christianity (was: Re: ""Accepting Jeesus in your heart..."") The big-bang model supposes a temporal singularity at the point of origin. There was _no_ time for a prior cause to occur in. If you want to invent fables for the surrounding context, fine, but one fable is only as good as any other. Why should I prefer to believe in a God that _just_ exists, as opposed to a singularity that _just happened_, or giant puce subspace iguanas, that fling universes off their tongues like gobs of spit? |As far as I can tell, the very laws of nature demand a ""why"". That isn't |true of something outside of nature (i.e., *super*natural). Just your opinion, and unfortunately wrong. Self assembling molecules have already been produced, entirely from inert matter, and have spontaneously mutated into a more rapidly assembling form on exposure to ultraviolet light. Both abiogenesis and the beginnings of evolution, TODAY. (saw this in ""Nature"", early last year.) Biological vitalism is",0,"Task: classify a 20 Newsgroups post as rec.autos or not.

Label 1:
cars, trucks, SUVs, auto repair, driving, insurance for cars, buying cars, car ownership, maintenance, recalls, parts, tires, engines, transmissions, dealerships, used car advice, accidents involving cars.

Label 0:
motorcycles, pure for-sale ads, computers, graphics, software, medicine, religion, politics, science, or anything not mainly about cars.

Important:
- motorcycles = 0
- pure sale ads/classifieds = 0
- short replies still count as 1 if clearly about cars
- if unsure, output 0

Return only 1 or 0.

Examples:
Document: 1993 Infiniti G20 I am thinking about getting an Infiniti G20. In consumer reports it is ranked high in many catagories including highest in
Label: 1

Document: Re: Jeep Grand vs. Toyota 4-Runner hand. Land Crusier is just simply nice with shit-load of power and room. Fully stocked, it cost ~$40,000.
Label: 1

Document: Re: locking lugnuts / tire rebalance?? Well, it depends on what kind of locking lugnuts you have. My previous car had locking lugnuts that w
Label: 1

Document: Re: Slick 50, any good? I don't have any written data but I know what I have experienced. I use S-50 in everything including my lawnmowers.
Label: 1

Document: Honda Mailing list? Is there a Honda mailing list, and if so how do I subscribe to it?
Label: 1

Document: Re: Changing oil by yourself ""IDIOTS"" In article (Mark Dean) says: Cool off! Thes
Label: 1

Document: Re: Taurus/Sable rotor recall We get about 20 Taurus/Sables for fleet cars at our site every year, then the company sells them a year later
Label: 1

Document: Re: legal car buying problems On the other hand, remember the old adage that a verbal agreement isn't worth the paper it's printed on. Once
Label: 1

Document: Re: Atheist's views on Christianity (was: Re: ""Accepting Jeesus in your heart..."") The big-bang model supposes a temporal singularity at the point of origin. There was _no_ time for a prior cause to o
Label:",0,0,0
105050,"Re: Shaft-drives and Wheelies In article <1993Apr21.185741.15458@colorado.edu>, laszlo@eclipse.cs.colorado.edu (Laszlo Nemeth) writes... Sorry to be contradictory, but... I've had my Nighthawk at 45 degress with the horizon and I wasn't banked over in a turn... The hard part is getting the front in off the ground. I rev to about 7,000 at DROP the clutch. Even harder is keeping it from coming up to far-- I use the back brake as well as the throttle. Once its up, it'll wheelie just like any other bike. Ethan +==============================================================================+ | Ethan Bowerman DoD# 682 1983 CB650SC Nighthawk | | -- ""Hey... who cuts yer' hair man?"" __ ""Nothing clears the mind quite | | -- Cheech and Chong like a maxed out tach and a | | -- ""A closed mouth contains no feet."" buried speedometer."" | | -- Unknown -- Me | +==============================================================================+","Re: Shaft-drives and Wheelies In article <1993Apr21.185741.15458@colorado.edu>, laszlo@eclipse.cs.colorado.edu (Laszlo Nemeth) writes... Sorry to be contradictory, but... I've had my Nighthawk at 45 degress with the horizon and I wasn't banked over in a turn... The hard part is getting the front in off the ground. I rev to about 7,000 at DROP the clutch. Even harder is keeping it from coming up to far-- I use the back brake as well as the throttle. Once its up, it'll wheelie just like any other bike. Ethan +==============================================================================+ | Ethan Bowerman DoD# 682 1983 CB650SC Nighthawk | | -- ""Hey... who cuts yer' hair man?"" __ ""Nothing clears the mind quite | | -- Cheech and Chong like a maxed out tach and a | | -- ""A closed mouth contains no feet."" buried speedometer."" | | -- Unknown -- Me | +==============================================================================+",0,"Task: classify a 20 Newsgroups post as rec.autos or not.

Label 1:
cars, trucks, SUVs, auto repair, driving, insurance for cars, buying cars, car ownership, maintenance, recalls, parts, tires, engines, transmissions, dealerships, used car advice, accidents involving cars.

Label 0:
motorcycles, pure for-sale ads, computers, graphics, software, medicine, religion, politics, science, or anything not mainly about cars.

Important:
- motorcycles = 0
- pure sale ads/classifieds = 0
- short replies still count as 1 if clearly about cars
- if unsure, output 0

Return only 1 or 0.

Examples:
Document: 1993 Infiniti G20 I am thinking about getting an Infiniti G20. In consumer reports it is ranked high in many catagories including highest in
Label: 1

Document: Re: Jeep Grand vs. Toyota 4-Runner hand. Land Crusier is just simply nice with shit-load of power and room. Fully stocked, it cost ~$40,000.
Label: 1

Document: Re: locking lugnuts / tire rebalance?? Well, it depends on what kind of locking lugnuts you have. My previous car had locking lugnuts that w
Label: 1

Document: Re: Slick 50, any good? I don't have any written data but I know what I have experienced. I use S-50 in everything including my lawnmowers.
Label: 1

Document: Honda Mailing list? Is there a Honda mailing list, and if so how do I subscribe to it?
Label: 1

Document: Re: Changing oil by yourself ""IDIOTS"" In article (Mark Dean) says: Cool off! Thes
Label: 1

Document: Re: Taurus/Sable rotor recall We get about 20 Taurus/Sables for fleet cars at our site every year, then the company sells them a year later
Label: 1

Document: Re: legal car buying problems On the other hand, remember the old adage that a verbal agreement isn't worth the paper it's printed on. Once
Label: 1

Document: Re: Shaft-drives and Wheelies In article (Laszlo Nemeth) writes... Sorry to be contradictory, but... I've had my Nighthawk at 45 degress with the horizon and I wasn't banked over in a turn... The hard
Label:",1,1,1
21350,"The Nicene Creed (was Re: MAJOR VIEWS OF THE TRINITY) Michael Bushnell writes; Which is exactly what I pointed out. (Though I was wrong about your use of the Creed, the 1913 Catholic Encylcopedia in which I read about it said the Orthodox do use the Creed minus the filioque. Apparently that has changed.) The Athanasian Creed has always had the Filioque, the Nicene - Constantinopolitan did not. Of course the Orthodox did not delete the Filioque from the Nicene Creed (it wasn't there to begin with), but they certainly did from the Athanasian Creed, which did have it from the beginning. I might point out that the whole problem started over the difference in ways of explaining the generation of the Blessed Trinity, the East emphasizing the idea of the Holy Spirit proceeding from the Father through the Son, and the West using proceeding from the Father and the Son. In fact, some, such as Tertullian, used both formulations (see below) ""Following, therefore, the form of these examples, I pro","The Nicene Creed (was Re: MAJOR VIEWS OF THE TRINITY) Michael Bushnell writes; Which is exactly what I pointed out. (Though I was wrong about your use of the Creed, the 1913 Catholic Encylcopedia in which I read about it said the Orthodox do use the Creed minus the filioque. Apparently that has changed.) The Athanasian Creed has always had the Filioque, the Nicene - Constantinopolitan did not. Of course the Orthodox did not delete the Filioque from the Nicene Creed (it wasn't there to begin with), but they certainly did from the Athanasian Creed, which did have it from the beginning. I might point out that the whole problem started over the difference in ways of explaining the generation of the Blessed Trinity, the East emphasizing the idea of the Holy Spirit proceeding from the Father through the Son, and the West using proceeding from the Father and the Son. In fact, some, such as Tertullian, used both formulations (see below) ""Following, therefore, the form of these examples, I pro",0,"Task: classify a 20 Newsgroups post as rec.autos or not.

Label 1:
cars, trucks, SUVs, auto repair, driving, insurance for cars, buying cars, car ownership, maintenance, recalls, parts, tires, engines, transmissions, dealerships, used car advice, accidents involving cars.

Label 0:
motorcycles, pure for-sale ads, computers, graphics, software, medicine, religion, politics, science, or anything not mainly about cars.

Important:
- motorcycles = 0
- pure sale ads/classifieds = 0
- short replies still count as 1 if clearly about cars
- if unsure, output 0

Return only 1 or 0.

Examples:
Document: 1993 Infiniti G20 I am thinking about getting an Infiniti G20. In consumer reports it is ranked high in many catagories including highest in
Label: 1

Document: Re: Jeep Grand vs. Toyota 4-Runner hand. Land Crusier is just simply nice with shit-load of power and room. Fully stocked, it cost ~$40,000.
Label: 1

Document: Re: locking lugnuts / tire rebalance?? Well, it depends on what kind of locking lugnuts you have. My previous car had locking lugnuts that w
Label: 1

Document: Re: Slick 50, any good? I don't have any written data but I know what I have experienced. I use S-50 in everything including my lawnmowers.
Label: 1

Document: Honda Mailing list? Is there a Honda mailing list, and if so how do I subscribe to it?
Label: 1

Document: Re: Changing oil by yourself ""IDIOTS"" In article (Mark Dean) says: Cool off! Thes
Label: 1

Document: Re: Taurus/Sable rotor recall We get about 20 Taurus/Sables for fleet cars at our site every year, then the company sells them a year later
Label: 1

Document: Re: legal car buying problems On the other hand, remember the old adage that a verbal agreement isn't worth the paper it's printed on. Once
Label: 1

Document: The Nicene Creed (was Re: MAJOR VIEWS OF THE TRINITY) Michael Bushnell writes; Which is exactly what I pointed out. (Though I was wrong about your use of the Creed, the 1913 Catholic Encylcopedia in w
Label:",0,0,0
9827,"Re: Grey Scale while in windows? +----------------------------------------------------------------------------+ | Kevin Marshall, Operational Support, Motorola ECID, Swindon, UK. | | E-mail : marshalk@zeus | | Phone : +44 793 545127 (International) (0793) 545127 (Domestic) | +----------------------------------------------------------------------------+","Re: Grey Scale while in windows? +----------------------------------------------------------------------------+ | Kevin Marshall, Operational Support, Motorola ECID, Swindon, UK. | | E-mail : marshalk@zeus | | Phone : +44 793 545127 (International) (0793) 545127 (Domestic) | +----------------------------------------------------------------------------+",0,"Task: classify a 20 Newsgroups post as rec.autos or not.

Label 1:
cars, trucks, SUVs, auto repair, driving, insurance for cars, buying cars, car ownership, maintenance, recalls, parts, tires, engines, transmissions, dealerships, used car advice, accidents involving cars.

Label 0:
motorcycles, pure for-sale ads, computers, graphics, software, medicine, religion, politics, science, or anything not mainly about cars.

Important:
- motorcycles = 0
- pure sale ads/classifieds = 0
- short replies still count as 1 if clearly about cars
- if unsure, output 0

Return only 1 or 0.

Examples:
Document: 1993 Infiniti G20 I am thinking about getting an Infiniti G20. In consumer reports it is ranked high in many catagories including highest in
Label: 1

Document: Re: Jeep Grand vs. Toyota 4-Runner hand. Land Crusier is just simply nice with shit-load of power and room. Fully stocked, it cost ~$40,000.
Label: 1

Document: Re: locking lugnuts / tire rebalance?? Well, it depends on what kind of locking lugnuts you have. My previous car had locking lugnuts that w
Label: 1

Document: Re: Slick 50, any good? I don't have any written data but I know what I have experienced. I use S-50 in everything including my lawnmowers.
Label: 1

Document: Honda Mailing list? Is there a Honda mailing list, and if so how do I subscribe to it?
Label: 1

Document: Re: Changing oil by yourself ""IDIOTS"" In article (Mark Dean) says: Cool off! Thes
Label: 1

Document: Re: Taurus/Sable rotor recall We get about 20 Taurus/Sables for fleet cars at our site every year, then the company sells them a year later
Label: 1

Document: Re: legal car buying problems On the other hand, remember the old adage that a verbal agreement isn't worth the paper it's printed on. Once
Label: 1

Document: Re: Grey Scale while in windows? +----------------------------------------------------------------------------+ | Kevin Marshall, Operational Support, Motorola ECID, Swindon, UK. | | E-mail : | | Phon
Label:",0,0,0
